game_date,ko_time,cup_round,cup_leg,cup_stage,cup_replay,cup_section,extra_time,pen_outcome,pen_score,pen_gf,pen_ga,agg_outcome,agg_score,agg_gf,agg_ga,away_goal_outcome,gg_outcome
2023-05-08,12.30pm,,,,0,,0,,,,,,,,,,
2023-04-29,3.00pm,,,,0,,0,,,,,,,,,,
2023-04-22,3.00pm,,,,0,,0,,,,,,,,,,
2023-04-18,7.45pm,,,,0,,0,,,,,,,,,,
2023-04-15,3.00pm,,,,0,,0,,,,,,,,,,
2023-04-10,3.00pm,,,,0,,0,,,,,,,,,,
2023-04-07,3.00pm,,,,0,,0,,,,,,,,,,
2023-03-31,7.45pm,,,,0,,0,,,,,,,,,,
2023-03-25,3.00pm,,,,0,,0,,,,,,,,,,
2023-03-18,3.00pm,,,,0,,0,,,,,,,,,,
2023-03-11,3.00pm,,,,0,,0,,,,,,,,,,
2023-03-04,3.00pm,,,,0,,0,,,,,,,,,,
2023-02-28,7.45pm,,,,0,,0,,,,,,,,,,
2023-02-25,3.00pm,,,,0,,0,,,,,,,,,,
2023-02-18,3.00pm,,,,0,,0,,,,,,,,,,
2023-02-14,7.45pm,,,,0,,0,,,,,,,,,,
2023-02-11,3.00pm,,,,0,,0,,,,,,,,,,
2023-02-07,7.45pm,,,,0,,0,,,,,,,,,,
2023-02-04,3.00pm,,,,0,,0,,,,,,,,,,
2023-01-28,3.00pm,,,,0,,0,,,,,,,,,,
2023-01-14,3.00pm,,,,0,,0,,,,,,,,,,
2023-01-07,3.00pm,,,,0,,0,,,,,,,,,,
2023-01-01,3.00pm,,,,0,,0,,,,,,,,,,
2022-12-29,7.45pm,,,,0,,0,,,,,,,,,,
2022-12-26,3.00pm,,,,0,,0,,,,,,,,,,
2022-12-10,3.00pm,,,,0,,0,,,,,,,,,,
2022-12-03,3.00pm,,,,0,,0,,,,,,,,,,
2022-11-22,7.00pm,2,,2nd round - northern section,0,Northern,0,L,4-5,5,4,,,,,,
2022-11-19,3.00pm,,,,0,,0,,,,,,,,,,
2022-11-12,3.00pm,,,,0,,0,,,,,,,,,,
2022-11-05,3.00pm,1,,1st round,0,,0,,,,,,,,,,
2022-11-01,7.45pm,,,,0,,0,,,,,,,,,,
2022-10-29,3.00pm,,,,0,,0,,,,,,,,,,
2022-10-25,7.45pm,,,,0,,0,,,,,,,,,,
2022-10-22,3.00pm,,,,0,,0,,,,,,,,,,
2022-10-18,7.00pm,G,,Group B - North,0,,0,,,,,,,,,,
2022-10-14,7.45pm,,,,0,,0,,,,,,,,,,
2022-10-08,3.00pm,,,,0,,0,,,,,,,,,,
2022-10-04,7.00pm,G,,Group B - North,0,,0,,,,,,,,,,
2022-10-01,3.00pm,,,,0,,0,,,,,,,,,,
2022-09-24,3.00pm,,,,0,,0,,,,,,,,,,
2022-09-20,7.00pm,G,,Group B - North,0,,0,W,5-4,5,4,,,,,,
2022-09-17,3.00pm,,,,0,,0,,,,,,,,,,
2022-09-13,7.45pm,,,,0,,0,,,,,,,,,,
2022-09-03,3.00pm,,,,0,,0,,,,,,,,,,
2022-08-27,3.00pm,,,,0,,0,,,,,,,,,,
2022-08-24,7.45pm,2,,2nd round,0,,0,,,,,,,,,,
2022-08-20,3.00pm,,,,0,,0,,,,,,,,,,
2022-08-16,7.45pm,,,,0,,0,,,,,,,,,,
2022-08-13,3.00pm,,,,0,,0,,,,,,,,,,
2022-08-09,7.45pm,1,,1st round,0,,0,W,12-11,11,12,,,,,,
2022-08-06,3.00pm,,,,0,,0,,,,,,,,,,
2022-07-30,3.00pm,,,,0,,0,,,,,,,,,,
2022-05-07,3.00pm,,,,0,,0,,,,,,,,,,
2022-04-30,3.00pm,,,,0,,0,,,,,,,,,,
2022-04-23,3.00pm,,,,0,,0,,,,,,,,,,
2022-04-18,3.00pm,,,,0,,0,,,,,,,,,,
2022-04-15,3.00pm,,,,0,,0,,,,,,,,,,
2022-04-09,3.00pm,,,,0,,0,,,,,,,,,,
2022-04-02,3.00pm,,,,0,,0,,,,,,,,,,
2022-03-26,3.00pm,,,,0,,0,,,,,,,,,,
2022-03-19,3.00pm,,,,0,,0,,,,,,,,,,
2022-03-15,7.45pm,,,,0,,0,,,,,,,,,,
2022-03-11,7.45pm,,,,0,,0,,,,,,,,,,
2022-03-05,3.00pm,,,,0,,0,,,,,,,,,,
2022-02-26,3.00pm,,,,0,,0,,,,,,,,,,
2022-02-19,3.00pm,,,,0,,0,,,,,,,,,,
2022-02-15,7.45pm,,,,0,,0,,,,,,,,,,
2022-02-12,3.00pm,,,,0,,0,,,,,,,,,,
2022-02-08,7.45pm,,,,0,,0,,,,,,,,,,
2022-02-05,3.00pm,,,,0,,0,,,,,,,,,,
2022-02-01,7.45pm,,,,0,,0,,,,,,,,,,
2022-01-29,3.00pm,,,,0,,0,,,,,,,,,,
2022-01-22,3.00pm,,,,0,,0,,,,,,,,,,
2022-01-15,3.00pm,,,,0,,0,,,,,,,,,,
2022-01-11,7.45pm,,,,0,,0,,,,,,,,,,
2022-01-08,3.00pm,,,,0,,0,,,,,,,,,,
2021-12-26,3.00pm,,,,0,,0,,,,,,,,,,
2021-12-21,7.00pm,2,,2nd round - northern section,0,Northern,0,,,,,,,,,,
2021-12-18,3.00pm,,,,0,,0,,,,,,,,,,
2021-12-11,3.00pm,,,,0,,0,,,,,,,,,,
2021-12-07,7.45pm,,,,0,,0,,,,,,,,,,
2021-12-04,3.00pm,2,,2nd round,0,,0,,,,,,,,,,
2021-11-23,7.45pm,,,,0,,0,,,,,,,,,,
2021-11-20,3.00pm,,,,0,,0,,,,,,,,,,
2021-11-13,3.00pm,,,,0,,0,,,,,,,,,,
2021-11-09,7.00pm,G,,Group B – North,0,Group B – North,0,,,,,,,,,,
2021-11-06,3.00pm,1,,1st round,0,,0,,,,,,,,,,
2021-10-30,3.00pm,,,,0,,0,,,,,,,,,,
2021-10-23,3.00pm,,,,0,,0,,,,,,,,,,
2021-10-19,7.45pm,,,,0,,0,,,,,,,,,,
2021-10-16,3.00pm,,,,0,,0,,,,,,,,,,
2021-10-08,7.45pm,,,,0,,0,,,,,,,,,,
2021-10-05,7.00pm,G,,Group B – North,0,Group B – North,0,,,,,,,,,,
2021-10-02,3.00pm,,,,0,,0,,,,,,,,,,
2021-09-25,3.00pm,,,,0,,0,,,,,,,,,,
2021-09-18,3.00pm,,,,0,,0,,,,,,,,,,
2021-09-14,7.00pm,G,,Group B – North,0,Group B – North,0,,,,,,,,,,
2021-09-11,3.00pm,,,,0,,0,,,,,,,,,,
2021-09-04,3.00pm,,,,0,,0,,,,,,,,,,
2021-08-28,3.00pm,,,,0,,0,,,,,,,,,,
2021-08-21,3.00pm,,,,0,,0,,,,,,,,,,
2021-08-17,7.45pm,,,,0,,0,,,,,,,,,,
2021-08-14,3.00pm,,,,0,,0,,,,,,,,,,
2021-08-10,7.45pm,1,,1st round,0,,0,L,3-4,4,3,,,,,,
2021-08-07,3.00pm,,,,0,,0,,,,,,,,,,
2021-05-23,12.30pm,SF,2,Semi-final 2nd leg,0,,0,,,,,L,2-3,,,,
2021-05-20,6.00pm,SF,1,Semi-final 1st leg,0,,0,,,,,,,,,,
2021-05-08,3.00pm,,,,0,,0,,,,,,,,,,
2021-05-01,3.00pm,,,,0,,0,,,,,,,,,,
2021-04-24,3.00pm,,,,0,,0,,,,,,,,,,
2021-04-20,7.00pm,,,,0,,0,,,,,,,,,,
2021-04-17,12.30pm,,,,0,,0,,,,,,,,,,
2021-04-13,7.00pm,,,,0,,0,,,,,,,,,,
2021-04-10,3.00pm,,,,0,,0,,,,,,,,,,
2021-04-05,3.00pm,,,,0,,0,,,,,,,,,,
2021-04-02,3.00pm,,,,0,,0,,,,,,,,,,
2021-03-27,3.00pm,,,,0,,0,,,,,,,,,,
2021-03-23,7.00pm,,,,0,,0,,,,,,,,,,
2021-03-20,3.00pm,,,,0,,0,,,,,,,,,,
2021-03-17,7.00pm,,,,0,,0,,,,,,,,,,
2021-03-14,3.00pm,F,,Final,0,,0,,,,,,,,,,
2021-03-09,7.00pm,,,,0,,0,,,,,,,,,,
2021-03-06,3.00pm,,,,0,,0,,,,,,,,,,
2021-03-02,7.00pm,,,,0,,0,,,,,,,,,,
2021-02-27,3.00pm,,,,0,,0,,,,,,,,,,
2021-02-23,7.00pm,,,,0,,0,,,,,,,,,,
2021-02-20,3.00pm,,,,0,,0,,,,,,,,,,
2021-02-16,6.00pm,SF,,Semi-final,0,,0,,,,,,,,,,
2021-02-09,7.00pm,,,,0,,0,,,,,,,,,,
2021-02-06,3.00pm,,,,0,,0,,,,,,,,,,
2021-02-02,7.00pm,QF,,Quarter-final,0,,0,,,,,,,,,,
2021-01-30,3.00pm,,,,0,,0,,,,,,,,,,
2021-01-26,7.00pm,,,,0,,0,,,,,,,,,,
2021-01-23,3.00pm,,,,0,,0,,,,,,,,,,
2021-01-19,7.00pm,,,,0,,0,,,,,,,,,,
2021-01-16,3.00pm,,,,0,,0,,,,,,,,,,
2021-01-13,7.00pm,3,,3rd round – northern section,0,Northern,0,,,,,,,,,,
2021-01-10,1.30pm,3,,3rd round,0,,0,,,,,,,,,,
2020-12-29,7.45pm,,,,0,,0,,,,,,,,,,
2020-12-26,3.00pm,,,,0,,0,,,,,,,,,,
2020-12-19,3.00pm,,,,0,,0,,,,,,,,,,
2020-12-12,3.00pm,,,,0,,0,,,,,,,,,,
2020-12-08,7.45pm,2,,2nd round - northern section,0,Northern,0,,,,,,,,,,
2020-12-05,3.00pm,,,,0,,0,,,,,,,,,,
2020-12-01,7.00pm,,,,0,,0,,,,,,,,,,
2020-11-27,7.55pm,2,,2nd round,0,,0,,,,,,,,,,
2020-11-24,7.00pm,,,,0,,0,,,,,,,,,,
2020-11-21,3.00pm,,,,0,,0,,,,,,,,,,
2020-11-14,3.00pm,,,,0,,0,,,,,,,,,,
2020-11-11,6.30pm,G,,Group D – North,0,Group D – North,0,W,3-1,3,1,,,,,,
2020-11-07,3.00pm,1,,1st round,0,,0,,,,,,,,,,
2020-11-03,7.00pm,,,,0,,0,,,,,,,,,,
2020-10-31,3.00pm,,,,0,,0,,,,,,,,,,
2020-10-27,6.30pm,,,,0,,0,,,,,,,,,,
2020-10-24,3.00pm,,,,0,,0,,,,,,,,,,
2020-10-20,7.00pm,,,,0,,0,,,,,,,,,,
2020-10-17,3.00pm,,,,0,,0,,,,,,,,,,
2020-10-10,3.00pm,,,,0,,0,,,,,,,,,,
2020-10-03,3.00pm,,,,0,,0,,,,,,,,,,
2020-09-29,7.00pm,G,,Group D – North,0,Group D – North,0,,,,,,,,,,
2020-09-26,3.00pm,,,,0,,0,,,,,,,,,,
2020-09-19,3.00pm,,,,0,,0,,,,,,,,,,
2020-09-12,3.00pm,,,,0,,0,,,,,,,,,,
2020-09-08,7.00pm,G,,Group D – North,0,Group D – North,0,L,3-4,4,3,,,,,,
2020-09-05,3.00pm,1,,1st round,0,,0,L,7-8,7,8,,,,,,
2020-03-10,7.45pm,,,,0,,0,,,,,,,,,,
2020-03-07,3.00pm,,,,0,,0,,,,,,,,,,
2020-02-25,7.45pm,,,,0,,0,,,,,,,,,,
2020-02-22,3.00pm,,,,0,,0,,,,,,,,,,
2020-02-11,7.45pm,,,,0,,0,,,,,,,,,,
2020-02-08,3.00pm,,,,0,,0,,,,,,,,,,
2020-02-04,7.45pm,,,,0,,0,,,,,,,,,,
2020-02-01,3.00pm,,,,0,,0,,,,,,,,,,
2020-01-29,7.45pm,,,,0,,0,,,,,,,,,,
2020-01-26,3.00pm,4,,4th round,0,,0,,,,,,,,,,
2020-01-23,7.45pm,3,,3rd round replay,1,,1,,,,,,,,,,
2020-01-18,3.00pm,,,,0,,0,,,,,,,,,,
2020-01-11,3.00pm,,,,0,,0,,,,,,,,,,
2020-01-07,7.45pm,QF,,Quarter-final - northern section,0,Northern,0,,,,,,,,,,
2020-01-04,3.01pm,3,,3rd round,0,,0,,,,,,,,,,
2020-01-01,3.00pm,,,,0,,0,,,,,,,,,,
2019-12-29,3.00pm,,,,0,,0,,,,,,,,,,
2019-12-26,3.00pm,,,,0,,0,,,,,,,,,,
2019-12-21,3.00pm,,,,0,,0,,,,,,,,,,
2019-12-14,3.00pm,,,,0,,0,,,,,,,,,,
2019-12-07,3.00pm,,,,0,,0,,,,,,,,,,
2019-12-04,7.45pm,2,,2nd round - northern section,0,Northern,0,,,,,,,,,,
2019-12-01,3.00pm,2,,2nd round,0,,0,,,,,,,,,,
2019-11-23,3.00pm,,,,0,,0,,,,,,,,,,
2019-11-20,7.45pm,1,,1st round replay,1,,1,,,,,,,,,,
2019-11-17,12.00pm,,,,0,,0,,,,,,,,,,
2019-11-12,7.45pm,G,,Group C – North,0,Group C – North,0,,,,,,,,,,
2019-11-09,3.00pm,1,,1st round,0,,0,,,,,,,,,,
2019-11-02,3.00pm,,,,0,,0,,,,,,,,,,
2019-10-22,7.45pm,,,,0,,0,,,,,,,,,,
2019-10-18,7.45pm,,,,0,,0,,,,,,,,,,
2019-10-13,12.00pm,,,,0,,0,,,,,,,,,,
2019-10-08,7.45pm,G,,Group C – North,0,Group C – North,0,,,,,,,,,,
2019-10-05,3.00pm,,,,0,,0,,,,,,,,,,
2019-09-28,3.00pm,,,,0,,0,,,,,,,,,,
2019-09-21,3.00pm,,,,0,,0,,,,,,,,,,
2019-09-17,7.45pm,,,,0,,0,,,,,,,,,,
2019-09-14,3.00pm,,,,0,,0,,,,,,,,,,
2019-09-07,3.00pm,,,,0,,0,,,,,,,,,,
2019-08-31,3.00pm,,,,0,,0,,,,,,,,,,
2019-08-20,7.45pm,,,,0,,0,,,,,,,,,,
2019-08-17,3.00pm,,,,0,,0,,,,,,,,,,
2019-08-13,7.45pm,1,,1st round,0,,0,,,,,,,,,,
2019-08-10,3.00pm,,,,0,,0,,,,,,,,,,
2019-08-03,3.00pm,,,,0,,0,,,,,,,,,,
2019-05-25,3.00pm,F,,Final,0,,1,,,,,,,,,,
2019-05-13,7.45pm,SF,2,Semi-final 2nd leg,0,,0,,,,,W,1-2,,,,
2019-05-10,7.45pm,SF,1,Semi-final 1st leg,0,,0,,,,,,,,,,
2019-05-04,3.00pm,,,,0,,0,,,,,,,,,,
2019-04-30,7.45pm,,,,0,,0,,,,,,,,,,
2019-04-22,3.00pm,,,,0,,0,,,,,,,,,,
2019-04-19,3.00pm,,,,0,,0,,,,,,,,,,
2019-04-13,3.00pm,,,,0,,0,,,,,,,,,,
2019-04-06,3.00pm,,,,0,,0,,,,,,,,,,
2019-04-02,7.45pm,,,,0,,0,,,,,,,,,,
2019-03-30,3.00pm,,,,0,,0,,,,,,,,,,
2019-03-23,3.00pm,,,,0,,0,,,,,,,,,,
2019-03-12,7.45pm,,,,0,,0,,,,,,,,,,
2019-03-08,7.45pm,,,,0,,0,,,,,,,,,,
2019-03-02,3.00pm,,,,0,,0,,,,,,,,,,
2019-02-23,3.00pm,,,,0,,0,,,,,,,,,,
2019-02-19,7.45pm,,,,0,,0,,,,,,,,,,
2019-02-16,3.00pm,,,,0,,0,,,,,,,,,,
2019-02-09,3.00pm,,,,0,,0,,,,,,,,,,
2019-02-05,7.45pm,,,,0,,0,,,,,,,,,,
2019-01-26,3.00pm,,,,0,,0,,,,,,,,,,
2019-01-19,3.00pm,,,,0,,0,,,,,,,,,,
2019-01-12,3.00pm,,,,0,,0,,,,,,,,,,
2019-01-04,7.45pm,3,,3rd round,0,,0,,,,,,,,,,
2019-01-01,3.00pm,,,,0,,0,,,,,,,,,,
2018-12-29,3.00pm,,,,0,,0,,,,,,,,,,
2018-12-26,3.00pm,,,,0,,0,,,,,,,,,,
2018-12-22,3.00pm,,,,0,,0,,,,,,,,,,
2018-12-17,7.45pm,2,,2nd round replay,1,,0,,,,,,,,,,
2018-12-15,3.00pm,,,,0,,0,,,,,,,,,,
2018-12-08,3.00pm,,,,0,,0,,,,,,,,,,
2018-12-02,2.00pm,2,,2nd round,0,,0,,,,,,,,,,
2018-11-27,7.45pm,,,,0,,0,,,,,,,,,,
2018-11-24,3.00pm,,,,0,,0,,,,,,,,,,
2018-11-20,7.45pm,1,,1st round replay,1,,0,,,,,,,,,,
2018-11-17,3.00pm,,,,0,,0,,,,,,,,,,
2018-11-10,3.00pm,1,,1st round,0,,0,,,,,,,,,,
2018-11-03,3.00pm,,,,0,,0,,,,,,,,,,
2018-10-30,7.00pm,G,,Group D – North,0,Group D – North,0,,,,,,,,,,
2018-10-27,3.00pm,,,,0,,0,,,,,,,,,,
2018-10-23,7.45pm,,,,0,,0,,,,,,,,,,
2018-10-20,3.00pm,,,,0,,0,,,,,,,,,,
2018-10-12,7.45pm,,,,0,,0,,,,,,,,,,
2018-10-09,7.45pm,G,,Group D – North,0,Group D – North,0,,,,,,,,,,
2018-10-06,3.00pm,,,,0,,0,,,,,,,,,,
2018-10-02,7.45pm,,,,0,,0,,,,,,,,,,
2018-09-29,3.00pm,,,,0,,0,,,,,,,,,,
2018-09-22,3.00pm,,,,0,,0,,,,,,,,,,
2018-09-15,3.00pm,,,,0,,0,,,,,,,,,,
2018-09-08,3.00pm,,,,0,,0,,,,,,,,,,
2018-09-04,7.45pm,G,,Group D – North,0,Group D – North,0,,,,,,,,,,
2018-09-01,3.00pm,,,,0,,0,,,,,,,,,,
2018-08-25,3.00pm,,,,0,,0,,,,,,,,,,
2018-08-21,7.45pm,,,,0,,0,,,,,,,,,,
2018-08-18,3.00pm,,,,0,,0,,,,,,,,,,
2018-08-14,7.45pm,1,,1st round,0,,0,,,,,,,,,,
2018-08-11,3.00pm,,,,0,,0,,,,,,,,,,
2018-08-04,3.00pm,,,,0,,0,,,,,,,,,,
2018-05-12,3.00pm,F,,Final,0,,0,,,,,,,,,,
2018-05-05,12.15pm,SF,,Semi-Final,0,,1,,,,,,,,,,
2018-04-28,,,,,,,,,,,,,,,,,
2018-04-24,,,,,,,,,,,,,,,,,
2018-04-21,,,,,,,,,,,,,,,,,
2018-04-17,,,,,,,,,,,,,,,,,
2018-04-14,,,,,,,,,,,,,,,,,
2018-04-10,,,,,,,,,,,,,,,,,
2018-04-07,,,,,,,,,,,,,,,,,
2018-03-24,,,,,,,,,,,,,,,,,
2018-03-17,,,,,,,,,,,,,,,,,
2018-03-10,,,,,,,,,,,,,,,,,
2018-02-24,,,,,,,,,,,,,,,,,
2018-02-20,,,,,,,,,,,,,,,,,
