game_date,shirt_no,player_name,role,min_off,min_on,off_for,on_for
2015-12-12,1,Scott Davies,starter,,,,
2015-12-12,7,Lee Vaughan,starter,,,,
2015-12-12,24,Steve McNulty,starter,,,,
2015-12-12,12,Michael Ihiekwe,starter,,,,
2015-12-12,3,Liam Ridehalgh,starter,,,,
2015-12-12,29,Ben Tomlinson,starter,67,,14,
2015-12-12,4,Steven Jennings,starter,,,,
2015-12-12,23,Jake Kirby,starter,67,,20,
2015-12-12,10,James Norwood,starter,,,,
2015-12-12,11,Lois Maynard,starter,,,,
2015-12-12,17,Adam Mekki,starter,,,,
2015-12-12,14,Andy Mangan,sub,,67,,29
2015-12-12,20,Adam Dawson,sub,90,67,2,23
2015-12-12,2,Ritchie Sutton,sub,,90,,20
2016-12-10,1,Scott Davies,starter,,,,
2016-12-10,2,Lee Vaughan,starter,,,,
2016-12-10,24,Jeff Hughes,starter,76,,4,
2016-12-10,6,Michael Ihiekwe,starter,,,,
2016-12-10,12,Ritchie Sutton,starter,,,,
2016-12-10,4,Steve McNulty,starter,,,,
2016-12-10,17,Jake Kirby,starter,,,,
2016-12-10,8,Jay Harris,starter,,,,
2016-12-10,10,James Norwood,starter,,,,
2016-12-10,9,Andy Cook,starter,65,,38,
2016-12-10,11,Connor Jennings,starter,54,,18,
2016-12-10,18,Ben Tollitt,sub,,54,,11
2016-12-10,38,James Wallace,sub,,65,,9
2016-12-10,4,Steven Jennings,sub,,76,,24
2017-01-14,1,Scott Davies,starter,,,,
2017-01-14,2,Lee Vaughan,starter,,,,
2017-01-14,4,Steve McNulty,starter,,,,
2017-01-14,12,Ritchie Sutton,starter,,,,
2017-01-14,3,Liam Ridehalgh,starter,,,,
2017-01-14,4,Steven Jennings,starter,,,,
2017-01-14,24,Jeff Hughes,starter,,,,
2017-01-14,20,Lois Maynard,starter,,,9,
2017-01-14,14,Jake Kirby,starter,,,,
2017-01-14,19,Andy Mangan,starter,,,23,
2017-01-14,10,James Norwood,starter,,,18,
2017-01-14,9,Andy Cook,sub,,,,20
2017-01-14,23,Cole Stockton,sub,,,,19
2017-01-14,18,Ben Tollitt,sub,,,,10
2017-02-04,1,Scott Davies,starter,,,,
2017-02-04,2,Lee Vaughan,starter,62,,23,
2017-02-04,6,Michael Ihiekwe,starter,,,,
2017-02-04,5,Steve McNulty,starter,,,,
2017-02-04,3,Liam Ridehalgh,starter,,,,
2017-02-04,38,James Wallace,starter,,,,
2017-02-04,24,Jeff Hughes,starter,,,,
2017-02-04,20,Lois Maynard,starter,46,,16,
2017-02-04,18,Ben Tollitt,starter,,,,
2017-02-04,9,Andy Cook,starter,62,,19,
2017-02-04,10,James Norwood,starter,,,,
2017-02-04,16,Jack Dunn,sub,,46,,20
2017-02-04,19,Andy Mangan,sub,,62,,9
2017-02-04,23,Cole Stockton,sub,,62,,2
2017-02-08,1,Scott Davies,starter,,,,
2017-02-08,20,Lois Maynard,starter,,,,
2017-02-08,12,Ritchie Sutton,starter,,,,
2017-02-08,6,Michael Ihiekwe,starter,,,,
2017-02-08,2,Lee Vaughan,starter,,,,
2017-02-08,14,Jake Kirby,starter,,,,
2017-02-08,4,Steven Jennings,starter,,,,
2017-02-08,8,Jay Harris,starter,,,,
2017-02-08,22,Adam Buxton,starter,,,,
2017-02-08,19,Andy Mangan,starter,,,,
2017-02-08,23,Cole Stockton,starter,,,,
2017-02-25,1,Scott Davies,starter,,,,
2017-02-25,12,Ritchie Sutton,starter,,,,
2017-02-25,4,Steve McNulty,starter,,,,
2017-02-25,6,Michael Ihiekwe,starter,,,,
2017-02-25,2,Lee Vaughan,starter,,,
2017-02-25,24,Jeff Hughes,starter,,,,
2017-02-25,17,Jake Kirby,starter,26,,7,
2017-02-25,20,Lois Maynard,starter,,,,
2017-02-25,3,Liam Ridehalgh,starter,,,,
2017-02-25,19,Andy Mangan,starter,,,,
2017-02-25,23,Cole Stockton,starter,,,,
2017-02-25,7,Adam Mekki,sub,,26,,17
2017-03-11,1,Scott Davies,starter,,,,
2017-03-11,12,Ritchie Sutton,starter,,,,
2017-03-11,5,Steve McNulty,starter,,,,
2017-03-11,6,Michael Ihiekwe,starter,,,,
2017-03-11,22,Adam Buxton,starter,54,,2,
2017-03-11,4,Steven Jennings,starter,11,,46,
2017-03-11,8,Jay Harris,starter,,,,
2017-03-11,24,Jeff Hughes,starter,,,,
2017-03-11,3,Liam Ridehalgh,starter,,,,
2017-03-11,9,Andy Cook,starter,,,,
2017-03-11,10,James Norwood,starter,19,,70,
2017-03-11,2,Lee Vaughan,sub,,54,,22
2017-03-11,11,Connor Jennings,sub,,46,,4
2017-03-11,19,Andy Mangan,sub,,70,,10
2017-03-18,1,Scott Davies,starter,,,,
2017-03-18,2,Lee Vaughan,starter,,,,
2017-03-18,4,Steve McNulty,starter,,,,
2017-03-18,6,Michael Ihiekwe,starter,,,,
2017-03-18,3,Liam Ridehalgh,starter,,,,
2017-03-18,8,Jay Harris,starter,,,,
2017-03-18,24,Jeff Hughes,starter,,,,
2017-03-18,7,Adam Mekki,starter,80,,19,
2017-03-18,11,Connor Jennings,starter,,,,
2017-03-18,10,James Norwood,starter,,,,
2017-03-18,9,Andy Cook,starter,,,,
2017-03-18,19,Andy Mangan,sub,,80,,7
