game_date,player_name,minute,penalty,own_goal
2015-12-12,James Norwood,45,0,0
2015-12-12,James Norwood,82,0,0
2016-12-10,Ritchie Sutton,26,0,0
2017-01-14,Ritchie Sutton,14,0,0
2017-01-14,Jeff Hughes,20,1,0
2017-01-14,Jake Kirby,44,0,0
2017-01-14,Cole Stockton,90,0,0
2017-02-04,Cole Stockton,69,0,0
2017-02-08,Jake Kirby,30,0,0
2017-02-08,Mark Haines,34,0,1
2017-02-08,Ritchie Sutton,43,0,0
2017-02-08,Jake Kirby,70,0,0
2017-02-25,Michael Ihiekwe,32,0,0
2017-02-25,Cole Stockton,59,0,0
2017-02-25,Cole Stockton,72,0,0
2017-02-25,Cole Stockton,83,0,0
2017-02-25,Andy Mangan,82,0,0
2017-03-11,Jeff Hughes,2,1,0
2016-10-15,Moussa Diarra,24,0,1
2017-10-14,Connor Jennings,7,0,0
2017-10-14,James Norwood,45,0,0
2017-10-14,Liam Ridehalgh,56,0,0
