game_date,player_name,minute,penalty,own_goal
2015-12-12,Wes York,4,0,0
2015-12-12,Dominic Vose,44,0,0
2015-12-12,Sean Newton,60,0,0
2015-12-12,Manny Smith,66,0,0
2017-01-14,Kieran Lavery,73,0,0
2017-02-04,Robbie Wilmott,20,0,0
2017-02-08,Elliott Buchanan,62,0,0
2017-02-25,Jordan Williams,12,0,0
2017-03-11,Ollie Norburn,53,0,0
2017-03-18,Ollie Norburn,68,0,0
2017-12-18,James Osborne,7,0,0
2017-12-18,Jermaine Hylton,40,1,0
2016-10-15,Richie Bennett,16,0,0
2016-10-15,Paul Turnbull,64,0,0
2016-10-15,Bennett,16,0,0
2016-10-15,Turnbull,64,0,0
2017-10-14,Steve McNulty,22,0,1
