manager_name,date_from,date_to,role
Bert Cooke,1921-08-27,1935-04-30,Secretary/Manager
Jack Carr,1935-07-02,1936-10-22,Manager
No manager,1936-10-23,1936-11-30,Manager
Jim Knowles,1936-12-01,1939-09-03,Secretary/Manager
Ernie Blackburn,1946-08-31,1955-12-12,Secretary/Manager
Noel Kelly,1955-12-13,1957-10-04,Manager
Peter Farrell,1957-10-05,1960-12-12,Manager
No manager,1960-12-13,1961-01-06,Manager
Walter Galbraith,1961-01-07,1961-12-11,Manager
Dave Russell,1961-12-14,1969-12-22,Manager
Jackie Wright,1969-12-23,1972-04-09,Manager
Ron Yeats,1972-04-10,1975-04-03,Manager
John King,1975-04-04,1980-09-05,Manager
No manager,1980-09-06,1980-09-30,Manager
Bryan Hamilton,1980-10-01,1985-02-07,Manager
Ray Mathias,1985-02-08,1985-07-07,Caretaker
Frank Worthington,1985-07-08,1987-02-12,Manager
Ronnie Moore,1987-02-13,1987-04-12,Manager
John King,1987-04-13,1996-04-12,Manager
John Aldridge,1996-04-12,2001-03-17,Manager
