season,game_no,player_name,shirt_no,role,on_for,off_for
1921/22,1,Bradshaw,1,starter,,
1921/22,1,Grainger,2,starter,,
1921/22,1,Stuart,3,starter,,
1921/22,1,Campbell,4,starter,,
1921/22,1,Milnes,5,starter,,
1921/22,1,Heslop,6,starter,,
1921/22,1,Moreton,7,starter,,
1921/22,1,Groves,8,starter,,
1921/22,1,Hyam,9,starter,,
1921/22,1,Ford,10,starter,,
1921/22,1,Hughes,11,starter,,
1921/22,2,Bradshaw,1,starter,,
1921/22,2,Hayes C,2,starter,,
1921/22,2,Stuart,3,starter,,
1921/22,2,Campbell,4,starter,,
1921/22,2,Milnes,5,starter,,
1921/22,2,Heslop,6,starter,,
1921/22,2,Moreton,7,starter,,
1921/22,2,Robinson A,8,starter,,
1921/22,2,Groves,9,starter,,
1921/22,2,Prentice,10,starter,,
1921/22,2,Hughes,11,starter,,
1921/22,3,Bradshaw,1,starter,,
1921/22,3,Hayes C,2,starter,,
1921/22,3,Stuart,3,starter,,
1921/22,3,Campbell,4,starter,,
1921/22,3,Milnes,5,starter,,
1921/22,3,Heslop,6,starter,,
1921/22,3,Moreton,7,starter,,
1921/22,3,Robinson A,8,starter,,
1921/22,3,Groves,9,starter,,
1921/22,3,Prentice,10,starter,,
1921/22,3,Hughes,11,starter,,
1921/22,4,Bradshaw,1,starter,,
1921/22,4,Hayes C,2,starter,,
1921/22,4,Stuart,3,starter,,
1921/22,4,Campbell,4,starter,,
1921/22,4,Milnes,5,starter,,
1921/22,4,Fairclough,6,starter,,
1921/22,4,Moreton,7,starter,,
1921/22,4,Robinson A,8,starter,,
1921/22,4,Groves,9,starter,,
1921/22,4,Prentice,10,starter,,
1921/22,4,Roberts,11,starter,,
1921/22,5,Bradshaw,1,starter,,
1921/22,5,Hayes C,2,starter,,
1921/22,5,Stuart,3,starter,,
1921/22,5,Campbell,4,starter,,
1921/22,5,Heslop,5,starter,,
1921/22,5,Fairclough,6,starter,,
1921/22,5,Moreton,7,starter,,
1921/22,5,Groves,8,starter,,
1921/22,5,Bullough,9,starter,,
1921/22,5,Prentice,10,starter,,
1921/22,5,Roberts,11,starter,,
1921/22,6,Bradshaw,1,starter,,
1921/22,6,Hayes C,2,starter,,
1921/22,6,Stuart,3,starter,,
1921/22,6,Campbell,4,starter,,
1921/22,6,Mercer,5,starter,,
1921/22,6,Heslop,6,starter,,
1921/22,6,Cook,7,starter,,
1921/22,6,Groves,8,starter,,
1921/22,6,Bullough,9,starter,,
1921/22,6,Cunningham,10,starter,,
1921/22,6,Prentice,11,starter,,
1921/22,7,Bradshaw,1,starter,,
1921/22,7,Hayes C,2,starter,,
1921/22,7,Stuart,3,starter,,
1921/22,7,Campbell,4,starter,,
1921/22,7,Mercer,5,starter,,
1921/22,7,Heslop,6,starter,,
1921/22,7,Moreton,7,starter,,
1921/22,7,Groves,8,starter,,
1921/22,7,Bullough,9,starter,,
1921/22,7,Cunningham,10,starter,,
1921/22,7,Prentice,11,starter,,
1921/22,8,Bradshaw,1,starter,,
1921/22,8,Hayes C,2,starter,,
1921/22,8,Stuart,3,starter,,
1921/22,8,Campbell,4,starter,,
1921/22,8,Mercer,5,starter,,
1921/22,8,Roberts,6,starter,,
1921/22,8,Cook,7,starter,,
1921/22,8,Groves,8,starter,,
1921/22,8,Bullough,9,starter,,
1921/22,8,Cunningham,10,starter,,
1921/22,8,Prentice,11,starter,,
1921/22,9,Bradshaw,1,starter,,
1921/22,9,Hayes C,2,starter,,
1921/22,9,Stuart,3,starter,,
1921/22,9,Campbell,4,starter,,
1921/22,9,Mercer,5,starter,,
1921/22,9,Roberts,6,starter,,
1921/22,9,Cook,7,starter,,
1921/22,9,Ford,8,starter,,
1921/22,9,Groves,9,starter,,
1921/22,9,Cunningham,10,starter,,
1921/22,9,Prentice,11,starter,,
1921/22,10,Bradshaw,1,starter,,
1921/22,10,Hayes C,2,starter,,
1921/22,10,Stuart,3,starter,,
1921/22,10,Campbell,4,starter,,
1921/22,10,Mercer,5,starter,,
1921/22,10,Roberts,6,starter,,
1921/22,10,Cook,7,starter,,
1921/22,10,Stott,8,starter,,
1921/22,10,Groves,9,starter,,
1921/22,10,Cunningham,10,starter,,
1921/22,10,Prentice,11,starter,,
1921/22,11,Bradshaw,1,starter,,
1921/22,11,Hayes C,2,starter,,
1921/22,11,Stuart,3,starter,,
1921/22,11,Campbell,4,starter,,
1921/22,11,Mercer,5,starter,,
1921/22,11,Roberts,6,starter,,
1921/22,11,Cook,7,starter,,
1921/22,11,Groves,8,starter,,
1921/22,11,Bullough,9,starter,,
1921/22,11,Cunningham,10,starter,,
1921/22,11,Prentice,11,starter,,
1921/22,12,Bradshaw,1,starter,,
