season,game_no,game_date,disam_name,player_name,goals_scored
1921/22,1,1921-08-27,Stuart,Tom Stuart,1
1921/22,1,1921-08-27,Milnes,Charles Milnes,1
1921/22,1,1921-08-27,Groves,Fred Groves,1
1921/22,1,1921-08-27,Ford,John Ford,1
1921/22,2,1921-09-03,Prentice,John Prentice,1
1921/22,5,1921-09-24,Bullough,Denis Bullough,1
1921/22,5,1921-09-24,Prentice,John Prentice,1
1921/22,6,1921-10-01,Groves,Fred Groves,1
1921/22,6,1921-10-01,Bullough,Denis Bullough,1
1921/22,7,1921-10-08,Bullough,Denis Bullough,1
1921/22,8,1921-10-15,Groves,Fred Groves,2
1921/22,8,1921-10-15,Bullough,Denis Bullough,1
1921/22,8,1921-10-15,Cunningham,Charlie Cunningham,4
1921/22,9,1921-10-22,Campbell,Johnny Campbell,1
1921/22,9,1921-10-22,Ford,John Ford,1
1921/22,9,1921-10-22,Groves,Fred Groves,1
1921/22,9,1921-10-22,Cunningham,Charlie Cunningham,1
1921/22,12,1921-11-12,Groves,Fred Groves,2
1921/22,13,1921-11-19,Cook,Fred Cook,1
1921/22,13,1921-11-19,Bullough,Denis Bullough,1
1921/22,13,1921-11-19,Prentice,John Prentice,2
1921/22,14,1921-11-24,Cook,Fred Cook,1
1921/22,14,1921-11-24,Bullough,Denis Bullough,1
1921/22,16,1921-12-10,Bullough,Denis Bullough,1
1921/22,19,1921-12-26,Hilton,Harold Hilton,1
1921/22,19,1921-12-26,Cunningham,Charlie Cunningham,1
1921/22,20,1921-12-27,Prentice,John Prentice,1
1921/22,21,1921-12-31,Roberts,James Roberts,1
1921/22,21,1921-12-31,Lloyd,Evan Lloyd,1
1921/22,22,1922-01-14,Hilton,Harold Hilton,1
1921/22,23,1922-01-21,Moreton,Jimmy Moreton,1
1921/22,23,1922-01-21,Ford,John Ford,1
1921/22,27,1922-02-18,Stuart,Tom Stuart,1
1921/22,28,1922-02-25,Mercer,Joe Mercer,1
1921/22,28,1922-02-25,Moreton,Jimmy Moreton,1
1921/22,28,1922-02-25,Fulton,David Fulton,1
1921/22,28,1922-02-25,OG,OG,1
1921/22,30,1922-03-18,Stuart,Tom Stuart,1
1921/22,30,1922-03-18,Fulton,David Fulton,1
1921/22,32,1922-04-01,Ford,John Ford,1
1921/22,32,1922-04-01,Fulton,David Fulton,1
1921/22,32,1922-04-01,OG,OG,1
1921/22,34,1922-04-14,Moreton,Jimmy Moreton,1
1921/22,34,1922-04-14,Lloyd,Evan Lloyd,1
1921/22,38,1922-04-22,Stuart,Tom Stuart,1
1921/22,38,1922-04-22,Rainford,Billy Rainford,2
1921/22,39,1922-04-29,Campbell,Johnny Campbell,1
1921/22,39,1922-04-29,Milnes,Charles Milnes,1
1921/22,39,1922-04-29,Moreton,Jimmy Moreton,1
1921/22,39,1922-04-29,Rainford,Billy Rainford,1
1922/23,1,1922-08-26,Sharkey,Bernard Sharkey,1
1922/23,2,1922-09-02,Thompson,Bob Thompson,1
1922/23,3,1922-09-09,Thompson,Bob Thompson,1
1922/23,3,1922-09-09,Phillips,Ernest Phillips,1
1922/23,3,1922-09-09,Moreton,Jimmy Moreton,1
1922/23,3,1922-09-09,Sharkey,Bernard Sharkey,1
1922/23,4,1922-09-16,Rainford,Billy Rainford,1
1922/23,5,1922-09-23,Rainford,Billy Rainford,1
1922/23,6,1922-09-30,Rainford,Billy Rainford,1
1922/23,6,1922-09-30,Evans,Jabez Evans,1
1922/23,11,1922-11-04,Moreton,Jimmy Moreton,1
1922/23,11,1922-11-04,OG,OG,1
1922/23,12,1922-11-11,Evans,Jabez Evans,1
1922/23,17,1922-12-23,Thompson,Bob Thompson,1
1922/23,17,1922-12-23,Sharkey,Bernard Sharkey,1
1922/23,18,1922-12-25,Hayes F,Fred Hayes,1
1922/23,22,1923-01-06,Robinson J,James Robinson,1
1922/23,23,1923-01-13,Campbell,Johnny Campbell,1
1922/23,23,1923-01-13,Beswick,Sammy Beswick,1
1922/23,23,1923-01-13,Hilton,Harold Hilton,2
1922/23,23,1923-01-13,Evans,Jabez Evans,1
1922/23,25,1923-01-27,Crowther,George Crowther,1
1922/23,25,1923-01-27,Evans,Jabez Evans,2
1922/23,26,1923-02-03,Beswick,Sammy Beswick,1
