game_date,player_name,min_on,min_off,min_so
1965-08-23,Jack Lornie,75,0,0
1965-08-23,Mandy Hill,0,75,0
1965-10-15,Eddie Stuart,0,82,0
1965-10-15,Johnny King,82,0,0
1966-01-08,Barry Dyson,0,73,0
1966-01-08,Graham Stanley,73,0,0
1966-01-14,Jack Lornie,60,0,0
1966-01-14,Joe Pritchard,0,60,0
1966-04-23,Barrie Martin,68,0,0
1966-04-23,Jack Lornie,0,68,0
1967-08-19,Gerry Casey,0,0,49
1984-05-21,Dave Higgins,0,0,89
1986-03-25,Johnny Morrissey,70,0,0
1986-03-25,Mark Hughes,0,70,0
1986-09-27,Andy Thorpe,0,0,90
1986-09-27,Doug Anderson,0,46,0
1986-09-27,Frank Worthington,46,0,0
1986-10-11,Frank Worthington,39,0,77
1986-10-11,Mark Hughes,0,39,0
1987-02-14,Simon Farnworth,0,0,87
1987-03-21,Andy Thorpe,73,0,0
1987-03-21,Johnny Morrissey,0,0,43
1987-03-21,Neil Horwood,0,73,0
1987-08-18,Mark McCarrick,0,0,44
1987-09-15,Steve Mungall,0,0,64
1987-10-17,Chris Malkin,0,75,0
1987-10-17,Dave Higgins,75,0,0
1987-10-17,Mark Hughes,0,75,0
1987-10-17,Steve Craven,75,0,0
1987-10-30,Dave Higgins,29,0,0
1987-10-30,Mark Hughes,0,29,0
1987-10-30,Ronnie Moore,0,78,0
1987-10-30,Steve Craven,78,0,0
1988-09-05,Dave Higgins,0,50,0
1988-09-05,Mark McCarrick,90,0,0
1988-10-24,Mark Hughes,0,0,71
1988-10-24,Mark McCarrick,0,0,53
1988-11-12,Johnny Morrissey,0,0,63
1988-12-13,Chris Malkin,80,0,0
1988-12-13,Johnny Morrissey,0,80,0
1989-02-18,Johnny Morrissey,0,0,71
1989-03-13,Eddie Bishop,0,0,25
1989-03-17,Eddie Murray,65,0,0
1989-03-17,Mark Hughes,0,65,0
1990-02-06,Eddie Bishop,83,0,0
1990-02-06,Jimmy Harvey,0,83,0
1990-02-09,Chris Malkin,57,0,0
1990-02-09,Johnny Morrissey,0,57,0
1990-02-17,Neil McNab,0,0,17
1990-03-03,Dave Martindale,75,0,0
1990-03-03,Ian Muir,0,75,0
1990-04-14,Eddie Bishop,0,0,85
1990-04-20,David Fairclough,67,0,0
1990-04-20,Steve Mungall,0,67,0
1990-04-23,David Fairclough,73,0,0
1990-04-23,Eddie Bishop,80,0,0
1990-04-23,Jimmy Harvey,0,80,0
