season,game_no,player_name,goals_scored,game_date,opposition,venue,score,goals_for,goals_against,generic_comp,game_type,league_tier,manager
1921/22,1,Tom Stuart,1,1921-08-27,Crewe Alexandra,H,4-1,4,1,Football League,League,3,Bert Cooke
1921/22,1,Charles Milnes,1,1921-08-27,Crewe Alexandra,H,4-1,4,1,Football League,League,3,Bert Cooke
1921/22,1,Fred Groves,1,1921-08-27,Crewe Alexandra,H,4-1,4,1,Football League,League,3,Bert Cooke
1921/22,1,John Ford,1,1921-08-27,Crewe Alexandra,H,4-1,4,1,Football League,League,3,Bert Cooke
1921/22,2,John Prentice,1,1921-09-03,Crewe Alexandra,A,1-1,1,1,Football League,League,3,Bert Cooke
1921/22,5,Denis Bullough,1,1921-09-24,Halifax Town,H,2-2,2,2,Football League,League,3,Bert Cooke
1921/22,5,John Prentice,1,1921-09-24,Halifax Town,H,2-2,2,2,Football League,League,3,Bert Cooke
1921/22,6,Fred Groves,1,1921-10-01,Halifax Town,A,2-0,2,0,Football League,League,3,Bert Cooke
1921/22,6,Denis Bullough,1,1921-10-01,Halifax Town,A,2-0,2,0,Football League,League,3,Bert Cooke
1921/22,7,Denis Bullough,1,1921-10-08,Rochdale,A,1-2,1,2,Football League,League,3,Bert Cooke
1921/22,8,Fred Groves,2,1921-10-15,Rochdale,H,7-0,7,0,Football League,League,3,Bert Cooke
1921/22,8,Denis Bullough,1,1921-10-15,Rochdale,H,7-0,7,0,Football League,League,3,Bert Cooke
1921/22,8,Charlie Cunningham,4,1921-10-15,Rochdale,H,7-0,7,0,Football League,League,3,Bert Cooke
1921/22,9,Johnny Campbell,1,1921-10-22,Stalybridge Celtic,H,4-1,4,1,Football League,League,3,Bert Cooke
1921/22,9,John Ford,1,1921-10-22,Stalybridge Celtic,H,4-1,4,1,Football League,League,3,Bert Cooke
1921/22,9,Fred Groves,1,1921-10-22,Stalybridge Celtic,H,4-1,4,1,Football League,League,3,Bert Cooke
1921/22,9,Charlie Cunningham,1,1921-10-22,Stalybridge Celtic,H,4-1,4,1,Football League,League,3,Bert Cooke
1921/22,12,Fred Groves,2,1921-11-12,Wigan Borough,H,2-0,2,0,Football League,League,3,Bert Cooke
1921/22,13,Fred Cook,1,1921-11-19,Altrincham,A,4-4,4,4,FA Cup,Cup,NA,Bert Cooke
1921/22,13,Denis Bullough,1,1921-11-19,Altrincham,A,4-4,4,4,FA Cup,Cup,NA,Bert Cooke
1921/22,13,John Prentice,2,1921-11-19,Altrincham,A,4-4,4,4,FA Cup,Cup,NA,Bert Cooke
1921/22,14,Fred Cook,1,1921-11-24,Altrincham,H,2-4,2,4,FA Cup,Cup,NA,Bert Cooke
1921/22,14,Denis Bullough,1,1921-11-24,Altrincham,H,2-4,2,4,FA Cup,Cup,NA,Bert Cooke
1921/22,16,Denis Bullough,1,1921-12-10,Southport,A,1-1,1,1,Football League,League,3,Bert Cooke
1921/22,19,Harold Hilton,1,1921-12-26,Ashington,H,2-3,2,3,Football League,League,3,Bert Cooke
1921/22,19,Charlie Cunningham,1,1921-12-26,Ashington,H,2-3,2,3,Football League,League,3,Bert Cooke
1921/22,20,John Prentice,1,1921-12-27,Hartlepools United,H,1-2,1,2,Football League,League,3,Bert Cooke
1921/22,21,James Roberts,1,1921-12-31,Grimsby Town,H,2-2,2,2,Football League,League,3,Bert Cooke
1921/22,21,Evan Lloyd,1,1921-12-31,Grimsby Town,H,2-2,2,2,Football League,League,3,Bert Cooke
1921/22,22,Harold Hilton,1,1922-01-14,Grimsby Town,A,1-5,1,5,Football League,League,3,Bert Cooke
1921/22,23,Jimmy Moreton,1,1922-01-21,Accrington Stanley,H,2-4,2,4,Football League,League,3,Bert Cooke
1921/22,23,John Ford,1,1922-01-21,Accrington Stanley,H,2-4,2,4,Football League,League,3,Bert Cooke
1921/22,27,Tom Stuart,1,1922-02-18,Lincoln City,A,1-4,1,4,Football League,League,3,Bert Cooke
1921/22,28,Joe Mercer,1,1922-02-25,Lincoln City,H,4-0,4,0,Football League,League,3,Bert Cooke
1921/22,28,Jimmy Moreton,1,1922-02-25,Lincoln City,H,4-0,4,0,Football League,League,3,Bert Cooke
1921/22,28,David Fulton,1,1922-02-25,Lincoln City,H,4-0,4,0,Football League,League,3,Bert Cooke
1921/22,28,OG,1,1922-02-25,Lincoln City,H,4-0,4,0,Football League,League,3,Bert Cooke
1921/22,30,Tom Stuart,1,1922-03-18,Barrow,H,2-2,2,2,Football League,League,3,Bert Cooke
1921/22,30,David Fulton,1,1922-03-18,Barrow,H,2-2,2,2,Football League,League,3,Bert Cooke
1921/22,32,John Ford,1,1922-04-01,Durham City,H,3-3,3,3,Football League,League,3,Bert Cooke
1921/22,32,David Fulton,1,1922-04-01,Durham City,H,3-3,3,3,Football League,League,3,Bert Cooke
1921/22,32,OG,1,1922-04-01,Durham City,H,3-3,3,3,Football League,League,3,Bert Cooke
1921/22,34,Jimmy Moreton,1,1922-04-14,Chesterfield,H,2-0,2,0,Football League,League,3,Bert Cooke
1921/22,34,Evan Lloyd,1,1922-04-14,Chesterfield,H,2-0,2,0,Football League,League,3,Bert Cooke
1921/22,38,Tom Stuart,1,1922-04-22,Wrexham,A,3-1,3,1,Football League,League,3,Bert Cooke
1921/22,38,Billy Rainford,2,1922-04-22,Wrexham,A,3-1,3,1,Football League,League,3,Bert Cooke
1921/22,39,Johnny Campbell,1,1922-04-29,Nelson,H,4-0,4,0,Football League,League,3,Bert Cooke
1921/22,39,Charles Milnes,1,1922-04-29,Nelson,H,4-0,4,0,Football League,League,3,Bert Cooke
