surname,forename,player_name,ssn,season,disam_name
A'Court,Alan,Alan A'Court,1964,1964/65,A'Court
A'Court,Alan,Alan A'Court,1965,1965/66,A'Court
Adams,Arthur,Arthur Adams,1929,1929/30,Adams
Adams,Arthur,Arthur Adams,1930,1930/31,Adams
Adams,Arthur,Arthur Adams,1931,1931/32,Adams
Adams,Arthur,Arthur Adams,1932,1932/33,Adams
Adkins,Nigel,Nigel Adkins,1982,1982/83,Adkins
Adkins,Nigel,Nigel Adkins,1983,1983/84,Adkins
Adkins,Nigel,Nigel Adkins,1984,1984/85,Adkins
Adkins,Nigel,Nigel Adkins,1985,1985/86,Adkins
Alcock,Edward,Edward Alcock,1935,1935/36,Alcock
Aldridge,John,John Aldridge,1991,1991/92,Aldridge
Aldridge,John,John Aldridge,1992,1992/93,Aldridge
Aldridge,John,John Aldridge,1993,1993/94,Aldridge
Aldridge,John,John Aldridge,1994,1994/95,Aldridge
Aldridge,John,John Aldridge,1995,1995/96,Aldridge
Aldridge,John,John Aldridge,1996,1996/97,Aldridge
Alexander,Alex,Alex Alexander,1946,1946/47,Alexander
Alexander,Alex,Alex Alexander,1947,1947/48,Alexander
Alexander,Alex,Alex Alexander,1948,1948/49,Alexander
Alldis,Gillie,Gillie Alldis,1938,1938/39,Alldis
Alldis,Gillie,Gillie Alldis,1946,1946/47,Alldis
Alldis,Gillie,Gillie Alldis,1947,1947/48,Alldis
Alldis,Gillie,Gillie Alldis,1948,1948/49,Alldis
Allen,Mark,Mark Allen,1983,1983/84,Allen
Allen,Russell,Russell Allen,1973,1973/74,Allen
Allen,Russell,Russell Allen,1974,1974/75,Allen
Allen,Russell,Russell Allen,1975,1975/76,Allen
Allen,Russell,Russell Allen,1976,1976/77,Allen
Allen,Russell,Russell Allen,1977,1977/78,Allen
Almond,John,John Almond,1936,1936/37,Almond
Amery,Charlie,Charlie Amery,1935,1935/36,Amery
Amery,Charlie,Charlie Amery,1936,1936/37,Amery
Amery,Charlie,Charlie Amery,1937,1937/38,Amery
Anders,Jimmy,Jimmy Anders,1961,1961/62,Anders
Anderson,Doug,Doug Anderson,1984,1984/85,Anderson
Anderson,Doug,Doug Anderson,1985,1985/86,Anderson
Anderson,Doug,Doug Anderson,1986,1986/87,Anderson
Anderson,Ted,Ted Anderson,1937,1937/38,Anderson
Anderson,Ted,Ted Anderson,1938,1938/39,Anderson
Anderson,Ted,Ted Anderson,1945,1945/46,Anderson
Anderson,Ted,Ted Anderson,1946,1946/47,Anderson
Anderson,Ted,Ted Anderson,1947,1947/48,Anderson
Arnell,Alan,Alan Arnell,1960,1960/61,Arnell
Arnell,Alan,Alan Arnell,1961,1961/62,Arnell
Arnell,Alan,Alan Arnell,1962,1962/63,Arnell
Ashcroft,Billy,Billy Ashcroft,1985,1985/86,Ashcroft
Ashcroft,Llew,Llew Ashcroft,1945,1945/46,Ashcroft
Ashcroft,Llew,Llew Ashcroft,1946,1946/47,Ashcroft
Ashworth,Barry,Barry Ashworth,1966,1966/67,Ashworth
Aspinall,John,John Aspinall,1982,1982/83,Aspinall
Aspinall,John,John Aspinall,1983,1983/84,Aspinall
Aspinall,John,John Aspinall,1984,1984/85,Aspinall
Aspinall,John,John Aspinall,1987,1987/88,Aspinall
Atkinson,Harold,Harold Atkinson,1945,1945/46,Atkinson
Atkinson,Harold,Harold Atkinson,1946,1946/47,Atkinson
Atkinson,Harold,Harold Atkinson,1947,1947/48,Atkinson
Atkinson,Harold,Harold Atkinson,1948,1948/49,Atkinson
Atkinson,Harold,Harold Atkinson,1949,1949/50,Atkinson
Atkinson,Harold,Harold Atkinson,1950,1950/51,Atkinson
Atkinson,Harold,Harold Atkinson,1951,1951/52,Atkinson
Atkinson,Harold,Harold Atkinson,1952,1952/53,Atkinson
Atkinson,Harold,Harold Atkinson,1953,1953/54,Atkinson
Atkinson,Harold,Harold Atkinson,1954,1954/55,Atkinson
Bainbridge,Bill,Bill Bainbridge,1948,1948/49,Bainbridge
Bainbridge,Bill,Bill Bainbridge,1949,1949/50,Bainbridge
Bainbridge,Bill,Bill Bainbridge,1950,1950/51,Bainbridge
Bainbridge,Bill,Bill Bainbridge,1951,1951/52,Bainbridge
Bainbridge,Bill,Bill Bainbridge,1952,1952/53,Bainbridge
Bainbridge,Bill,Bill Bainbridge,1953,1953/54,Bainbridge
Baker,Horace,Horace Baker,1934,1934/35,Baker
Baker,Horace,Horace Baker,1935,1935/36,Baker
Baldwin,Edmund,Edmund Baldwin,1921,1921/22,Baldwin
Bamber,Jack,Jack Bamber,1927,1927/28,Bamber
Bamber,Jack,Jack Bamber,1928,1928/29,Bamber
Bamber,Jack,Jack Bamber,1929,1929/30,Bamber
Barnett,Graham,Graham Barnett,1959,1959/60,Barnett
Barnett,Graham,Graham Barnett,1960,1960/61,Barnett
Barrett,Arthur,Arthur Barrett,1946,1946/47,Barrett
Barrie,John,John Barrie,1948,1948/49,Barrie
Barrie,John,John Barrie,1949,1949/50,Barrie
Barrie,John,John Barrie,1950,1950/51,Barrie
