surname,forename,player_name,ssn,season,disam_name
Simonsen,Steve,Steve Simonsen,1998,1998/99,Simonsen
Frail,Stephen,Stephen Frail,1998,1998/99,Frail
Thompson,Andy,Andy Thompson,1998,1998/99,Thompson
McGreal,John,John McGreal,1998,1998/99,McGreal
Hill,Clint,Clint Hill,1998,1998/99,Hill
Irons,Kenny,Kenny Irons,1998,1998/99,Irons
Morrissey,Johnny,Johnny Morrissey,1998,1998/99,Morrissey
Santos,Georges,Georges Santos,1998,1998/99,Santos
Kelly,David,David Kelly,1998,1998/99,Kelly
Russell,Craig,Craig Russell,1998,1998/99,Russell
Mellon,Micky,Micky Mellon,1998,1998/99,Mellon
Parkinson,Andy,Andy Parkinson,1998,1998/99,Parkinson
Jones G,Gary,Gary Jones,1998,1998/99,Jones G
Jones L,Lee,Lee Jones,1998,1998/99,Jones L
Morgan,Alan,Alan Morgan,1998,1998/99,Morgan
Mahon,Alan,Alan Mahon,1998,1998/99,Mahon
Koumas,Jason,Jason Koumas,1998,1998/99,Koumas
Sharps,Ian,Ian Sharps,1998,1998/99,Sharps
Coyne,Danny,Danny Coyne,1998,1998/99,Coyne
Allen,Graham,Graham Allen,1998,1998/99,Allen
O'Brien,Liam,Liam O'Brien,1998,1998/99,O'Brien
Challinor,Dave,Dave Challinor,1998,1998/99,Challinor
Achterberg,John,John Achterberg,1998,1998/99,Achterberg
Taylor,Scott,Scott Taylor,1998,1998/99,Taylor
Gibson,Neil,Neil Gibson,1998,1998/99,Gibson
Shepherd,Paul,Paul Shepherd,1998,1998/99,Shepherd
Williams,Ryan,Ryan Williams,1998,1998/99,Williams
Hinds,Richard,Richard Hinds,1998,1998/99,Hinds
