season,game_no,player_name,goals_scored
1921/22,1,Tom Stuart,1
1921/22,1,Charles Milnes,1
1921/22,1,Fred Groves,1
1921/22,1,John Ford,1
1921/22,2,John Prentice,1
1921/22,5,Denis Bullough,1
1921/22,5,John Prentice,1
1921/22,6,Fred Groves,1
1921/22,6,Denis Bullough,1
1921/22,7,Denis Bullough,1
1921/22,8,Fred Groves,2
1921/22,8,Denis Bullough,1
1921/22,8,Charlie Cunningham,4
1921/22,9,Johnny Campbell,1
1921/22,9,John Ford,1
1921/22,9,Fred Groves,1
1921/22,9,Charlie Cunningham,1
1921/22,12,Fred Groves,2
1921/22,13,Fred Cook,1
1921/22,13,Denis Bullough,1
1921/22,13,John Prentice,2
1921/22,14,Fred Cook,1
1921/22,14,Denis Bullough,1
1921/22,16,Denis Bullough,1
1921/22,19,Harold Hilton,1
1921/22,19,Charlie Cunningham,1
1921/22,20,John Prentice,1
1921/22,21,James Roberts,1
1921/22,21,Evan Lloyd,1
1921/22,22,Harold Hilton,1
1921/22,23,Jimmy Moreton,1
1921/22,23,John Ford,1
1921/22,27,Tom Stuart,1
1921/22,28,Joe Mercer,1
1921/22,28,Jimmy Moreton,1
1921/22,28,David Fulton,1
1921/22,28,OG,1
1921/22,30,Tom Stuart,1
1921/22,30,David Fulton,1
1921/22,32,John Ford,1
1921/22,32,David Fulton,1
1921/22,32,OG,1
1921/22,34,Jimmy Moreton,1
1921/22,34,Evan Lloyd,1
1921/22,38,Tom Stuart,1
1921/22,38,Billy Rainford,2
1921/22,39,Johnny Campbell,1
1921/22,39,Charles Milnes,1
1921/22,39,Jimmy Moreton,1
1921/22,39,Billy Rainford,1
1922/23,1,Bernard Sharkey,1
1922/23,2,Bob Thompson,1
1922/23,3,Bob Thompson,1
1922/23,3,Ernest Phillips,1
1922/23,3,Jimmy Moreton,1
1922/23,3,Bernard Sharkey,1
1922/23,4,Billy Rainford,1
1922/23,5,Billy Rainford,1
1922/23,6,Billy Rainford,1
1922/23,6,Jabez Evans,1
1922/23,11,Jimmy Moreton,1
1922/23,11,OG,1
1922/23,12,Jabez Evans,1
1922/23,17,Bob Thompson,1
1922/23,17,Bernard Sharkey,1
1922/23,18,Fred Hayes,1
1922/23,22,James Robinson,1
1922/23,23,Johnny Campbell,1
1922/23,23,Sammy Beswick,1
1922/23,23,Harold Hilton,2
1922/23,23,Jabez Evans,1
1922/23,25,George Crowther,1
1922/23,25,Jabez Evans,2
1922/23,26,Sammy Beswick,1
1922/23,26,OG,1
1922/23,28,Bob Thompson,1
1922/23,29,Sammy Beswick,1
1922/23,30,Sammy Beswick,1
1922/23,30,George Crowther,1
1922/23,32,Stan Sayer,1
1922/23,33,Sammy Beswick,2
1922/23,33,Stan Sayer,2
1922/23,34,Sammy Beswick,1
1922/23,34,Stan Sayer,2
1922/23,34,John Lomax,1
1922/23,35,Johnny Campbell,1
1922/23,35,Stan Sayer,1
1922/23,36,Stan Sayer,1
1922/23,36,John Lomax,1
1922/23,37,Stan Sayer,1
1922/23,38,Bob Thompson,1
1922/23,38,Sammy Beswick,1
1922/23,38,Stan Sayer,1
1922/23,39,OG,1
1923/24,1,Johnny Campbell,1
1923/24,1,Stan Sayer,1
1923/24,4,Stan Sayer,1
1923/24,4,Bert Cartman,2
1923/24,5,Stan Sayer,1
1923/24,6,Sammy Beswick,1
1923/24,7,Jack Brown,2
1923/24,7,Stan Sayer,1
1923/24,8,Stan Sayer,1
1923/24,10,Stan Sayer,1
1923/24,11,Bert Cartman,1
1923/24,12,Stan Sayer,1
1923/24,13,Jack Brown,1
1923/24,14,Stan Sayer,1
1923/24,15,Harold Hilton,1
1923/24,17,Jack Brown,2
1923/24,18,Stan Sayer,3
1923/24,22,Johnny Campbell,1
1923/24,22,Stan Sayer,1
1923/24,23,Stan Sayer,1
1923/24,24,Stan Sayer,1
1923/24,24,Bert Cartman,1
1923/24,25,Fred Halstead,1
1923/24,26,Tom Stuart,1
1923/24,27,Johnny Campbell,1
1923/24,27,Sammy Beswick,1
1923/24,28,Tom Stuart,1
1923/24,29,Johnny Campbell,1
1923/24,29,Stan Sayer,1
1923/24,30,Jimmy Moreton,1
1923/24,31,Bert Cartman,1
1923/24,32,Harry Littlehales,1
1923/24,33,Stan Sayer,1
1923/24,34,Jimmy Moreton,1
1923/24,35,Harry Littlehales,2
1923/24,36,Stan Sayer,1
1923/24,37,Jack Brown,1
1923/24,37,Harry Littlehales,1
1923/24,37,OG,1
1923/24,39,Jimmy Moreton,2
1923/24,39,Stan Sayer,1
