season,game_no,scorers
1921/22,1,"Tom Stuart, Charles Milnes, Fred Groves, John Ford"
1921/22,2,John Prentice
1921/22,5,"Denis Bullough, John Prentice"
1921/22,6,"Fred Groves, Denis Bullough"
1921/22,7,Denis Bullough
1921/22,8,"Fred Groves 2, Denis Bullough, Charlie Cunningham 4"
1921/22,9,"Johnny Campbell, John Ford, Fred Groves, Charlie Cunningham"
1921/22,12,Fred Groves 2
1921/22,13,"Fred Cook, Denis Bullough, John Prentice 2"
1921/22,14,"Fred Cook, Denis Bullough"
1921/22,16,Denis Bullough
1921/22,19,"Harold Hilton, Charlie Cunningham"
1921/22,20,John Prentice
1921/22,21,"James Roberts, Evan Lloyd"
1921/22,22,Harold Hilton
1921/22,23,"Jimmy Moreton, John Ford"
1921/22,27,Tom Stuart
1921/22,28,"Joe Mercer, Jimmy Moreton, David Fulton, OG"
1921/22,30,"Tom Stuart, David Fulton"
1921/22,32,"John Ford, David Fulton, OG"
1921/22,34,"Jimmy Moreton, Evan Lloyd"
1921/22,38,"Tom Stuart, Billy Rainford 2"
1921/22,39,"Johnny Campbell, Charles Milnes, Jimmy Moreton, Billy Rainford"
1922/23,1,Bernard Sharkey
1922/23,2,Bob Thompson
1922/23,3,"Bob Thompson, Ernest Phillips, Jimmy Moreton, Bernard Sharkey"
1922/23,4,Billy Rainford
1922/23,5,Billy Rainford
1922/23,6,"Billy Rainford, Jabez Evans"
1922/23,11,"Jimmy Moreton, OG"
1922/23,12,Jabez Evans
1922/23,17,"Bob Thompson, Bernard Sharkey"
1922/23,18,Fred Hayes
1922/23,22,James Robinson
1922/23,23,"Johnny Campbell, Sammy Beswick, Harold Hilton 2, Jabez Evans"
1922/23,25,"George Crowther, Jabez Evans 2"
1922/23,26,"Sammy Beswick, OG"
1922/23,28,Bob Thompson
1922/23,29,Sammy Beswick
1922/23,30,"Sammy Beswick, George Crowther"
1922/23,32,Stan Sayer
1922/23,33,"Sammy Beswick 2, Stan Sayer 2"
1922/23,34,"Sammy Beswick, Stan Sayer 2, John Lomax"
1922/23,35,"Johnny Campbell, Stan Sayer"
1922/23,36,"Stan Sayer, John Lomax"
1922/23,37,Stan Sayer
1922/23,38,"Bob Thompson, Sammy Beswick, Stan Sayer"
1922/23,39,OG
1923/24,1,"Johnny Campbell, Stan Sayer"
1923/24,4,"Stan Sayer, Bert Cartman 2"
1923/24,5,Stan Sayer
1923/24,6,Sammy Beswick
1923/24,7,"Jack Brown 2, Stan Sayer"
1923/24,8,Stan Sayer
1923/24,10,Stan Sayer
1923/24,11,Bert Cartman
1923/24,12,Stan Sayer
1923/24,13,Jack Brown
1923/24,14,Stan Sayer
1923/24,15,Harold Hilton
1923/24,17,Jack Brown 2
1923/24,18,Stan Sayer 3
1923/24,22,"Johnny Campbell, Stan Sayer"
1923/24,23,Stan Sayer
1923/24,24,"Stan Sayer, Bert Cartman"
1923/24,25,Fred Halstead
1923/24,26,Tom Stuart
1923/24,27,"Johnny Campbell, Sammy Beswick"
1923/24,28,Tom Stuart
1923/24,29,"Johnny Campbell, Stan Sayer"
1923/24,30,Jimmy Moreton
1923/24,31,Bert Cartman
1923/24,32,Harry Littlehales
1923/24,33,Stan Sayer
1923/24,34,Jimmy Moreton
1923/24,35,Harry Littlehales 2
1923/24,36,Stan Sayer
1923/24,37,"Jack Brown, Harry Littlehales, OG"
1923/24,39,"Jimmy Moreton 2, Stan Sayer, Harry Littlehales"
1923/24,40,"Jack Brown, Stan Sayer, Harry Littlehales"
1923/24,41,"Jack Brown 2, Harry Littlehales"
1923/24,45,"Jack Brown, Bert Cartman"
1924/25,1,"Johnny Campbell, Harry Littlehales"
1924/25,3,Jack Brown
1924/25,5,Dixie Dean
1924/25,8,"Jimmy Moreton, Dixie Dean"
1924/25,9,Dixie Dean
1924/25,10,Dixie Dean 2
1924/25,11,"Stan Sayer, Dixie Dean 3"
1924/25,12,Dixie Dean
1924/25,14,Bert Cartman
1924/25,15,"Johnny Campbell, Harry Littlehales"
1924/25,16,"Tom Stuart, Harry Littlehales"
1924/25,17,Stan Sayer
1924/25,19,"Jack Brown, Dixie Dean 2, Harry Littlehales 2"
1924/25,20,"Dixie Dean 2, Stan Sayer"
1924/25,22,Dixie Dean 2
1924/25,23,Dixie Dean
1924/25,25,Harry Littlehales
1924/25,27,"Billy Fogg, Dixie Dean 2, Harry Littlehales 2"
1924/25,28,Dixie Dean
1924/25,29,"Billy Fogg, Dixie Dean 3"
1924/25,31,Dixie Dean
1924/25,32,Harry Littlehales
1924/25,33,Dixie Dean 3
1924/25,34,Dixie Dean
1924/25,35,"Fred Halstead, Billy Fogg, Ellis Rimmer"
1924/25,36,"Tom Stuart, Harry Littlehales"
1924/25,38,Harry Littlehales
1924/25,39,"Stan Sayer, Bert Cartman"
1924/25,40,Tom Stuart
1924/25,41,Jimmy Jackson
1924/25,42,"Tom Stuart, Jack Brown"
1924/25,43,"Billy Fogg, Stan Sayer"
1924/25,44,Billy Fogg
1925/26,1,"Billy Roberts, Fred Marquis"
1925/26,3,"Vince Matthews, Billy Chalmers"
1925/26,4,"Vince Matthews, Bob White, Fred Marquis"
1925/26,6,Fred Marquis 2
1925/26,7,"Bob White, Fred Marquis 2"
1925/26,11,"Tom Stuart, Fred Marquis, Bob White 2, Norman Proctor"
1925/26,13,"Fred Marquis, Bob White"
1925/26,14,Billy Chalmers
1925/26,15,"Bob White, Billy Chalmers"
1925/26,16,"Fred Marquis, Bob White"
1925/26,18,Norman Proctor
1925/26,19,Norman Proctor
1925/26,21,"Fred Marquis, Norman Proctor, Billy Chalmers"
1925/26,22,Fred Marquis 2
1925/26,23,"Sammy Beswick, Fred Marquis, Norman Proctor"
1925/26,24,Billy Fogg
1925/26,25,Fred Marquis
1925/26,26,"Bob White, Norman Proctor"
1925/26,27,"Johnny Campbell, Bob White"
1925/26,28,Bob White 2
1925/26,30,"Sammy Beswick 2, Bert Cartman"
1925/26,31,"Tom Stuart, Bob White"
1925/26,32,Jimmy Moreton
1925/26,33,"Fred Marquis, Billy Charlton 2"
1925/26,34,Fred Marquis 2
1925/26,35,"Fred Marquis, Billy Charlton"
1925/26,36,"Tom Stuart, Bert Cartman, OG"
1925/26,37,"Fred Marquis, Harry Littlehales, Norman Proctor, Bert Cartman"
1925/26,38,"Fred Marquis, Harry Littlehales 2"
1925/26,39,Harry Littlehales
1925/26,42,Fred Marquis
1925/26,43,"Fred Marquis, Norman Proctor 2"
1925/26,44,"Bob White, Norman Proctor 3"
1926/27,1,"Fred Marquis, Billy Charlton, Bert Cartman"
1926/27,2,Billy Charlton
1926/27,3,"Fred Marquis 2, Billy Charlton 2"
1926/27,4,"Billy Charlton, Bert Cartman"
1926/27,6,"Norman Proctor, Bert Cartman, OG"
1926/27,7,Harry Littlehales
1926/27,9,OG
1926/27,10,Billy Charlton
1926/27,11,Billy Charlton
1926/27,12,"Fred Marquis, Billy Charlton, OG"
1926/27,13,Fred Marquis
1926/27,14,Jack Flanagan 3
1926/27,15,Billy Charlton
1926/27,16,Jack Flanagan
1926/27,17,Fred Marquis
1926/27,18,Harry Littlehales
1926/27,19,Bert Cartman
1926/27,20,"Jack Flanagan, Ellis Rimmer"
1926/27,21,"Fred Marquis, Jack Flanagan, Ellis Rimmer"
1926/27,22,"Jack Flanagan, Tommy Jones"
1926/27,23,"Ginger Lewis, Jack Flanagan 5, OG"
1926/27,24,"Jack Flanagan, Tommy Jones"
1926/27,25,"Vince Matthews, Bob White, Norman Proctor, Jack Flanagan 2, Tommy Jones 2, Ellis Rimmer"
1926/27,27,Ellis Rimmer
1926/27,28,Jack Flanagan
1926/27,29,"Bob White, Jack Flanagan 2"
1926/27,30,Ellis Rimmer
1926/27,31,"Jack Flanagan, Tommy Jones"
1926/27,32,Ellis Rimmer
1926/27,33,"Bob White, Fred Marquis, Jack Flanagan"
1926/27,34,"Jack Flanagan, Tommy Jones, Ellis Rimmer"
1926/27,35,Tommy Jones
1926/27,36,Ellis Rimmer
1926/27,39,"Fred Marquis, Jack Flanagan, Ellis Rimmer 2"
1926/27,40,Jack Flanagan 2
1926/27,42,"Billy Charlton 2, Tommy Jones"
1926/27,43,"Fred Marquis 2, Jack Flanagan, Tommy Jones 3"
1926/27,44,"Jack Flanagan, Bert Cartman"
1927/28,1,Jack Flanagan
1927/28,2,Billy Charlton
1927/28,3,"Pongo Waring 2, Tommy Jones"
1927/28,4,"Ginger Lewis, Ellis Rimmer"
1927/28,5,"Billy Charlton, Pongo Waring"
1927/28,6,Pongo Waring 2
1927/28,7,Pongo Waring
1927/28,9,"Bert Cartman, Billy Charlton, Pongo Waring 2, Ellis Rimmer"
1927/28,10,"Billy Charlton 2, Harry Littlehales"
1927/28,11,"Billy Charlton, Ellis Rimmer"
1927/28,12,"Pongo Waring, Ellis Rimmer"
1927/28,14,"Billy Charlton 2, Pongo Waring"
1927/28,15,"Billy Charlton 2, Pongo Waring"
1927/28,16,"Bert Cartman, Pongo Waring 3, Ellis Rimmer"
1927/28,17,"Jack Bamber, Ellis Rimmer 2"
1927/28,18,Harry Littlehales
1927/28,19,Pongo Waring
1927/28,20,Ellis Rimmer
1927/28,21,Harry Littlehales
1927/28,22,"Harry Littlehales, Ellis Rimmer"
1927/28,23,"Bert Cartman, Tommy Jones, Pongo Waring 6, Harry Littlehales 2, OG"
1927/28,26,"Fred Bedford, Billy Charlton, Pongo Waring, Harry Littlehales, Ellis Rimmer 2"
1927/28,27,"Fred Bedford, Billy Charlton"
1927/28,28,"Billy Charlton, Pongo Waring 2, Harry Littlehales"
1927/28,29,"Billy Charlton, Jack Flanagan, Harry Littlehales"
1927/28,30,"Tommy Jones 2, Billy Charlton, Jack Flanagan, Fred Urmson"
1927/28,31,Harry Littlehales
1927/28,32,"Harry Littlehales, Jack Flanagan, Harry Bevan"
1927/28,33,"Billy Charlton, Jack Flanagan"
1927/28,34,Tommy Jones
1927/28,35,"Billy Charlton 3, Jack Flanagan, Harry Littlehales"
1927/28,36,"Tommy Jones 2, Billy Charlton, Jack Flanagan 3, Harry Littlehales"
1927/28,37,"Jack Flanagan, Harry Bevan, Fred Urmson"
1927/28,38,"Tommy Jones, Billy Charlton, Harry Littlehales"
1927/28,39,"Billy Charlton, Jack Flanagan"
1927/28,42,"Tommy Jones 2, Billy Charlton 2, Jack Flanagan"
1927/28,44,"Jack Flanagan, Harry Littlehales"
1927/28,45,Sammy Beswick 2
1928/29,1,Tommy Jones
1928/29,2,Harry Littlehales
1928/29,3,"Jack Flanagan, Percy Richards"
1928/29,4,Billy Charlton
1928/29,5,Harry Littlehales
1928/29,6,Billy Charlton
