season,game_no,player_name,shirt_no,role,on_for,off_for
1922/23,1,Bradshaw,1,starter,,
1922/23,1,Thompson,2,starter,,
1922/23,1,Stuart,3,starter,,
1922/23,1,Campbell,4,starter,,
1922/23,1,Phillips,5,starter,,
1922/23,1,Sewell,6,starter,,
1922/23,1,Moreton,7,starter,,
1922/23,1,Sharkey,8,starter,,
1922/23,1,Ratcliffe,9,starter,,
1922/23,1,Hawarden,10,starter,,
1922/23,1,Evans,11,starter,,
1922/23,2,Bradshaw,1,starter,,
1922/23,2,Thompson,2,starter,,
1922/23,2,Stuart,3,starter,,
1922/23,2,Campbell,4,starter,,
1922/23,2,Phillips,5,starter,,
1922/23,2,Sewell,6,starter,,
1922/23,2,Moreton,7,starter,,
1922/23,2,Sharkey,8,starter,,
1922/23,2,Kimberley,9,starter,,
1922/23,2,Hilton,10,starter,,
1922/23,2,Evans,11,starter,,
1922/23,3,Bradshaw,1,starter,,
1922/23,3,Thompson,2,starter,,
1922/23,3,Stuart,3,starter,,
1922/23,3,Campbell,4,starter,,
1922/23,3,Phillips,5,starter,,
1922/23,3,Sewell,6,starter,,
1922/23,3,Moreton,7,starter,,
1922/23,3,Sharkey,8,starter,,
1922/23,3,Kimberley,9,starter,,
1922/23,3,Hilton,10,starter,,
1922/23,3,Evans,11,starter,,
1922/23,4,Bradshaw,1,starter,,
1922/23,4,Thompson,2,starter,,
1922/23,4,Stuart,3,starter,,
1922/23,4,Campbell,4,starter,,
1922/23,4,Phillips,5,starter,,
1922/23,4,Sewell,6,starter,,
1922/23,4,Moreton,7,starter,,
1922/23,4,Sharkey,8,starter,,
1922/23,4,Rainford,9,starter,,
1922/23,4,Hilton,10,starter,,
1922/23,4,Evans,11,starter,,
1922/23,5,Bradshaw,1,starter,,
1922/23,5,Thompson,2,starter,,
1922/23,5,Stuart,3,starter,,
1922/23,5,Campbell,4,starter,,
1922/23,5,Phillips,5,starter,,
1922/23,5,Sewell,6,starter,,
1922/23,5,Moreton,7,starter,,
1922/23,5,Sharkey,8,starter,,
1922/23,5,Rainford,9,starter,,
1922/23,5,Hilton,10,starter,,
1922/23,5,Evans,11,starter,,
1922/23,6,Bradshaw,1,starter,,
1922/23,6,Thompson,2,starter,,
1922/23,6,Stuart,3,starter,,
1922/23,6,Campbell,4,starter,,
1922/23,6,Phillips,5,starter,,
1922/23,6,Sewell,6,starter,,
1922/23,6,Cook,7,starter,,
1922/23,6,Sharkey,8,starter,,
1922/23,6,Rainford,9,starter,,
1922/23,6,Hilton,10,starter,,
1922/23,6,Evans,11,starter,,
1922/23,7,Bradshaw,1,starter,,
1922/23,7,Thompson,2,starter,,
1922/23,7,Stuart,3,starter,,
1922/23,7,Campbell,4,starter,,
1922/23,7,Phillips,5,starter,,
1922/23,7,Sewell,6,starter,,
1922/23,7,Moreton,7,starter,,
1922/23,7,Sharkey,8,starter,,
1922/23,7,Rainford,9,starter,,
1922/23,7,Hilton,10,starter,,
1922/23,7,Evans,11,starter,,
1922/23,8,Bradshaw,1,starter,,
1922/23,8,Thompson,2,starter,,
1922/23,8,Stuart,3,starter,,
1922/23,8,Campbell,4,starter,,
1922/23,8,Phillips,5,starter,,
1922/23,8,Sewell,6,starter,,
1922/23,8,Moreton,7,starter,,
1922/23,8,Sharkey,8,starter,,
1922/23,8,Rainford,9,starter,,
1922/23,8,Hilton,10,starter,,
1922/23,8,Evans,11,starter,,
1922/23,9,Bradshaw,1,starter,,
1922/23,9,Sugden,2,starter,,
