surname,forename,date_of_birth,position,notes
"CARTER","JOSEPH","27-Jul-99","IR",""
"GARTMAN","BERT","28-Feb-00","OL",""
"CARTWRIGHT","WILLIAM","11-Jun-22","CH",""
"CARVELL","ARTHUR","26-May-11","LB",""
"CASEY","GERRY","25-Aug-41","HB",""
"CASSIDY","JAMES","","IL",""
"CHADWICK","HAROLD","25-Jan-19","OR",""
"CHALLINOR","DAVE","02-Oct-75","CD",""
"CHALMERS","BILLY","03-Apr-01","OL",""
"CHAMBERLAIN","ALEC","20-Jun-64","G",""
"CHARLTON","BILLY","10-Oct-00","IL",""
"CHARLTON","WILF","12-Sep-33","WH",""
"CHECKLAND","FRANK","31-Jul-95","HB",""
"CHIVERTON","TED","","RH","Q1 1913"
"CLARK","ARCHIE","04-Apr-02","CH",""
"CLARKE","COLIN","30-Oct-62","CF",""
"CLAYTON","GORDON","03-Nov-36","G",""
"CLAYTON","JOHN","20-Aug-61","F",""
"CLIFF","EDDIE","30-Sep-51","MF",""
"CLINTON","TOMMY","13-Apr-26","FB",""
"COLEMAN","TONY","02-May-45","OL",""
"COLLINGS","PAUL","30-Sep-68","G",""
"CONNER","DICK","13-Aug-31","WH",""
"CONNER","BILL","03-Dec-02","RB","1905"
"CONNOR","JOHN","01-Feb-14","FB",""
"CONROY","BOBBY","20-Jun-29","LB",""
"COOK","FRED","","OR",""
"COOK","GEORGE","","FB","C 1909"
"COOK","PAUL","22-Feb-67","MF",""
"COOK","2 PAUL","22-Feb-67","MF",""
"COOPER","STEVE","22-Jun-64","F",""
"COPPELL","STEVE","09-Jul-55","OR",""
"cox","ALAN","04-Sep-20","IF",""
"COYNE","DANNY","27-Aug-73","G",""
"COYNE","JOHN","18-Jul-51","F",""
"COYNE","TOMMY","14-Nov-62","F",""
"CRAVEN","1 STEVE","17-Sep-57","MF",""
"CRAVEN","2 STEVE","17-Sep-57","MF",""
"CRAWFORD","BRUCE","10-Oct-38","WH",""
"CREWE","BILLY","26-Nov-01","RH",""
"CROMPTON","ARTHUR","09-Jan-03","WH",""
"CROPPER","REG","21-Jan-02","IL",""
"CROSSAN","EDDIE","17-Nov-25","IF",""
"CROSSLEY","PAUL","14-Jul-48","F",""
"CROWTHER","GEORGE","","CF","Q2 1892"
"CRUTCHLEY","VIC","","RB","Q3 1910"
"CUMBES","JIM","04-May-44","G",""
"CUNNINGHAM","CHARLIE","","IL",""
"CURNOW","JACK","31-Jan-10","G",""
"CURRAN","FRANK","31-May-17","IF",""
"CURTIS","CHARLIE","","WH",""
"D'ARCY","FRANK","08-Dec-46","FB",""
"DALE","DICKIE","21-May-96","CH",""
"DALTON","TIM","14-Oct-65","G",""
"DAVIES","DAI","01-Apr-48","G",""
"DAVIES","ERNIE","","RH",""
"DAVIES","KEITH","19-Feb-34","IF",""
"DAVIES","RAY","03-Oct-31","IF",""
"DAVIS","SAMUEL","25-May-00","RB",""
"DAVIS","THOMAS","","IR","C 1911"
"DAWSON","FRANK","17-Oct-08","LB",""
"DAY","ALF","02-Oct-07","RH",""
"DEAN","DIXIE","22-Jan-07","CF",""
"DELLOW","RONNIE","13-Jul-14","OR",""
"DEMAINE","DAVE","07-May-42","W",""
"DEMPSEY","JOHN","02-Apr-51","FB",""
"DILLON","VINCE","02-Oct-23","CF",""
"DIXON","ERNIE","10-Jul-01","CF",""
"DOCKING","STAN","13-Dec-14","IL",""
"DODD","ERNIE","01-May-14","RB",""
"DODD","JIM","12-Dec-33","CF",""
"DONE","CYRIL","21-Oct-20","CF",""
"DOONAN","TOM","05-Oct-22","CF",""
"DUFF","STANLEY","","OL","Q1 1919"
"DUFFY","ALAN","20-Dec-49","IF",""
"DYSON","BARRY","06-Sep-42","IF",""
"EASTHAM","HARRY","30-Jun-17","IL",""
"EATON","STEVE","25-Dec-59","D",""
"EDEN","BILLY","01-Jul-05","OL",""
"EDWARDS","ELFYN","04-May-60","CH",""
"EDWARDS","MALCOLM","25-Oct-39","LH",""
"EDWARDS","MIKE","10-Sep-74","MF",""
"EDWARDS","STEVE","11-Jan-58","D",""
"EDWARDS","WILLIAM","","RH",""
"EGLINGTON","TOMMY","15-Jan-23","OL",""
"ELLISON","NORMAN","02-Nov-29","OR",""
"ENDERSBY","SCOTT","20-Feb-62","G",""
"EVANS","BERNARD","04-Jan-37","CF",""
