surname,forename,date_of_birth,dob,dob_qtr,dob_yr,dob_yr_is_est,page,period
A'Court,Alan,30-Sep-34,1934-09-30,3,1934,0,101,1
Adams,Arthur,NA,NA,NA,NA,0,101,1
Adams,Edward,12-Nov-08,1908-11-12,4,1908,0,101,1
Adkins,Nigel,11-Mar-65,1965-03-11,1,1965,0,101,1
Alcock,Edward,NA,NA,NA,1914,1,101,1
Aldridge,John,18-Sep-58,1958-09-18,3,1958,0,101,1
Alexander,Alex,28-Sep-24,1924-09-28,3,1924,0,101,1
Alldis, Gillie,26-Jan-20,1920-01-26,1,1920,0,101,1
Alldis, Gillie,26-Jan-20,1920-01-26,1,1920,0,101,2
Allen,Mark,18-Dec-63,1963-12-18,4,1963,0,101,1
Allen,Russell,09-Jan-54,1954-01-09,1,1954,0,101,1
Almond,John,NA,NA,4,1915,0,101,1
Amery,Charlie,16-Sep-10,1910-09-16,3,1910,0,101,1
Anders,Jimmy,NA,NA,NA,NA,0,101,1
Anderson,Doug,08-Mar-28,1928-03-08,1,1928,0,101,1
Anderson, Ted,29-Aug-63,1963-08-29,3,1963,0,101,1
Anderson, Ted,17-Jul-11,1911-07-17,3,1911,0,101,2
Arnell,Alan,17-Jul-11,1911-07-17,3,1911,0,101,1
Ashcroft,Billy,25-Nov-33,1933-11-25,4,1933,0,101,1
Ashcroft,Llew,01-Oct-52,1952-10-01,4,1952,0,101,1
Ashworth,Barry,10-Jul-21,1921-07-10,3,1921,0,101,1
Aspinall, John,15-Aug-42,1942-08-15,3,1942,0,101,1
Aspinall, John,15-Mar-59,1959-03-15,1,1959,0,101,2
Atkinson,Harold,15-Mar-59,1959-03-15,1,1959,0,101,1
Bainbridge,Bill,28-Jul-25,1925-07-28,3,1925,0,101,1
Baker,Horace,09-Mar-22,1922-03-09,1,1922,0,101,1
Baldwin,Edmund,01-Sep-10,1910-09-01,3,1910,0,101,1
Bamber,Jack,11-Apr-95,1895-04-11,2,1895,0,101,1
Barnett,Graham,17-May-36,1936-05-17,2,1936,0,101,1
Barrett,Arthur,21-Dec-27,1927-12-21,4,1927,0,101,1
