position,ssn_join,ssn_lve,lge_apps,lge_sub,lge_gls,fac_apps,fac_sub,fac_gls,lc_apps,lc_sub,lc_gls,other_apps,other_sub,other_gls,total_apps,total_subs,total_gls,prev_club,next_club
CH,60,61,14,0,0,0,0,0,1,0,0,0,0,0,15,0,0,Halifax Town,""
OR,64,65,33,2,6,1,0,0,2,0,0,0,0,0,36,2,6,Carlisle United,""
CF,72,73,61,0,22,2,1,0,5,0,3,0,0,0,68,1,25,Chester Highlands Park,""
F,79,80,43,3,21,6,0,3,8,0,1,0,0,0,57,3,25,Carlisle United,Mansfield Town
OR,33,33,7,0,1,0,0,0,0,0,0,0,0,0,7,0,1,Sheffield Wednesday,""
CF,36,36,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Denbigh,""
OL,71,71,2,5,1,0,0,0,1,0,0,0,0,0,3,5,1,Plymouth Argyle,""
OR,36,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,South Liverpool,""
MF,95,96,14,13,2,0,0,0,0,2,0,0,0,0,14,15,2,YTS,""
CH,34,36,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,New Brighton,""
HB,47,47,22,0,0,2,0,0,0,0,0,0,0,0,24,0,0,Accrington Stanley,""
S,87,94,191,51,62,9,4,2,20,5,6,19,5,5,239,65,75,Stork,Millwall
CF,62,66,130,0,70,4,0,2,8,0,4,0,0,0,142,0,76,Liverpool (amateur),Shrewsbury Town
CF,71,71,5,0,1,0,0,0,0,0,0,0,0,0,5,0,1,Walsall,Crewe Alexandra
CF,25,26,70,0,32,4,0,1,0,0,0,0,0,0,74,0,33,Preston North End,Lancaster Town
LB,65,67,99,4,0,7,0,0,3,0,0,0,0,0,109,4,0,Oldham Athletic,""
MF,87,93,130,38,9,8,3,1,15,4,0,12,2,2,165,47,12,Caemarfon Town,Doncaster Rovers
FB,67,84,557,10,6,29,1,0,40,0,0,0,0,0,626,11,6,Local,Wigan Athletic
CH,25,26,84,0,3,4,0,0,0,0,0,0,0,0,88,0,3,Bolton Wanderers,Sheffield United
OL,37,37,9,0,2,0,0,0,0,0,0,0,0,0,9,0,2,Hull City,Runcorn
RH,33,34,57,0,3,5,0,1,0,0,0,0,0,0,62,0,4,Torquay United,Lincoln City
CH,21,21,16,0,1,2,0,0,0,0,0,0,0,0,18,0,1,Nottingham Forest,""
OR,29,31,107,0,29,8,0,2,0,0,0,0,0,0,115,0,31,Everton,Newport (Isle of Wight)
IR,35,36,27,0,1,1,0,0,0,0,0,0,0,0,28,0,1,Barrow,Shrewsbury Town
MF,85,85,25,4,1,4,0,0,1,0,0,2,0,1,32,4,2,Burnley,Colne Dynamoes
IR,38,38,11,0,1,1,0,0,0,0,0,0,0,0,12,0,1,Burnley,Falkirk
CH,50,60,357,0,3,21,0,0,3,0,0,0,0,0,381,0,3,Neston,Ellesmere Port Town
