season,scorers
"1966-67","Ashworth,Manning 2,Dyson,Sinclair"
"1966-67",""
"1966-67","Williams"
"1966-67","Manning,Dyson 2"
"1966-67","Hill,Manning"
"1966-67","Pritchard"
"1966-67","Manning"
"1966-67",""
"1966-67","Williams"
"1966-67","Sinclair 2"
"1966-67","Ashworth,Pritchard"
"1966-67","Pritchard"
"1966-67","Ashworth,King A,Manning 2,Westlake"
"1966-67","Pritchard,Williams"
"1966-67",""
"1966-67","Pritchard,Westlake"
"1966-67",""
"1966-67","Westlake"
"1966-67","Hill"
"1966-67",""
"1966-67","Parnell"
"1966-67","Williams"
"1966-67",""
"1966-67","Pritchard"
"1966-67","Yardley"
"1966-67",""
"1966-67","Yardley 2,King A"
"1966-67","Yardley"
"1966-67","Ashworth,Williams"
"1966-67","Williams"
"1966-67","Yardley,Hudson,Williams,OG"
"1966-67",""
"1966-67","Yardley,Pritchard"
"1966-67","Yardley 2"
"1966-67","Robertson,Yardley"
"1966-67","Yardley Hudson"
"1966-67",""
"1966-67","Yardley"
"1966-67","Pritchard"
"1966-67","King J,Yardley"
"1966-67",""
"1966-67","Stevens"
"1966-67","Storton S"
"1966-67","Hudson,Sinclair"
"1966-67","Yardley 2,Hudson"
"1966-67","Pritchard"
"1966-67","King A,Yardley,Williams"
"1966-67","Williams"
"1966-67",""
"1966-67","Stevens,Hudson,Williams"
"1966-67","Hudson,Yardley,Pritchard"
