season,scorers
"1948/49","Atkinson"
"1948/49",""
"1948/49",""
"1948/49","Lamb,Atkinson"
"1948/49","Atkinson,Alexander"
"1948/49","Jack 2,Williamson"
"1948/49","Jack,Williamson"
"1948/49","Williamson"
"1948/49",""
"1948/49","Lamb"
"1948/49",""
"1948/49","Atkinson,Williamson"
"1948/49","Williamson"
"1948/49",""
"1948/49",""
"1948/49","Williamson"
"1948/49","Atkinson,OG"
"1948/49","Gould 2,Alldis"
"1948/49","Gould"
"1948/49","McBennett,Pollard"
"1948/49","Barrie"
"1948/49","Bainbridge,OG"
"1948/49","Bainbridge,Eastham"
"1948/49","Barrie,Atkinson"
"1948/49","Bainbridge"
"1948/49",""
"1948/49","Bainbridge"
"1948/49",""
"1948/49",""
"1948/49","Kieran,Alldis"
"1948/49","Bainbridge,Atkinson 2"
"1948/49","Atkinson,Alldis"
"1948/49",""
"1948/49",""
"1948/49",""
"1948/49","Atkinson 2"
"1948/49",""
"1948/49","Connor"
"1948/49",""
"1948/49",""
"1948/49","Bainbridge,Barrie"
"1948/49","Bainbridge"
"1948/49","Williamson"
