season,ssn_tickets
1925/26,182
1926/27,165
1927/28,190
1928/29,164
1929/30,147
1930/31,150
1931/32,154
1932/33,126
1933/34,130
1934/35,118
1935/36,130
1936/37,146
1937/38,173
1938/39,278
1946/47,96
1947/48,131
1948/49,180
1949/50,210
1950/51,249
1951/52,288
1952/53,284
1953/54,286
1954/55,255
1955/56,271
1956/57,271
1957/58,280
1958/59,544
1959/60,601
1960/61,250
1961/62,514
1962/63,436
1963/64,437
1964/65,430
1965/66,444
1966/67,282
1967/68,413
1968/69,812
1969/70,316
1970/71,311
1971/72,231
1972/73,281
1973/74,306
1974/75,289
1975/76,251
1976/77,260
1977/78,261
1978/79,153
1979/80,259
1980/81,210
1981/82,147
1982/83,223
1983/84,390
1984/85,292
1985/86,203
1986/87,159
1987/88,305
1988/89,449
1989/90,934
1990/91,1478
1991/92,2518
1992/93,1586
1993/94,1525
1994/95,1905
1995/96,2135
1996/97,1877
1997/98,2468
1998/99,2588
1999/00,1985
2000/01,4215
2001/02,4380
2002/03,3754
2003/04,4113
2004/05,4862
2005/06,4416
2006/07,3469
2007/08,3244
2008/09,3020
