Atkinson,Bainbridge,Bell,Davies K,Davies R,Done,Fleming,Gibson,Harlock,Iceton,Jackson,Jolley,Jones,Kieran,Lamont,Lloyd,McDevitt,Millington,Mycock,Payne,Steele,Williams R,Williams T,Woan
,8,5,,,9,,,7,11,,,,6,2,,10,,,,3,4,,
9,8,5,,,10,,2,7,11,,,,6,3,1,,,,,,4,,
9,8,5,,,10,,,,11,,,7,6,2,1,,,,,3,4,,
9,8,5,,,10,,,,11,,,,6,2,1,7,,,,3,4,,
9,,5,8,,,10,,,,11,,,6,2,1,7,,,,3,4,,
9,8,5,,,11,10,,,,,,,6,2,1,7,,,,3,4,,
,8,5,,,9,11,,,,,,,6,2,1,7,4,10,,3,,,
,8,5,,,9,11,,,,,,,6,2,1,7,4,10,,3,,,
,,5,,7,9,11,,,,,,,6,2,1,8,4,10,,3,,,
,8,5,,,9,11,,,,,,,6,2,1,7,4,10,,3,,,
,8,5,,7,9,11,,,,,,,6,2,1,10,4,,,3,,,
,8,5,,,9,11,,,,,,,6,2,1,7,4,,,3,10,,
,,5,,7,9,11,2,,,,,,6,3,,8,4,,1,,10,,
9,,5,,7,,11,2,,,,,,6,3,,8,4,,1,,10,,
,,5,,7,9,11,2,,,,,,6,3,,8,4,,1,,10,,
,,5,,7,9,11,2,,,,,,6,3,,8,4,,1,,10,,
9,,5,,7,,11,2,,,,,,6,3,,8,4,,1,,10,,
9,,5,,7,,11,2,,,,,,6,3,,8,4,,1,,10,,
9,,5,,,10,11,2,,,,,,6,3,,7,4,,1,,8,,
,,5,,7,9,11,2,,,,,,,3,,8,4,,1,6,10,,
,,5,,7,9,11,2,,,,,,,3,,8,4,,1,10,6,,
,,5,,7,9,11,2,,,,,,6,3,,,4,,1,10,8,,
,,5,,7,9,11,2,,,,,,6,3,,,4,,1,10,8,,
,,5,,7,9,11,2,,,,,,6,3,,,4,,1,10,8,,
9,,5,,,,11,2,,,,,,6,3,,7,4,,1,10,8,,
,7,5,,,9,10,2,,11,,,,6,3,,,4,,1,,8,,
,,5,,7,,10,2,,,,9,,6,3,,,4,,1,11,8,,
9,,5,,,,10,2,,11,,,,6,3,,7,,4,1,,8,,
,8,5,,,,,,,11,,9,,6,2,,7,,4,1,3,10,,
,8,5,,,9,11,,,,,,,6,2,,7,,4,1,3,10,,
9,,5,,,,11,,,,,,,6,2,,7,4,10,1,3,8,,
9,,5,,,,10,,,11,,,,6,3,,7,2,4,1,,8,,
,,5,,,9,10,,,11,,,,6,3,,7,2,4,1,,8,,
,8,5,,,9,,,,11,,,,6,3,,7,2,,1,10,4,,
9,8,5,,,10,,,,,,,,6,2,,7,,,1,3,4,,11
9,8,5,,,10,,,,,,,,6,2,,7,,,1,3,4,,11
9,8,5,,,,10,,,,,,,6,2,,7,,,1,3,4,,11
9,8,5,,,,,,,,,,,6,2,,7,,,1,3,4,10,11
9,8,5,,,,,,,,,,,6,2,,7,,,1,3,4,10,11
9,8,5,,,,,,,,,,,6,2,,7,,,1,3,4,10,11
9,8,5,,,,,,,,,,,6,2,,7,,,1,3,4,10,11
9,8,5,,,,,,,,,,2,6,,,7,,,1,3,4,10,11
9,,5,,,10,8,,,,,,2,6,,,7,,,1,3,4,,11
,8,5,,,9,10,,,,,,2,6,,,7,,,1,3,4,,11
9,,5,,,10,8,,,,,,2,6,3,,7,,,1,,4,,11
,8,5,,,9,,,,,,,2,6,3,,7,,,1,,4,10,11
9,8,5,,,,10,,,,,,2,6,3,,7,,,1,,4,,11
,8,5,,,9,10,,,,,,,6,2,,7,,,1,3,4,,11
,8,5,,,9,10,,,,,,2,6,3,,7,,,1,,4,,11
,8,5,,,9,10,,,,,,2,6,3,,7,,,1,,4,,11
,8,5,,,9,10,,,,,,,6,2,,7,,,1,3,4,,11
