Aspinall,Bishop,Chamberlain,Craven,Garnett,Gorton,Hall,Harvey,Higgins,Hughes,Malkin,Martindale,McCarrick,McKenna,Moore,Morrissey,Muir,Mungall,Murray,Nixon,O'Rourke,Steel,Thorpe,Vickers,Williams G
,,,8,,,,,,4,,7*,2,12,,11,10,9,,,1,,5,6,3
,,,8,,,,,,4,,7,2,12,,11,10,9*,,,1,,5,6,3
,,,8,,,,,,4,,,2,9,,11*,10,7,12,,1,,5,6,3
,,,8,,,,,,4,,,2,9,,11,10,7,,,1,,5,6,3
,,,8,,,,,,4,,,2,9,,,10,7,11,,1,,5,6,3
12,,,8*,,,,,,4,14,,2,9+,,,10,7,11,,1,,5,6,3
7,,,8,,,,,,4,12,,,9,,,10,2,11*,,1,,5,6,3
11,,,8,,,12,,,4*,,,,9,,7,10,2,,,1,,5,6,3
11,,,,,,,,,4,,,3,9,,7,10,2,,,1,,5,6,8
11,,,,,,,,,4,,,3,9,,7,10,2,,,1,,5,6,8
11,,,,,,,,,4,,,3,9*,,7,10,2,12,,1,,5,6,8
11,,,14,,,,,2,4,9+,8,,,,7*,10,,12,,1,,5,6,3
11,,,12,,,,8,,4,9*,,,,,7,10,2,,,1,,5,6,3
11,,,12,,,,8,,4,9*,,,,,7,10,2,,,1,,5,6,3
11,,,12,,,,8,14,4+,9*,,,,,7,10,2,,,1,,5,6,3
11,,,,,,,8,,4,,,,9,,7,10,2,,,1,,5,6,3
11,,,,,,,8,,4,,,3,9,,7,10,2,,,1,,,6,5
,,,,,,,8,,5,,4,3,,9,7,10,2,,,1,,,6,11
,,,12,,,,8,14,5+,,4,3,,9*,7,10,2,,,1,,,6,11
,,,12,,,,8*,2,5+,,4,3,,9,,10,7,11,,1,,,6,14
8,,,,,,,,2,,,4,3,,9,,10,7,11,,1,,,6,5
,,,,,,,8,2,,,4,3,,9,,10,7,11,,1,,,6,5
,,,,,,,8,2,,,4,3,,9,,10,7,11,,1,,,6,5
,,1,,,,,8,2,,,4,3,,5,12,10,7,11*,,,9,,6,
,,1,,,,,8,2,,,4,3,,5,,10,7,11,,,9,,6,
,,1,,,,,8,2,,,4,3,10,5,12,,7,11*,,,9,,6,
,,1,14,,,,8,2,,,4,3,10+,5,12,,7,11*,,,9,,6,
,,1,14,,,,8,2,,,4,3,10+,5,12,,7,11*,,,9,,6,
,,1,,,,,8,2,,,4*,3,,5,11,10,7,,,,9,12,6,
,,1,,,,,8,2,,,4*,3,,5,7,10,11,,,,9,,6,12
,,1,,,,,8,2,,,4*,3,,5,7,10,11,,,,9,,6,12
,,1,,,,,8,2,,,4,3,,5,7,10,11,,,,9,,6,
,,1,,,,,8,2,,,4,3,,5,7,10,11,,,,9,,6,
,,1,,,,,8,2,,,4,3,,5,7,10,11,,,,9,,6,
,,1,,,,,8,2,,,4,3,,5,7,10,11,,,,9,,6,
,,1,,,,,8,2,,,4,3,,5*,7,10,11,12,,,9,,6,
,,1,,,,,8,2,,,4,3,,5,7,10,11,,,,9,,6,
,,1,,,,,8,2,,,4,3,,5,,10,11*,7,,,9,,6,12
,,,,,,,8,2,,,4,3,,5*,7,10,11,12,,1,9,,6,
,,,,,,,8,2,14,,4+,3,,5*,7,10,11,12,,1,9,,6,
,,,,,,,8,2,,,4,3,,5,7,10,11,,,1,9,,6,
,,,,,,,8,2,,,4*,3,,5,7,10,11,,,1,9,,6,12
,,,,,,,8,2,,,4,3,,5,7,10,11,,,1,9,,6,
,,,,,,,8,2,,,4,3,,5,7*,10,11,,1,,9,,6,12
,14,,,,,,8,,2,,4+,3,,5*,7,10,11,,1,,9,,6,12
,,,,,,,8,2,,,4,3,,5*,7,10,11,,1,,9,,6,12
,,,,,,,8,2,,,4,3,,5,7,10,11,,1,,9,,6,
,,,,,,,8,2,,,4,3,,5,7,10,11,,1,,9,,6,
,14,,,,,,8+,2,,,4,3,,5*,7,10,11,12,1,,9,,6,
,8,,,14,,,,2,5,,4,3,,,7,10,11*,12,1,,9,,6+,
,12,,,,,,8*,2,,,4,3,,5,7,10,11,,1,,9,,6,
,8,,,,1,,,2,5,,4,3,,,7*,10,11,12,,,9,,6,
