Bauress,Bishop,Fairclough,Garnett,Harvey,Higgins,Hughes,Irons,Malkin,Martindale,McCarrick,McNab,Morrissev,Muir,Mungall,Nixon,Pike,Steel,Thomas,Vickers
 ,4, , ,8,2,5, ,12, ,3, ,7,10, ,1, ,9*,11,6
 ,4, , ,8,2,5, ,9, ,3, ,7,10, ,1, , ,11,6
,4, , ,8,2,5, ,9, ,3, ,7,10, ,1, , ,11,6
,4,12, ,8,2+,5, ,9,14,3, ,7*,10, ,1, , ,11,6
,4,12, ,8,2,5*, ,9, ,3, ,7,10, ,1, , ,11,6
,4,12, ,8,2,5, ,9, ,3, ,7*,10, ,1, , ,11,6
,4+,12, ,8,2,5*, ,9,14,3, ,7,10, ,1, , ,11,6
,14, ,6+,8,2,5, ,9,4,3, ,7*,10, ,1, ,12,11, 
,14, , ,8,2,5, ,9,4+,3, ,7,10, ,1, , ,11,6
,14, , ,8,2,5, ,9,4+,3, ,7*,10, ,1, ,12,11,6
,12, , ,8,2,5, ,9,4*,3, ,7,10, ,1, , ,11,6
,12, , ,8,2,5, ,9,4*,3, ,7+,10, ,1, ,14,11,6
, , , ,8,2,5, ,9,4,3, ,7,10, ,1, , ,11,6
,12, , ,8,2,5, ,9,4,3*, ,7,10, ,1, , ,11,6
,12, , ,8,2,5, ,9,4*,3, ,7,10, ,1, ,14,11,6+
,12, ,6,8,2,5, ,9+,4*,3, ,7,10, ,1, ,14,11, 
,4,12, ,8,2+,5, ,9,14,3, ,7*,10, ,1, ,6,11, 
,4, , ,8,2,5, ,9, ,3, ,7,10, ,1, , ,11,6
,4, , ,8,2,5, ,9, ,3+, ,7,10, ,1, ,14,11,6
,4, ,6,8,2,5, , , ,3, ,7,10,11,1, ,9, , 
,4,14,6, ,2,5, ,12,8,3+, ,7*,10,11,1, ,9, , 
,4, , ,8*,2,5, , ,12,3, ,7,10,11,1, ,9, ,6
,4, , ,8,2,5, ,14, , , ,7+,10,11,1,3,9, ,6
,4*, , ,8,2,5, ,14,12, , ,7+,10,11,1,3,9, ,6
, ,14, ,8,2,5, ,7,4+, , , ,10,12,1,3,9,11,6*
,12,14, ,8,2,5, ,7*,4+, , , ,10,11,1,3,9, ,6
,12,7, ,8,2,5*,14,9,4+, , , ,10,11,1,3, , ,6
, , ,14,8,2+,5, ,7,4,3, , ,10, ,1, ,9,11,6
, ,12, ,8,2,5, ,7,4*,3, , ,10, ,1, ,9,11,6
,11,7, ,8*,2,5, ,12,4,3, , ,10, ,1, ,9, ,6
,14,7*, ,8+,2,5, ,12,4,3, , ,10, ,1, ,9,11,6
, , , ,8,2,5*, ,9, ,3,4,7,10, ,1, ,12,11,6
, , , ,8,2,5, ,9, ,3,4,7,10, ,1, , ,11,6
, , , ,8,2,5, ,9*, ,3,4,7,10, ,1, ,12,11,6
,14, , ,8+,2,5, ,9*, ,3,4,7,10, ,1, ,12,11,6
, , , ,8,2,5, , , ,3,4,7,10, ,1, ,9,11,6
,12, , ,8*,2,5+,14, , ,3,4,7,10, ,1, ,9,11,6
,12, , ,8*,2,5, , , ,3,4,7,10, ,1, ,9,11,6
, , , ,8,2,5, ,14, ,3,4,7+,10, ,1, ,9,11,6
, , , ,8,2,5, ,7, ,3,4, ,10, ,1, ,9,11,6
,12, , ,8,2,5*, ,7, ,3,4, ,10, ,1, ,9,11,6
, , , ,8, ,5, ,7, ,3,4, ,10,2,1, ,9,11,6
, , , ,8, ,5, ,7,14,3,4, ,10,2,1, ,9,11+,6
,4, , ,8,2,5, ,7,14,3, , ,10+, ,1, ,9,11,6
,4, , ,8,2,5, ,7,12,3*, , ,10, ,1, ,9,11,6
,4, , ,8,2,5, ,7,12, , , ,10,3,1, ,9,11',6
,12, , ,8+,2,5, ,7, , ,4,14,10,3,1, ,9,11,6*
,12, ,6,8*,2,5, ,7, , ,4, ,10,3,1, ,9,11, 
 ,, ,6,8,2,5, ,7, , ,4, ,10,3,1, ,9,11, 
 ,, , ,8,2,5+, ,7, , ,4,14,10,3,1, ,9,11,6
 , , , ,8,2,5, ,7+, , ,4,14,10,3,1, ,9,11,6
 , , , ,8,2,5, , , , ,4,7,10,3,1, ,9,11,6
 ,12,14, ,8,2,5, , , , ,4,7+,10,3*,1, ,9,11,6
 , ,12, ,8,2,5, ,7*, , ,4, ,10,3,1, ,9,11,6
 ,12, , ,8*,2,5, ,7, , ,4, ,10,3,1, ,9,11,6
 , , , ,8,2,5, ,7, , ,4, ,10,3,1, ,9,11,6
 , ,14, ,8,2,5, ,7, , ,4, ,10,3+,1, ,9,11,6
 ,12,14, ,8*,2,5+, ,7, , ,4, ,10,3,1, ,9,11,6
 , ,14, ,8,2,5+, ,7,12,3,4•, ,10, ,1, ,9,11,6
 , ,14, ,12,2,5, , ,8,3,4,7+,10, ,1, ,9,11*,6
5, , , ,8,2, , ,7, , ,4,14,10+,3,1, ,9,11,6
 , , , ,8,2,5, ,7, , ,4, ,10,3,1, ,9,11,6
 , , , ,8,2,5, ,7, , ,4, ,10,3,1, ,9,11,6
 , , ,2,8, ,5, ,7, , ,4, ,10,3,1, ,9,11,6
 ,12,14,2,8*, ,5, ,7, , ,4, ,10,3+,1, ,9,11,6
