Bishop,Brannan,Collings,Cooper,Garnett,Harvey,Higgins,Hughes,Irons,Malkin,Martindale,McCarrick,McNab,Morrissey,Muir,Mungall,Nixon,Steel,Thomas,Vickers
,,,,,8+,,5,,,14,3,4,7,10,2,1,9,11,6
,,,,,8,,5,,,,3,4,7,10,2,1,9,11,6
,,,,,8,,5+,14,,12,3*,4,7,10,2,1,9,11,6
,,,,,8,,5*,,12,,3,4,7,10,2,1,9,11,6
,,,,,8,2,5*,,,12,,4,7,10,3,1,9,11,6
,,,,,8,2,5,,14,,,4,7,10+,3,1,9,11,6
,,,,,8,2,5,,,12,,4,7,10,3,1,9,11*,6
,,,,,8,2,5,,14,11+,,4,7,10,3,1,9,,6
,,,,,8,2,5,,14,,3,4,7+,10,11,1,9,,6
,,,,,8,2,5,,14,12,3*,4,7+,10,11,1,9,,6
,,,,,8,2,5+,14,9,,3,4,7,10,11,1,,,6
12,,,,,8,2,5,,11,,3,4,7*,10,,1,9,,6
4,14,,,,8,2,5,,11,,3,,7+,10,,1,9,,6
4,11,,,,8,2,5,,7,,3,,,10,,1,9,,6
4,14,,,,8,2,5*,,7,11+,3,,12,10,,1,9,,6
5,11,,,,8+,2,,,7,14,3,4,12,10*,,1,9,,6
,2,,,,8,,5,,11,,3,4,7,10,,1,9,,6
12,11,,,,8*,2+,5,14,,,3,4,7,10,,1,9,,6
,11,,,,8,2,5,,,,3,4,7,10,,1,9,,6
,3,,,,8,2,5,,,,,4,7,10,,1,9,11,6
,3,,,,8*,2,5,14,,12,,4,7,10,,1,9,11,6+
12,3,,,,8*,2,5,6,,14,,4,7+,10,,1,9,11,
8,3,,,,12,2,5*,14,,,,4,7+,10,,1,9,11,6
8,3,,9,,12,2,5*,7,,,,4,,10+,,1,14,11,6
,3,,10,,8,2,5,7,,,,4,,,,1,9,11,6
,3,,10,,8,2,5*,7,,,,4,,12,,1,9,11,6
,3,,10*,,8,2,5+,7,,,,4,,12,14,1,9,11,6
,3,,,,8,2,5,7,,,,4,12,10,,1,9,11*,6
,3,,,,8,2,5,11,,,,4,7,10,,1,9,,6
,3,,12,,8,2,5,4,,,,,7*,10,11,1,9,,6
,3,,,,8,2,5,4,,,,,7,10,11,1,9,,6
,3,,,,8,2,5,4,,,,,7,10,11,1,9,,6
,3,,,,8,2,,4,,,,,7,10,5,1,9,11,6
,3+,,12,,8,2,,7,,,,4*,14,10,5,1,9,11,6
,,,,2,8,,5,4,,,,,7,10,3,1,9,11,6
,,,12,2,8,,5,4,,,,14,7,10*,3,1,9,11,6+
,,,12,6,8,2,5,7+,,,,4,14,10,3,1,9*,11,
,,,,6,8+,2,5,7,,,,4,14,10,3,1,9,11,
,,,12,6,8,2*,5,7+,,,,4,14,10,3,1,9,11,
,,,,6,8,2*,5,12,14,,,4,7+,10,3,1,9,11,
,,,,2,8*,,5,12,14,,,4,7+,10,3,1,9,11,6
,,,,2,8*,,5,12,14,,,4,7+,10,3,1,9,11,6
,,1,,2,8*,,5,7,12,,,4,,10,3,,9,11,6
,,1,,2,8,,5,7,12,,,4,14,10,3,,9*,11+,6
,,1,,2,,,5,8,12,,,4,7*,10,3,,9,11,6
,,,,2,,,5,8,12,,,4,7,10*,3,1,9,11,6
,,,12,2,14,,5,8,10,,,4,7+,,3,1,9*,11,6
,,,,2,,,5,8,10,,,4,7,,3,1,9,11,6
,,,12,2,14,,5+,8,10*,,,4,7,,3,1,9,11,6
,,,14,2,12,,5*,8,10+,,,4,7,,3,1,9,11,6
,,,12,,8,2,5,14,10*,,,4,7+,,3,1,9,11,6
,14,,12,5,8+,2,,,10,,,4,7,,3,1,9*,11,6
,,,10,5,8+,2,,14,,,,4,7,,3,1,9,11,6
,,,10*,,,2,5,8,12,,,4,7,,3,1,9,11,6
,,,10+,,,2,5,8,12,14,,4,7*,,3,1,9,11,6
,,,10,,,2,5,8,12,,,4,7,,3,1,9*,11,6
,14,,10,,,2,5*,8,9+,12,,4,7,,3,1,,11,6
,,,10,,4,2,5,8,,14,,,7,,3+,1,9,11,6
,3,,10,12,,2,5,4,14,8*,,,7+,,,1,9,11,6
,3,,10,,,2,5,8,12,14,,4*,7,,,1,9,11,6+
,3,,10,6,14,2,5,4,12,8+,,,7,,,1,9*,11,
