Aldridge,Branch,Brannan,Collings,Cooper,Garnett,Harvey,Higgins,Hughes,Irons,Malkin,Martindale, McGreal,McNab,Morrissey,Muir,Mungall,Nevin,Nixon,Nolan,Steel,Thomas,Vickers
8,,3+,,,6,,2,5,4,12,10,,14,7*,,,,1,,9,11,
8,,3,,,6,,2,5,4,12,10,,,7,,,,1,,9*,11,
8,,3,,,6,,2,5,4,,10,,,7,,,,1,,9,11,
8,,3,,,6+,,2,5,4,,10,,14,7,,,,1,,9,11,
8,,3,,,6,,2,5,4+,9,10,,14,7,,,,1,,,11,
8,,3,,14,,12,2,5,4,9,10*,,,7+,,,,1,,,11,6
8,,3,,12,,,2,5,4+,9,10,,14,7*,,,,1,,,11,6
8,,3,,12+,,,2,,4,9,10,,14,7*,,5,,1,,,11,6
8,14,3,,,,,2,5+,4*,9,10,,12,7,,,,1,,,11,6
8,,3,,,,,2,5,4,9*,10,,,7,,,,1,,12,11,6
8,,3,,,,,2,5,4,,10,,,7,,,,1,,9,11,6
8,,3,,,,,2,5,4+,12,10,,14,7*,,,,1,,9,11,6
8,14,3*,,,,,2,5,4,7,10,,11,,,12,,1,,9,,6+
8,,3+,,,,,2,5,4,7,10,,14,,,11,,1,,9,,6
8,,3,,,,,2,5,4*,12,10+,,14,7,,11,,1,,9,,6
8,,3,,,,,2,5,4+,12,10,,14,7*,,11,,1,,9,,6
8,,3,,,2,,,5,4,12,,,10,7,,11,,1,,9,,6*
8,,3,,,,14,2,5,4,,10,,,7,,11+,,1,,9,,6
8,,3,,,,,,5,4,12,10,,,7,,11*,,1,2,9,,6
8,,3,,12,,14,,5,4*,9,10,,,7,,11,,1,,2+,,6
8,,3,,,,,,5,4,9,10,,,7,,11,,1,2,,,6
8,,3*,,12,,,2,5,4,9,10,,,7,,,,1,11,,,6
8,,3,,12,,,2,5,4,9*,10,,,7,,,,1,11,,,6
8,,3,,12,,14,2,5+,4,9*,10,,,7,,,,1,11,,,6
8,,,,,,14,2,5,4,9*,10,,,7,,3+,,1,11,12,,6
8,,3,,,,14,2,5,4,,10,,,7,,,,1,11+,9,,6
8,,3,,,,14,2,5*,4,12,10+,,,7,,,,1,11,9,,6
8,,3,,10,,,2,5,4,,,,9,7,,,,1,11,,,6
8,,3,,10,,14,2,5+,4,,,,9,7,,,,1,11,,,6
8,,3+,,10,,14,2,5,4,,,,9,7,,,,1,11,,,6
8,,,1,10*,,9,2,5+,4,,14,,,7,,3,,,11,12,,6
8,,,,10,,9,2,5,4,,,,,7,,3,,1,11,,,6
8,,,,10,,9,2,5*,4,12,,,,7,,3,,1,11,,,6
8,,,,10*,,9,2,5,4,12,,,,7,,3,,1,11,,,6
8,,,,10+,,9,2,5,4,12,,,14,7,,3*,,1,11,,,6
,,,,,,8,2,5*,4,10,,,3,7,12,,,1,11,9,,6
,,,,,,8,2,5*,4+,10,,,14,7,12,3,,1,11,9,,6
,,,,,2,,,5,4,,8,,,7,10,,,1,3,9,11,6
8,,,,,2,,,5,4,9,10,,,7,,,,1,3,,11,6
8,,,,,2*,4,,5,,9,10,,,7,12,,,1,3,,11,6
8,,,,,,,2,5,,9,10,,,7*,12,3,,1,4,,11,6
8,,,,,,14,2,5*,4,12,9+,,,7,10,,,1,3,,11,6
8,14,,,,,10,2,5+,4,9*,,,,,12,7,,1,3,,11,6
8,,,,,,5,2,,4,,,,,7,12,,10*,1,3,9,11,6
8,,,,,,5,2,,4,,,,,7,10,,9,1,3,,11,6
8,,,,,,5,2,,4,,,,,7,10,,9,1,3,,11,6
8,,,,,,5,2,,,,4+,,,7,10*,14,9,1,3,12,11,6
8,,,,,,5,2,,4,,,,,7,10,,9,1,3,,11,6
8,,,,,,5,2,,4,,,,,7,10*,,9,1,3,12,11,6
8,,,,,,5,2,,4,14,,,,7+,,,10,1,3,9,11,6
8,,,,,,5,2,,4*,,12,,,7,,,10,1,3,9,11,6
8,,,,,,5,2,,4,10,,,,7,,,,1,3,9,11,6
8,,,,,,5+,,2,4,10,14,,,7,12,,,1,3,9*,11,6
8,,,,,2*,,,5,4,9,7,,,,10,,,1,3,12,11,6
8,14,,,,,11,,5,4,9,7+,,,,10,2,,1,3,,,6
8,,,,,,9,,5,4*,12,2,,,7,10,,,1,3,,11,6
8,,,,,,,,,4,12,9,5,,7*,10,2,,1,3,,11,6
8,,,,,,,,,4,7,9,5,,,10,2,,1,3,,11,6
8,14,,,,,,,,4,7+,9,5,,,10,2,,1,3,,11,6
