Aldridge,Branch,Brannan,Cooper,Coyne D,Coyne T,Garnett,Higgins,Hughes,trons,Malkin,Martindale,McGreal,McNab,Morrissey,Muir,Mungall,Nevin,Nixon,Nolan,Proctor,Thomas,Vickers
8,,2,,,,6,,5,4,9,10,,,7,,,,1,3,,11,
8,14,2,,,,6,,5,4,9,10+,,,7*,12,,,1,3,,11,
8,,2,,,,6,,5,4+,9,,,10,14,,,7,1,3,,11,
8,,2+,,,,6,,5,4,9*,,,10,14,12,,7,1,3,,11,
8,,2,,,,6,,5*,4,,,,12,7,10,,9,1,3,,11,
8,,2,,,,6,,,4,,,,5,7,10,14,9,1,3,,11+,
8,,2,,,,5,,,4,,,,11,7,10,,9,1,3,,,6
8,,2,,,,5,,,4,12,,,11,7,10*,14,9,1,3+,,,6
8,,3,14,,,,2,,4,9+,,,10,7,,5,11,1,,,,6
8,,3,14,,,,2,,4,9,,,10,7+,,5,11,1,,,,6
8,,3,,,,,2,,,9,4,,10,7,,5,11,1,,,,6
8,,3,,,,,2,,,9,4,,10,7,,5,11,1,,,,6
8,,3,,,,,2,,,9,4,,10,7,,5,11,1,,,,6
8,,3,14,,,,2,,12,9+,4*,,10,7,,5,11,1,,,,6
8,,3,9,,,,2,,4,,,,10,7,,5,11,1,,,,6
8,,3,9,,,,2,14,4,,,,10,7,,5,11,1,,,,6+
8,,3,,,,,,2,4,9,,,10,7,,5,11,1,,,,6
8,,3,,,,,2,,4,9,,,10,7,,5,11,1,,,,6
8,,3,,,,,2,10,4,9,,,,7,,5,11,1,,,,6
8,,3,,,,,2,,4,9*,,,10,7,12,5,11,1,,,,6
8,,3*,,,,,2,12,4,9,,,10,7,,5,11,1,,,,6
8,,3,,,,,2,,4,9,,,10,7,,5,11,1,,,,6
8,,3,,,,,2+,14,4,9*,,,10,7,12,5,11,1,,,,6
8,,3,,,,,2,,4,9,11,,10,7,,5,,1,,,,6
8,,3,,,,,2,,4,9,14,,10+,7,,5,11,1,,,,6
,,3,8*,,,,2+,6,4,12,9,14,,7,10,5,11,1,,,,
8,,3,,,,,,2,4,9,11,,10,7,,5,,1,,,,6
8,,3,,,,,2,,4,9,11,,10,7,,5,,1,,,,6
8,,3,,,,,2,6,4*,,12,,10,7,9,5,11,1,,,,
8,,3,,,,,2,,4,,,,10,7,9,5,11,1,,,,6
8,,3*,,,,,,2,4,9,12,,10,7,,5,11,1,,,,6
8,,,,,,,2,3,4*,9,12,,10,7,,5,11,1,,,,6
8,,,,,,,2,,4,9,,,10,7,,5,11,1,3,,,6
8,,,,,,,2,,4,9,12,,10,7,,5,11*,1,3,,,6
,,,,,,,2,14,4,9,12,,8,7,10*,5+,11,1,3,,,6
,,,12,,,,2,,4+,9,14,,8,7,10*,5,11,1,3,,,6
,,,,,,,2,,4+,9,8,,10,7,14,5,11,1,3,,,6
8,,,,,,,2,,4,9+,12,,10*,7,14,5,11,1,3,,,6
8,,,,,,,2,,4+,9,14,,10,7,12,5,11*,1,3,,,6
,,,,,,,2,,4,9,8,,10,7,14,5,11,1,3+,,,6
,,3,,,,,2,14,12,9,4,,8+,7,10*,5,11,1,,,,6
,,3,,,,,2,12,4,9,8,,10,7,,5,11,1,,,,6*
,,3,,,,,2,,4,9,,,10,7,,5,8,1,,,11,6
,14,3,,,9+,,2,,4,10,,,5,7,,,8,1,,,11,6
,,3,,,8,,2,,4,9,,,,7,,,10,1,,5,11,6
,14,,,,8,,2,,4,9+,,,,7,,3,10,1,,5,11,6
,14,4,8+,,9,,2,,,,12,,,7,,,10,1,3*,5,11,6
,,3,,,9,,2,,8,,4,,,7,,,10,1,,5,11,6
,,3,,,9,,2*,,4,,8,,,7,,12,10,1,,5,11,6
,,3,,,9,,2,,4,,8,,,7,,12,10,1,,5*,11,6
,,3,,,,,2,,4,9,8,,,,,7,10,1,,5,11,6
,,3,,,12,,2,,4,9,8+,,,7,,14,10,1,,5*,11,6
,,3,,,9,,2,,4,8,,,,7,,,10,1,,5,11,6
12,,3,,,9*,,2,,4,8,,,,7,,,10,1,,5,11,6
8,,3,,,14,,2*,,4,9,,,,7,,12,10,1,,5,11+,6
8,,3,,,14,,2,,4+,9,7,,,,,12,10*,1,11,5,,6
8,,3,,1,,,2,,4,9,7,,,,,,10,,11,5,,6
8,,3,,,14,,2,,4,9,,,,7,,,10+,1,11,5,,6
8,,3,,,14,,2,,4,9,,,,7,,,10,1,11+,5,,6
