Aldridge,Branch,Brannan,Coyne,Edwards,Garnett,Higgins,Irons,Jones G,Kenworthy,Malkin,McGreal,Thomas-Moore,Morrissey,Muir,Mungall,Nevin,Nixon,O'Brien,Proctor,Stevens,Thomas
8,,4,1,,5*,2,9,,,,,,7,12,3,10,,6,,,11
8,,3,1,,5,2*,4,,,9,,,7,12,14,10,,6,,,11+
8,,3,1#,,5,2+,4,,,9*,14,,7,12,11,10,13,6,,,
8,,3,1,,5+,2,4,,,9,14,,7,12,11,10*,,6,,,
8,,3,1,,,2,4,,,9,5,,7,,,10,,6,,,11
8,,3,1,,5*,,4,14,10,9,2,,7+,,12,,,6,,,11
,10,3,,7,5*,2,4,9,,,8,12,,,6,,1,,,,11
8,,3,,,5,,4,,,9,2,,7*,12,,10,1,6,,,11
8,,3,,7+,5,,4,,,9,2,,,,14,10,1,6,,,11
8,,3,,,5,,4,12,,9,2,,7,,14,10,1,6*,,,11+
8,,3,,14,5,2*,4+,12,,9,,,7,,11,10,1,6,,,
8,,10,,,5,,,,,9,4,,7,,3,11,1,6,,2,
8,,10,,12,5,,,,,9,4,,7,,3,11*,1,6,,2,
8,,10,,,5,,,,,9,4,,7,,3,11,1,6,,2,
8,,,,10,5,,,,,9,4,,7,,3,11,1,6,,2,
8,,10,,,5,,,,,9,4,,7,,3,11,1,6,,2,
8,,10,,,5,,,,,9,4,,7,,3,11,1,6,,2,
8,,10,,7*,5,,,,,9,4,,12,,3,11,1,6,,2,
8,,10,,,5,,12,,,9,4,,7,,3,11,1,6*,,2,
8,,10,,,5,,6,,,9,4,,7,,3,11,1,,,2,
8,,10,,,,5,6,,,9,4,,7,,3,11,1,,,2,
,,10,,,5,,6,14,,9,4,,7,8+,3,11,1,,,2,
8,,10,,,5,,6,,,9,4,,7,,3,11,1,,,2,
,,,,11,5,6,10+,,12,9,4,,7,8,3*,,1,,14,2,
,,10,,,5,,6,,,9,4,,7,8,3,11,1,,,2,
,,10,,,5,,6,,,9,4,,7,8,3,11,1,,,2,
8,,10,,,5,,6,,,9,4,,7,,3,11,1,,,2,
8,,10,,12,5+,7,6,,,9,4,,,14,3*,11,1,,,2,
8,,10,,,5,4,6,,,9+,,,7,14,3,11,1,,,2,
8,14,3+,,,,5,6,,,9,4,,7,,,,1,10,,2,11
,,,,,,5*,3,8,,9,4,,7,,12,10,1,6,,2,11
,,,,,,,3,8,,9,4,,7,,5,10,1,6,,2,11
,,,,,,5,3,8,,9,4,,7,,,10,1,6,,2,11
,,3,,,,5,10,8,,9,4*,,7,,12,11,1,6,,2,
,,3,,,5,,10,8,,9,,,7,12,11*,,1,6,,2,4
,,12,,,,5*,10,,,9,4,,7,8,,11,1,6,,2,3
,,5,,,,,10,14,,9,4,,7,8,,11,1,6,,2+,3
,,5,,,,2,10,,,9,4,,7,8,12,11,1,6*,,,3
12,,14,,,5,,10,,,9,4,,7,8*,,11,1,6+,,2,3
,,10,,,5,,,,,9,4,,7,8,,11,1,6,,2,3
,,10,,,5,,7+,14,,9,4,,,8,,11,1,6,,2,3
,,10,,,5,,,,,9,4,,7,8,,11,1,6,,2,3
,,10,,,5,,7*,14,,9+,4,,12,8,,11,1,6,,2,3
14,,10,,,5,,,,,9+,4,,7,8,,11,1,6,,2,3
14,,10*,,,5,,12,,,9+,4,,7,8,,11,1,6,,2,3
8,,3,,,5,,9,14,,12,4,,7,10*,,11+,1,6,,2,
8,,3,,,5,,10,,,9,4,,7*,12,,11,1,6,,2,
8,,10+,,,5,,7,12,14,9*,4,,,,,11,1,6,,2,3
8,,,,,,5,10,12,7,9,4,,,,3,11*,1,6,,2,
8,,,,,,5,10,12,14,9*,4,,7+,,3,11,1,6,,2,
8,,7,,,5,,,10,9,,,4,,,3,11,1,6,,2,
8,,14,,,5,,10+,12,,9,4,,7*,,,11,1,6,,2,3
8,,7,,,5,,10,12,,9*,4,,,,,11,1,6,,2,3
8,,14,,,5,,10,12,,9*,4,,7,,,11,1,6+,,2,3
8,,14,,,,5,10,9,7+,,4,12,,,,11*,1,6,,2,3
8,,7,,,5,,10,,,9,4,,,,,11,1,6,,2,3
8,,7,,,5*,,10,12,14,9,4,,,,,11,1,6,,2,3+
8,,14,,,5,,10,,,9,4,,7,,,11,1,6,,2,3+
8,,6,1,,,,10,12,,9*,4,,7,,5,11+,,14,,2,3
