Aldridge,Bennett,Branch,Brannan,Cook,Coyne,Garnett,Higgins,Irons,Jones G,Kenworthy,Mahon,McGreal,Moore,Morgan,Morrissey,Mungall,Nevin,O'Brien,Rogers,Stevens,Teale,Thomas
8,7,,9,,1,5*,,10,,,,4,12,,,14,11,6,,2+,3,
8,7,,9,,1,5,,10,,,,4,,,,,11,6,,,2,3
8,7,,9,,1,5,,10*,,,,4,12,,,,11,6,,,2,3
8,7,,9,,1,5,,10,,,,4,,,,,11,6,,,2,3
8,7,,2,,1,,,10,,,,4,,,11+,,9,6,,14,5,3
8,9,,10,,1,,,,,,,4,,,7,,11,6,,2,5,3
8,9,,7,,1,,,10,14,,,4,12,,,,11,6*,,2+,5,3
8,9,,6,,1,,,10,,,,4,12,,7*,,11,,,2,5,3
8+,9,,7,,1,5*,,10,6,14,,4,12,,,,11,,,2,,3
8,9,,7,,1,,,10,6,14,,4,12,,,,11+,,,2*,5,3
,9,,7,,1,6,,10,8,,,4,11,,,,,,,2,5,3
8,9*,,7,,1,,,10,6,,,4,12,,,,11,,,2,5,3
8*,9,12,7,,1,,,,6,,,4,10,,,,11,,,2,5,3
8,9,,7,,1,,,,6,,,4,10,,,,11,,,2,5,3
8,9*,12,7,,1,,,,6,,,4,10,,,,11,,,2,5,3
8,9,,7,,1,,,,6,,,4,10,,,,11,,,2,5,3
8,9,,7,,1,,,,6,,,4,10,,,,11,,,2,5,3
8,9+,14,7,,1,,,,6,,,4,10,,,,11,,,2,5,3
8,9,12,7,,1,,,,6,,,4,10*,,,,11,,,2,5,3
8,9,,7,,1,5,,14,6,,,,10,,,,11,,,2+,4,3
8,9,12,7,,1,5,,2+,6,,,,10,,,,11*,,14,,4,3
8,9*,12,7,,1,5+,,,6,,,,10,,,,11,14,2,,4,3
,9,8+,7,,1,,5,,6*,,,,10,,14,,11,12,2,,4,3
8,9,,7,,1,,5,14,6,,,,10*,,,,11+,12,2,,4,3
8,9,,7,,1,5,4,,6,,,,10,,,,11,,2,,,3
8,9+,,7,,1,5,4,,6,,,,10,,14,,11,,2,,,3
8,9,,7,,1,5,4,,6,,,,10,,14,,11+,,2,,,3
8,,,9,,1,5,,,6*,,,4,10,,7,,11,12,2,,,3
8,,11+,7,,1,5,,10*,12,,,4,9,,,14,,6,2,,,3
8,,14,7,,1,5,10+,,,,,4,9,,,,11,6,2,,,3
8,,14,7,,1,,5,10,,,,4,9,,,12,11+,6*,,2,,3
8,,12,,,1,,5,10,,,14,4,9,,,7+,11,6*,,2,,3
8,,12,,,1,,5,10+,,,14,4,9,,13,7,11*,,6,2,,3#
8,9,11,7,,1,13,,10,6,,,4#,,,,,,,3,2,5,
8,9,11#,7,,1,5,,10,,,,,,,13,,,6,3,2,4,
8,9#,11,7,,1,5*,,10,14,,,,,,13,12,,6+,3,2,4,
8,14,11+,7,6*,1,5,13,12,,,,,9,,,,10,,4#,2,,3
8,,11#,7,6,1,5,4,12,,,,,9,,13,,10,,3,2*,,
8,14,11+,7,6,1,,,,,,,,10,,,,9,,4,2,5,3
8,14,11+,7,6,1,,,12,,,,,10,,,,9*,,4,2,5,3
8,,,7,6,1,,,12,,,,4,10,,13,,9*,,11,2,5,3#
8,,12,7,6,1,,,3*,,,,4,10,,,,9,,11,2,5,
8,,11+,7,6*,1,,,12,14,,,4,10,,,,9,,3,2,5,
8,,14,7,6,1,,,3+,,,,4,10,,,,9,,11,2,5,
8,,11#,7,6,1,,,,,13,,4,10,,,,9,,3,2,5,
8+,,,10,6,1,,5,11*,14,13,,4,,,7#,,9,12,3,2,,
8,,,9,6,1,,5,11,,,,4,,14,7#,,13,10,3+,2,,
8#,,,3,6,1,,5,11+,13,,,4,,14,7,,9,10,,2,,
8#,,,3,6,1,,5,11,,,,4,13,14,7,,9+,10,,2,,
8#,,,9,6,1,,5,11,,,,4,13,14,7,,,10,3+,2,,
8,,,9,6,1,,5,11*,,,,4,12,,7,,,10,3,2,,
