Aldridge,Bonetti,Branch,Brannan,Challinor,Cook,Coyne,Higgins,Irons,Jones G,Jones L,Mahon,McGreal,Thomas-Moore,Morgan,Morrissey,Nevin,Nixon,O'Brien,Rogers,Stevens,Teale,Thomas,Thorn,Woods
8+,11,,13,,9,1,,10#,,,,4,14,,7*,12,,6,3,2,5,,,
8,11*,12,13,,9,1,,10#,,,,4,,,7,,,6,3,2,5,,,
8,11*,12,13,,9,1,,10,,,,4+,14,,7,,,6,3#,2,5,,,
8,,11,3,,9,1,4,10,,,6*,,,12,7#,13,,,,2,5,,,
8,,11,3,,9,1,4,10,,,6,,,,7#,13,,,,2*,5,12,,
8,,11,3,,9,1,4,10#,7,,12,,13,,,,,6*,,,5,2,,
8*,,11,3,,9,1,4,10#,13,,,,12,,7,,,6,,2,5,,,
8*,,11,3,,9,1,4,10,,,,,12,,7+,,,6,,2,5,14,,
8,14,11,3,,9#,1,4,10,13,,,,,,7,,,6+,,2,5,,,
8,,11*,3,,9,1,4,10,,,,12,,,7,,,6,,2,5,,,
8,11,10,3,,9,1,4,,,,12,,,,7,,,6*,,2,5,,,
8,11,10,3,,9#,1,4+,12,13,,14,,,,7*,,,6,,2,5,,,
8#,11,10*,3,,9,1,,7,13,,,,,,12,,,6,,2,5,,4,
8,11,10*,3,,9,1,,7,13,,,,,,12,,,6#,,2,5,,4,
8,11,10,9,,,1,,7,13,,,,,,,,,6,3,2,5,,4#,
8,11,10*,9,,14,1,,7+,13,,,,,,12,,,6,3#,2,5,,4,
8,11,10*,3,,9+,1,,7,13,,14,,,,12,,,6,,2,5,,4#,
8,11#,10,3,,12,1,4,9+,,,14,,,,7*,13,,6,,2,5,,,
12,,,7,,10,1,,,9*,,11,,8,,,,,6,3,2,5,,4,
12,14,,7,,10,1,,,9*,,11+,,8,,,,,6,3,2,5,,4,
12,14,,7,,10,1,13,,9,,11,,8*,,,,,6+,3,2,5,,4#,
8,,12,7,,,1,4,13,9,,11#,,,,,,,6,3,2,5,10*,,
8+,,,7*,,11,,4,12,14,,,,10#,,,13,1,6,3,2,5,9,,
8,,,7,,11+,,4,12,,,14,,10#,,,13,1,6,3*,2,5,9,,
8,,,7,,14,,4,12,13,,11+,,,,,10#,1,6,3*,2,5,9,,
8,,,7,,11,,4,3*,13,,,,,,12,10#,1,6,,2,5,9,,
8,,11#,9,,,,,10*,12,,14,4,,,7+,13,1,6,,2,5,3,,
13,,8#,7,,,1,,14,,,11,4,10,,12,,,6*,3,2,5,9+,,
8,,12,7,,,1,,9,,,11#,4,10*,,14,13,,6+,3,2,5,,,
8#,,12,7,,9,1+,5,,,,14,4,13,,10,11,,6*,,2,,3,,
8#,,12,7,,9,,5,14,,,,4,13,,10*,11,1,6+,,2,,3,,
8,,12,7,,9,,5,14,,,,4,13,,10*,11,1,6#,,2,,3+,,
8,,,7,,9,,5,14,,,,4,13,,10#,11*,1,6+,12,2,,3,,
,14,10+,7#,,9,,,6,13,,,4,8,,,11*,1,,12,2,,3,5,
,,10,,,9,,,6,13,,7,4,8,,,11#,1,,12,2*,,3,5,
,,10#,12,,9,,,6*,13,,7,4,8,,,14,1,,11,2+,,3,5,
12,,9*,7,,,,5,10,13,,14,4,8,,,11#,1,6+,3,,,2,,
12,,9+,7,4,,,5,10*,,,14,,8,,,11,1,6,3,,,2,,
8#,,12,7,,,,4,10,13,,,,9,,,11*,1,6,3,,,2,5,
8+,,12,7,,14,,11,10,13,,,4,9*,,,,1,6,3,,,2,5#,
8,,7#,,,9,,5,10,,,11,4,,,12,13*,1,6,3,,,2,,
12,,7*,,14,9,,5+,10,8,,11#,4,,,13,,1,6,3,,,2,,
8,,12,,5,11#,,,10,9,,13,4,,,7*,,1,6,3,,,2,,
8#,,12,,5,13,,,10,9,11*,,4,,,7,,1,6,3,,,2,,
14,,12,,5,8,,,10+,9,11,,4,,,7*,,1,6,,,,2,,3
8*,,12,,,13,,,10+,9,11,14,4,,,7#,,1,6,3,,,2,5,
12,,14,,,8,,,10,9,11,13,4,,,7+,,1,6,3,,,2#,5*,
12,,,,,8,,,10,9,11,,4,,,7*,,1,6,3,,,2,5,
12,,14,,,8,,,10,9,11,,4,,,7*,,1,6+,3,,,2,5,
8,,,,,,,,10,9,11,,4,,,7#,13,1,6,3,,,2,5,
8,,7,,,,,,10,,11,9*,4,,,12,,1,6,3,,,2,5,
