game_date,player_name,yellow_cards,red_cards,min_so
1988-09-05,Ronnie Moore,1,,
1988-09-05,Johnny Morrissey,1,,
1988-10-24,Mark McCarrick,,1,53
1988-10-24,Mark Hughes,,1,73
1988-11-12,Johnny Morrissey,,1,
1989-02-18,Dave Higgins,1,,
1989-02-18,Johnny Morrissey,,1,71
1989-03-17,Eddie Bishop,,1,
1990-02-06,Dave Higgins,1,,
1990-02-06,Johnny Morrissey,1,,
1990-09-01,Jim Steel,1,,
1990-09-01,Ian Muir,1,,
1990-05-27,Shaun Garnett,1,
1990-05-27,Steve Vickers,1,
1991-03-05,Tony Thomas,1,,
1991-06-01,Chris Malkin,1,

1991-10-12,Dave Higgins,,1,71
1991-10-12,Kenny Irons,1,,
1991-10-12,Steve Vickers,1,,
1991-10-12,Ged Brannan,1,,
1991-10-12,Dave Martindale,1,,

1991-12-28,John Aldridge,,1,55
1992-12-16,Neil McNab,,1,80

1992-01-04,Kenny Irons,1,,
1992-01-04,Dave Higgins,,1,43

1992-04-04,Jim Steel,1,,
1992-04-04,Tony Thomas,1,,
1992-04-04,Dave Higgins,,1,81

1993-03-06,Ged Brannan,1,1,88
1993-05-08,Danny Coyne,,1,38
1993-05-18,Eric Nixon,,1,90
1993-08-28,Eric Nixon,1,,
1993-08-28,Chris Malkin,,1,30
1993-08-28,Ian Nolan,,1,85
1993-08-28,Dave Higgins,1,,
1993-08-28,John Aldridge,1,,
1994-02-23,John McGreal,1,0,
1995-02-25,Tony Thomas,1,,90
1997-01-14,John Aldridge,,1,75
