game_date,player_name,yellow_cards,red_cards,min_so
1988-09-05,Ronnie Moore,1,,
1988-09-05,Johnny Morrissey,1,,
1988-10-24,Mark McCarrick,,1,53
1988-10-24,Mark Hughes,,1,73
1988-11-12,Johnny Morrissey,,1,
1989-02-18,Dave Higgins,1,,
1989-02-18,Johnny Morrissey,,1,71
1989-03-17,Eddie Bishop,,1,
1990-02-06,Dave Higgins,1,,
1990-02-06,Johnny Morrissey,1,,
1990-09-01,Jim Steel,1,,
1990-09-01,Ian Muir,1,,
1990-05-27,Shaun Garnett,1,
1990-05-27,Steve Vickers,1,
1991-03-05,Tony Thomas,1,,
1991-06-01,Chris Malkin,1,
1994-02-23,John McGreal,1,0,
1993-05-18,Eric Nixon,,1,90
1995-02-25,Tony Thomas,1,,90
1997-01-14,John Aldridge,0,1,75
