game_date,player_name,goal_min,penalty
1964-09-04,John Manning,60,
1984-05-21,Dave Philpotts,74,pen
1986-09-27,Johnny Morrissey,50,
1986-09-27,Gary Williams,54,
1986-10-11,Steve Vickers,44,
1987-02-14,Johnny Morrissey,14,
1987-08-18,Steve Mungall,10,
1988-08-29,Ian Muir,23,
1988-09-05,Ian Muir,79,
1988-10-22,Jimmy Harvey,54,
1988-10-22,Eddie Bishop,70,
1988-10-22,Jimmy Harvey,75,
1988-10-24,Ian Muir,73,
1988-11-12,Eddie Bishop,32,
1988-12-13,Ian Muir,14,pen
1989-02-18,Ian Muir,31,
1989-03-03,Ian Muir,48,
1989-03-03,Jim Steel,62,
1989-03-13,Chris Malkin,41,
1989-03-13,OG,55,
1989-03-13,Chris Malkin,64,
1990-02-06,Neil McNab,47,
1990-02-06,Ian Muir,49,
1990-02-09,Neil McNab,28,
1990-02-09,Jim Steel,63,
1990-02-09,Chris Malkin,70,
1990-02-09,Mark Hughes,77,
1990-02-09,Ian Muir,81,
1990-02-17,Ian Muir,67,pen
1990-02-17,Chris Malkin,77,
1990-04-16,Steve Mungall,47,
1990-04-16,Ian Muir,65,
1990-04-20,Chris Malkin,69,
1990-04-20,Ian Muir,90,pen
1990-04-23,Ian Muir,10,
1990-05-05,Ian Muir,12,
1990-05-05,Steve Mungall,61,
1990-08-31,Ian Muir,20,pen
1990-12-29,Dave Higgins,87,
1991-02-26,Steve Mungall,6,
1991-03-05,Ian Muir,31,
1991-03-05,Jimmy Harvey,34,
1991-03-05,Ian Muir,67,pen
1991-03-05,Ian Muir,85,
1991-03-12,Ian Muir,88,pen
1991-08-27,John Aldridge,11,
1991-08-27,Jim Steel,56,
1991-08-27,Jim Steel,105,
1991-08-27,John Aldridge,120,
1991-08-31,John Aldridge,16,
1991-08-31,Tony Thomas,76,
1991-09-07,Chris Malkin,18,
1991-09-07,Tony Thomas,60,
1991-09-07,Steve Vickers,86,
1991-10-04,Jim Steel,50,
1991-10-26,Jim Steel,76,
1991-11-16,Kenny Irons,2,
1991-11-16,John Aldridge,46,
1991-11-16,John Aldridge,66,
1991-12-07,Johnny Morrissey,28,
1991-12-28,John Aldridge,27,
1992-01-04,Chris Malkin,1,
1992-03-14,John Aldridge,16,
1992-03-14,Kenny Irons,61,
1992-03-14,John Aldridge,64,pen
1992-03-14,John Aldridge,68,
1992-04-04,John Aldridge,33,
1992-04-04,John Aldridge,38,
1992-04-04,Johnny Morrissey,73,
