game_date,player_name,goal_min,penalty
 1994-04-09,John Aldridge,9.0,
1921-08-27,Charles Milnes,,
1921-08-27,Fred Groves,,
1921-08-27,John Ford,,
1921-08-27,Tom Stuart,,
1921-09-03,John Prentice,,
1921-09-24,Denis Bullough,,
1921-09-24,John Prentice,,
1921-10-01,Denis Bullough,,
1921-10-01,Fred Groves,,
1921-10-08,Denis Bullough,,
1921-10-15,Charlie Cunningham,,
1921-10-15,Charlie Cunningham,,
1921-10-15,Charlie Cunningham,,
1921-10-15,Charlie Cunningham,,
1921-10-15,Denis Bullough,,
1921-10-15,Fred Groves,,
1921-10-15,Fred Groves,,
1921-10-22,Charlie Cunningham,,
1921-10-22,Fred Groves,,
1921-10-22,John Ford,,
1921-10-22,Johnny Campbell,,
1921-11-12,Fred Groves,,
1921-11-12,Fred Groves,,
1921-11-19,Denis Bullough,,
1921-11-19,Fred Cook,,
1921-11-19,John Prentice,,
1921-11-19,John Prentice,,
1921-11-24,Denis Bullough,,
1921-11-24,Fred Cook,,
1921-12-10,Denis Bullough,,
1921-12-26,Charlie Cunningham,,
1921-12-26,Harold Hilton,,
1921-12-27,John Prentice,,
1921-12-31,Evan Lloyd,,
1921-12-31,James Roberts,,
1922-01-14,Harold Hilton,,
1922-01-21,Jimmy Moreton,,
1922-01-21,John Ford,,
1922-02-18,Tom Stuart,,
1922-02-25,David Fulton,,
1922-02-25,Jimmy Moreton,,
1922-02-25,Joe Mercer,,
1922-02-25,OG,,
1922-03-18,David Fulton,,
1922-03-18,Tom Stuart,,
1922-04-01,David Fulton,,
1922-04-01,John Ford,,
1922-04-01,OG,,
1922-04-14,Evan Lloyd,,
1922-04-14,Jimmy Moreton,,
1922-04-22,Billy Rainford,,
1922-04-22,Billy Rainford,,
1922-04-22,Tom Stuart,,
1922-04-29,Billy Rainford,,
1922-04-29,Charles Milnes,,
1922-04-29,Jimmy Moreton,,
1922-04-29,Johnny Campbell,,
1922-08-26,Bernard Sharkey,,
1922-09-02,Bob Thompson,,
1922-09-09,Bernard Sharkey,,
1922-09-09,Bob Thompson,,
1922-09-09,Ernest Phillips,,
1922-09-09,Jimmy Moreton,,
1922-09-16,Billy Rainford,,
1922-09-23,Billy Rainford,,
1922-09-30,Billy Rainford,,
1922-09-30,Jabez Evans,,
1922-11-04,Jimmy Moreton,,
1922-11-04,OG,,
1922-11-11,Jabez Evans,,
1922-12-23,Bernard Sharkey,,
1922-12-23,Bob Thompson,,
1922-12-25,Fred Hayes,,
1923-01-06,James Robinson,,
1923-01-13,Harold Hilton,,
1923-01-13,Harold Hilton,,
1923-01-13,Jabez Evans,,
1923-01-13,Johnny Campbell,,
1923-01-13,Sammy Beswick,,
1923-01-27,George Crowther,,
1923-01-27,Jabez Evans,,
1923-01-27,Jabez Evans,,
1923-02-03,OG,,
1923-02-03,Sammy Beswick,,
1923-02-17,Bob Thompson,,
1923-02-24,Sammy Beswick,,
1923-03-03,George Crowther,,
1923-03-03,Sammy Beswick,,
1923-03-17,Stan Sayer,,
1923-03-24,Sammy Beswick,,
1923-03-24,Sammy Beswick,,
1923-03-24,Stan Sayer,,
1923-03-24,Stan Sayer,,
1923-03-30,John Lomax,,
1923-03-30,Sammy Beswick,,
1923-03-30,Stan Sayer,,
1923-03-30,Stan Sayer,,
1923-04-02,Johnny Campbell,,
1923-04-02,Stan Sayer,,
1923-04-07,John Lomax,,
1923-04-07,Stan Sayer,,
1923-04-14,Stan Sayer,,
1923-04-21,Bob Thompson,,
1923-04-21,Sammy Beswick,,
1923-04-21,Stan Sayer,,
1923-04-28,OG,,
1923-08-25,Johnny Campbell,,
1923-08-25,Stan Sayer,,
1923-09-06,Bert Cartman,,
1923-09-06,Bert Cartman,,
1923-09-06,Stan Sayer,,
1923-09-08,Stan Sayer,,
1923-09-15,Sammy Beswick,,
1923-09-22,Jack Brown,,
1923-09-22,Jack Brown,,
1923-09-22,Stan Sayer,,
1923-09-29,Stan Sayer,,
1923-10-13,Stan Sayer,,
1923-10-20,Bert Cartman,,
1923-10-27,Stan Sayer,,
1923-11-03,Jack Brown,,
1923-11-10,Stan Sayer,,
1923-11-17,Harold Hilton,,
1923-12-01,Jack Brown,,
1923-12-01,Jack Brown,,
1923-12-06,Stan Sayer,,
1923-12-06,Stan Sayer,,
1923-12-06,Stan Sayer,,
1923-12-25,Johnny Campbell,,
1923-12-25,Stan Sayer,,
1923-12-26,Stan Sayer,,
1924-01-01,Bert Cartman,,
1924-01-01,Stan Sayer,,
1924-01-05,Fred Halstead,,
1924-01-12,Tom Stuart,,
1924-01-19,Johnny Campbell,,
1924-01-19,Sammy Beswick,,
1924-01-26,Tom Stuart,,
1924-02-02,Johnny Campbell,,
1924-02-02,Stan Sayer,,
1924-02-09,Jimmy Moreton,,
1924-02-16,Bert Cartman,,
1924-02-23,Harry Littlehales,,
1924-03-01,Stan Sayer,,
1924-03-08,Jimmy Moreton,,
1924-03-15,Harry Littlehales,,
1924-03-15,Harry Littlehales,,
1924-03-22,Stan Sayer,,
1924-03-29,Harry Littlehales,,
1924-03-29,Jack Brown,,
1924-03-29,OG,,
1924-04-12,Harry Littlehales,,
1924-04-12,Jimmy Moreton,,
1924-04-12,Jimmy Moreton,,
1924-04-12,Stan Sayer,,
1924-04-18,Harry Littlehales,,
1924-04-18,Jack Brown,,
1924-04-18,Stan Sayer,,
1924-04-19,Harry Littlehales,,
1924-04-19,Jack Brown,,
1924-04-19,Jack Brown,,
1924-04-28,Bert Cartman,,
1924-04-28,Jack Brown,,
1924-08-30,Harry Littlehales,,
1924-08-30,Johnny Campbell,,
1924-09-06,Jack Brown,,
1924-09-20,Dixie Dean,,
1924-10-04,Dixie Dean,,
1924-10-04,Jimmy Moreton,,
1924-10-11,Dixie Dean,,
1924-10-18,Dixie Dean,,
1924-10-18,Dixie Dean,,
1924-10-25,Dixie Dean,,
1924-10-25,Dixie Dean,,
1924-10-25,Dixie Dean,,
1924-10-25,Stan Sayer,,
1924-11-01,Dixie Dean,,
1924-11-15,Bert Cartman,,
1924-11-19,Harry Littlehales,,
1924-11-19,Johnny Campbell,,
1924-11-22,Harry Littlehales,,
1924-11-22,Tom Stuart,,
1924-11-29,Stan Sayer,,
1924-12-06,Dixie Dean,,
1924-12-06,Dixie Dean,,
1924-12-06,Harry Littlehales,,
1924-12-06,Harry Littlehales,,
1924-12-06,Jack Brown,,
1924-12-20,Dixie Dean,,
1924-12-20,Dixie Dean,,
1924-12-20,Stan Sayer,,
1924-12-27,Dixie Dean,,
1924-12-27,Dixie Dean,,
1925-01-01,Dixie Dean,,
1925-01-17,Harry Littlehales,,
1925-01-31,Billy Fogg,,
1925-01-31,Dixie Dean,,
1925-01-31,Dixie Dean,,
1925-01-31,Harry Littlehales,,
1925-01-31,Harry Littlehales,,
1925-02-07,Dixie Dean,,
1925-02-14,Billy Fogg,,
1925-02-14,Dixie Dean,,
1925-02-14,Dixie Dean,,
1925-02-14,Dixie Dean,,
1925-02-28,Dixie Dean,,
1925-03-04,Harry Littlehales,,
1925-03-07,Dixie Dean,,
1925-03-07,Dixie Dean,,
1925-03-07,Dixie Dean,,
1925-03-14,Dixie Dean,,
1925-03-18,Billy Fogg,,
1925-03-18,Ellis Rimmer,,
1925-03-18,Fred Halstead,,
1925-03-21,Harry Littlehales,,
1925-03-21,Tom Stuart,,
1925-04-04,Harry Littlehales,,
1925-04-10,Bert Cartman,,
1925-04-10,Stan Sayer,,
1925-04-11,Tom Stuart,,
1925-04-13,Jimmy Jackson,,
1925-04-14,Jack Brown,,
1925-04-14,Tom Stuart,,
1925-04-18,Billy Fogg,,
1925-04-18,Stan Sayer,,
1925-04-22,Billy Fogg,,
1925-08-29,Billy Roberts,,
1925-08-29,Fred Marquis,,
1925-09-05,Billy Chalmers,,
1925-09-05,Vince Matthews,,
1925-09-12,Bob White,,
1925-09-12,Fred Marquis,,
1925-09-12,Vince Matthews,,
1925-09-19,Fred Marquis,,
1925-09-19,Fred Marquis,,
1925-09-26,Bob White,,
1925-09-26,Fred Marquis,,
1925-09-26,Fred Marquis,,
1925-10-17,Bob White,,
1925-10-17,Bob White,,
1925-10-17,Fred Marquis,,
1925-10-17,Norman Proctor,,
1925-10-17,Tom Stuart,,
1925-10-31,Bob White,,
1925-10-31,Fred Marquis,,
1925-11-07,Billy Chalmers,,
1925-11-14,Billy Chalmers,,
1925-11-14,Bob White,,
1925-11-21,Bob White,,
1925-11-21,Fred Marquis,,
1925-12-02,Norman Proctor,,
1925-12-05,Norman Proctor,,
1925-12-25,Billy Chalmers,,
1925-12-25,Fred Marquis,,
1925-12-25,Norman Proctor,,
1925-12-26,Fred Marquis,,
1925-12-26,Fred Marquis,,
1926-01-01,Fred Marquis,,
1926-01-01,Norman Proctor,,
1926-01-01,Sammy Beswick,,
1926-01-02,Billy Fogg,,
1926-01-09,Fred Marquis,,
1926-01-16,Bob White,,
1926-01-16,Norman Proctor,,
1926-01-23,Bob White,,
1926-01-23,Johnny Campbell,,
1926-02-06,Bob White,,
1926-02-06,Bob White,,
1926-02-20,Bert Cartman,,
1926-02-20,Sammy Beswick,,
1926-02-20,Sammy Beswick,,
1926-02-27,Bob White,,
1926-02-27,Tom Stuart,,
1926-03-06,Jimmy Moreton,,
1926-03-13,Billy Charlton,,
1926-03-13,Billy Charlton,,
1926-03-13,Fred Marquis,,
1926-03-20,Fred Marquis,,
1926-03-20,Fred Marquis,,
1926-03-27,Billy Charlton,,
1926-03-27,Fred Marquis,,
1926-04-02,Bert Cartman,,
1926-04-02,OG,,
1926-04-02,Tom Stuart,,
1926-04-03,Bert Cartman,,
1926-04-03,Fred Marquis,,
1926-04-03,Harry Littlehales,,
1926-04-03,Norman Proctor,,
1926-04-05,Fred Marquis,,
1926-04-05,Harry Littlehales,,
1926-04-05,Harry Littlehales,,
1926-04-06,Harry Littlehales,,
1926-04-17,Fred Marquis,,
1926-04-24,Fred Marquis,,
1926-04-24,Norman Proctor,,
1926-04-24,Norman Proctor,,
1926-05-01,Bob White,,
1926-05-01,Norman Proctor,,
1926-05-01,Norman Proctor,,
1926-05-01,Norman Proctor,,
1926-08-28,Bert Cartman,,
1926-08-28,Billy Charlton,,
1926-08-28,Fred Marquis,,
1926-08-30,Billy Charlton,,
1926-09-04,Billy Charlton,,
1926-09-04,Billy Charlton,,
1926-09-04,Fred Marquis,,
1926-09-04,Fred Marquis,,
1926-09-06,Bert Cartman,,
1926-09-06,Billy Charlton,,
1926-09-18,Bert Cartman,,
1926-09-18,Norman Proctor,,
1926-09-18,OG,,
1926-09-20,Harry Littlehales,,
1926-10-02,OG,,
1926-10-09,Billy Charlton,,
1926-10-16,Billy Charlton,,
1926-10-23,Billy Charlton,,
1926-10-23,Fred Marquis,,
1926-10-23,OG,,
1926-10-30,Fred Marquis,,
1926-11-06,Jack Flanagan,,
1926-11-06,Jack Flanagan,,
1926-11-06,Jack Flanagan,,
1926-11-13,Billy Charlton,,
1926-11-20,Jack Flanagan,,
1926-11-27,Fred Marquis,,
1926-12-02,Harry Littlehales,,
1926-12-04,Bert Cartman,,
1926-12-18,Ellis Rimmer,,
1926-12-18,Jack Flanagan,,
1926-12-25,Ellis Rimmer,,
1926-12-25,Fred Marquis,,
1926-12-25,Jack Flanagan,,
1926-12-27,Jack Flanagan,,
1926-12-27,Tommy Jones,,
1927-01-01,Ginger Lewis,,
1927-01-01,Jack Flanagan,,
1927-01-01,Jack Flanagan,,
1927-01-01,Jack Flanagan,,
1927-01-01,Jack Flanagan,,
1927-01-01,Jack Flanagan,,
1927-01-01,OG,,
1927-01-08,Jack Flanagan,,
1927-01-08,Tommy Jones,,
1927-01-15,Bob White,,
1927-01-15,Ellis Rimmer,,
1927-01-15,Jack Flanagan,,
1927-01-15,Jack Flanagan,,
1927-01-15,Norman Proctor,,
1927-01-15,Tommy Jones,,
1927-01-15,Tommy Jones,,
1927-01-15,Vince Matthews,,
1927-01-24,Ellis Rimmer,,
1927-01-29,Jack Flanagan,,
1927-02-05,Bob White,,
1927-02-05,Jack Flanagan,,
1927-02-05,Jack Flanagan,,
1927-02-12,Ellis Rimmer,,
1927-02-19,Jack Flanagan,,
1927-02-19,Tommy Jones,,
1927-02-26,Ellis Rimmer,,
1927-03-05,Bob White,,
1927-03-05,Fred Marquis,,
1927-03-05,Jack Flanagan,,
1927-03-19,Ellis Rimmer,,
1927-03-19,Jack Flanagan,,
