season,game_no,game_date,player_name,shirt_no,role,min_on,min_off
1965/66,2,1965-08-23,Mandy Hill,7,starter,,75.0
1965/66,2,1965-08-23,Jack Lornie,12,sub,75.0,
1965/66,14,1965-10-15,Eddie Stuart,5,starter,,82.0
1965/66,14,1965-10-15,Johnny King,12,sub,82.0,
1965/66,28,1966-01-08,Barry Dyson,9,starter,,73.0
1965/66,28,1966-01-08,Graham Stanley,12,sub,73.0,
1965/66,29,1966-01-14,Joe Pritchard,4,starter,,60.0
1965/66,29,1966-01-14,Jack Lornie,12,sub,60.0,
1965/66,44,1966-04-23,Jack Lornie,8,starter,,
1965/66,44,1966-04-23,Barrie Martin,12,sub,,
1966/67,2,1966-08-24,Jimmy Harris,12,sub,,
1966/67,2,1966-08-24,Roy Sinclair,11,starter,,
1966/67,6,1966-09-10,Barry Ashworth,4,starter,,
1966/67,6,1966-09-10,Roy Sinclair,12,sub,,
1966/67,8,1966-09-16,Stan Storton,5,starter,,
1966/67,8,1966-09-16,Barrie Martin,12,sub,,
1966/67,14,1966-10-14,Roy Parnell,2,starter,,
1966/67,14,1966-10-14,Stan Storton,12,sub,,
1966/67,15,1966-10-17,Kenny Beamish,10,starter,,
1966/67,15,1966-10-17,Roy Sinclair,12,sub,,
1966/67,16,1966-10-22,Barrie Martin,12,sub,,
1966/67,16,1966-10-22,Brian Westlake,9,starter,,
1966/67,24,1966-12-03,Mandy Hill,7,starter,,
1966/67,24,1966-12-03,Brian Westlake,12,sub,,
1966/67,27,1966-12-27,Barrie Martin,3,starter,,
1966/67,27,1966-12-27,Bruce Crawford,12,sub,,
1966/67,28,1966-12-30,Joe Pritchard,7,starter,,
1966/67,28,1966-12-30,Bruce Crawford,12,sub,,
1966/67,35,1967-02-17,Joe Pritchard,10,starter,,
1966/67,35,1967-02-17,Barrie Martin,12,sub,,
1966/67,38,1967-03-11,Roy Sinclair,12,sub,,
1966/67,38,1967-03-11,Alan King,6,starter,,
1966/67,40,1967-03-24,Joe Pritchard,10,starter,,
1966/67,40,1967-03-24,Dennis Stevens,12,sub,,
1966/67,52,1967-05-17,Mandy Hill,7,starter,,
1966/67,52,1967-05-17,Roy Sinclair,12,sub,,
1967/68,3,1967-08-25,Alan King,4,starter,,
1967/68,3,1967-08-25,Teddie Robertson,12,sub,,
1967/68,8,1967-09-16,George Yardley,9,starter,,
1967/68,8,1967-09-16,Dennis Stevens,12,sub,,
1967/68,12,1967-10-03,Johnny King,2,starter,,
1967/68,12,1967-10-03,Dennis Stevens,12,sub,,
1967/68,13,1967-10-07,Kenny Beamish,12,sub,,
1967/68,13,1967-10-07,Teddie Robertson,3,starter,,
1967/68,14,1967-10-13,John MacNamee,7,starter,,
1967/68,14,1967-10-13,George Hudson,12,sub,,
1967/68,16,1967-10-23,George Yardley,9,starter,,
1967/68,16,1967-10-23,Ray Pointon,12,sub,,
1967/68,19,1967-11-10,Stan Storton,2,starter,,
1967/68,19,1967-11-10,Roy Sinclair,12,sub,,
1967/68,20,1967-11-13,Joe Pritchard,4,starter,,
1967/68,20,1967-11-13,Dennis Stevens,12,sub,,
1967/68,21,1967-11-18,Mandy Hill,12,sub,,
1967/68,21,1967-11-18,Kenny Beamish,7,starter,,
1967/68,26,1967-12-23,Mandy Hill,7,starter,,
1967/68,26,1967-12-23,Teddie Robertson,12,sub,,
1967/68,30,1968-01-19,George Hudson,10,starter,,
1967/68,30,1968-01-19,John MacNamee,12,sub,,
1967/68,35,1968-02-21,Dennis Stevens,4,starter,,
1967/68,35,1968-02-21,Gerry Casey,12,sub,,
1967/68,36,1968-02-23,John MacNamee,7,starter,,
1967/68,36,1968-02-23,Kenny Beamish,12,sub,,
1967/68,38,1968-03-05,Gerry Casey,12,sub,,
1967/68,38,1968-03-05,George Yardley,9,starter,,
1967/68,39,1968-03-09,Gerry Casey,12,sub,,
1967/68,39,1968-03-09,George Hudson,9,starter,,
1967/68,40,1968-03-15,Joe Pritchard,9,starter,,
1967/68,40,1968-03-15,John MacNamee,12,sub,,
1967/68,41,1968-03-20,Alan King,6,starter,,
1967/68,41,1968-03-20,Gerry Casey,12,sub,,
1967/68,45,1968-04-06,John MacNamee,7,starter,,
1967/68,45,1968-04-06,Stan Storton,12,sub,,
1967/68,46,1968-04-12,Kenny Beamish,9,starter,,
1967/68,46,1968-04-12,Graham Williams,12,sub,,
1967/68,47,1968-04-13,Stan Storton,12,sub,,
1967/68,47,1968-04-13,Barrie Martin,3,starter,,
1967/68,54,1968-05-11,John MacNamee,7,starter,,
1967/68,54,1968-05-11,Johnny King,12,sub,,
1969/70,1,1969-08-09,Joe Pritchard,8,starter,,
1969/70,1,1969-08-09,Stan Storton,12,sub,,
1969/70,6,1969-08-30,Derek Smith,10,starter,,
1969/70,6,1969-08-30,Ray Mathias,12,sub,,
1969/70,10,1969-09-15,Derek Smith,10,starter,,
1969/70,10,1969-09-15,John MacNamee,12,sub,,
1969/70,14,1969-09-30,Dave Moorcroft,6,starter,,
1969/70,14,1969-09-30,Derek Smith,12,sub,,
1969/70,15,1969-10-04,Joe Pritchard,8,starter,,
1969/70,15,1969-10-04,George Scott,12,sub,,
1969/70,17,1969-10-11,Stan Storton,12,sub,,
1969/70,17,1969-10-11,Ray Pointon,2,starter,,
1969/70,18,1969-10-18,Tony Knapp,5,starter,,
1969/70,18,1969-10-18,Stan Storton,12,sub,,
1969/70,19,1969-10-25,George Yardley,9,starter,,
1969/70,19,1969-10-25,John MacNamee,12,sub,,
1969/70,23,1969-11-22,George Scott,8,starter,,
1969/70,23,1969-11-22,Joe Pritchard,12,sub,,
1969/70,24,1969-11-24,Joe Pritchard,8,starter,,
1969/70,24,1969-11-24,Trevor Storton,12,sub,,
1969/70,25,1969-11-29,John MacNamee,12,sub,,
1969/70,25,1969-11-29,Paul Crossley,11,starter,,
1969/70,26,1969-12-06,Stan Storton,2,starter,,
1969/70,26,1969-12-06,David Kennedy,12,sub,,
1969/70,28,1969-12-13,Paul Crossley,11,starter,,
1969/70,28,1969-12-13,Ray Pointon,12,sub,,
1969/70,29,1969-12-20,Derek Smith,9,starter,,
1969/70,29,1969-12-20,Dave Moorcroft,12,sub,,
1969/70,30,1969-12-26,David Kennedy,7,starter,,
1969/70,30,1969-12-26,Ray Mathias,12,sub,,
1969/70,34,1970-01-24,John MacNamee,11,starter,,
1969/70,34,1970-01-24,George Scott,12,sub,,
1969/70,35,1970-01-27,John MacNamee,12,sub,,
1969/70,35,1970-01-27,Eric Brodie,6,starter,,
1969/70,36,1970-01-31,George Yardley,9,starter,,
1969/70,36,1970-01-31,David Kennedy,12,sub,,
1969/70,37,1970-02-21,George Scott,8,starter,,
1969/70,37,1970-02-21,Joe Pritchard,12,sub,,
1969/70,38,1970-02-25,David Kennedy,7,starter,,
1969/70,38,1970-02-25,Ray Mathias,12,sub,,
1969/70,39,1970-02-28,George Scott,8,starter,,
1969/70,39,1970-02-28,Ray Mathias,12,sub,,
1969/70,41,1970-03-06,Jimmy Hinch,12,sub,,
1969/70,41,1970-03-06,Frank Gill,3,starter,,
1969/70,43,1970-03-16,Jimmy Hinch,12,sub,,
1969/70,43,1970-03-16,Derek Smith,10,starter,,
1969/70,45,1970-03-27,George Scott,8,starter,,
1969/70,45,1970-03-27,Ray Pointon,12,sub,,
1969/70,46,1970-03-28,George Yardley,9,starter,,
