season,squad_no,player_name
1999/00,1,John Achterberg
1999/00,2,Graham Allen
1999/00,3,Andy Thompson
1999/00,4,Wayne Allison
1999/00,5,Dave Challinor
1999/00,6,Clint Hill
1999/00,7,Alan Mahon
1999/00,8,Georges Santos
1999/00,9,David Kelly
1999/00,10,Scott Taylor
1999/00,11,Nick Henry
1999/00,12,Lee Jones
1999/00,13,Joe Murphy
1999/00,14,Andy Parkinson
1999/00,15,Gary Jones
1999/00,16,Alan Morgan
1999/00,17,Jason Koumas
1999/00,18,Stephen Frail
1999/00,19,Ryan Williams
1999/00,20,Richard Hinds
1999/00,21,Ian Sharps
1999/00,22,Neil Gibson
1999/00,23,Tommy Holmes
1999/00,24,Ian Joy
1999/00,24,Phil Babb
1999/00,25,Perry Taylor
1999/00,26,Peter Rogers
1999/00,27,Eric Nixon
1999/00,28,Andy Moran
1999/00,29,Michael Black
1999/00,30,Reuben Hazell
1999/00,31,Steve Yates
1999/00,32,Pedro Miguel Matias
1999/00,33,Gareth Roberts
1999/00,34,Tony Grant
1999/00,34,Iain Hume
1999/00,35,Paul Aldridge
1999/00,36,Alex Hay
2000/01,1,John Achterberg
2000/01,2,Steve Yates
2000/01,3,Gareth Roberts
2000/01,4,Wayne Allison
2000/01,5,Dave Challinor
2000/01,6,Clint Hill
2000/01,7,Wayne Gill
2000/01,8,Nick Henry
2000/01,9,Andy Parkinson
2000/01,10,Scott Taylor
2000/01,11,Stuart Barlow
2000/01,12,Alan Morgan
2000/01,13,Joe Murphy
2000/01,14,Reuben Hazell
2000/01,15,Graham Allen
2000/01,16,Jason Koumas
2000/01,17,Michael Black
2000/01,18,Richard Hinds
2000/01,19,Ian Sharps
2000/01,20,Paul Aldridge
2000/01,21,Alex Hay
2000/01,22,Iain Hume
2000/01,23,Eric Nixon
2000/01,24,Perry Taylor
2000/01,25,Paul Rideout
2000/01,26,Sean Flynn
2000/01,27,Des Hamilton
2000/01,28,Andy Ralph
2000/01,29,Thomas Myhre
2000/01,30,Danny Harrison
2000/01,31,Richard Jobson
2000/01,32,Micky Mellon
2000/01,33,Seyni N'Diaye
2000/01,34,Jeff Kenna
2000/01,35,Simon Osborn
2000/01,36,James Olsen
2001/02,1,Joe Murphy
2001/02,2,Steve Yates
2001/02,3,Gareth Roberts
2001/02,4,Graham Allen
2001/02,5,Dave Challinor
2001/02,6,Clint Hill
2001/02,7,Micky Mellon
2001/02,8,Jason Koumas
2001/02,9,Andy Parkinson
2001/02,10,Seyni N'Diaye
2001/02,10,Simon Haworth
2001/02,11,Stuart Barlow
2001/02,12,Alan Morgan
2001/02,13,John Achterberg
2001/02,14,Paul Rideout
2001/02,15,Wayne Allison
2001/02,16,Sean Flynn
2001/02,17,Wayne Gill
2001/02,18,Richard Jobson
2001/02,19,Richard Hinds
2001/02,20,Reuben Hazell
2001/02,21,Ian Sharps
2001/02,22,James Olsen
2001/02,23,Iain Hume
2001/02,24,Alex Hay
2001/02,25,Paul Aldridge
2001/02,26,Danny Harrison
2001/02,27,Phillip Baker
2001/02,28,Sean Thornton
2001/02,29,Thomas Dreves
2001/02,30,Andy Ralph
2001/02,31,Nick Henry
2001/02,32,Eric Nixon
2001/02,33,Ryan Taylor
2001/02,34,Jason Price
2001/02,35,Alan Navarro
2002/03,1,John Achterberg
2002/03,2,Graham Allen
2002/03,3,Gareth Roberts
2002/03,4,Micky Mellon
2002/03,5,Kevin Gray
2002/03,6,Ian Sharps
2002/03,7,Jason Price
2002/03,8,Jason Koumas
2002/03,9,Simon Haworth
2002/03,10,Alan Navarro
2002/03,11,Stuart Barlow
2002/03,12,Andy Parkinson
2002/03,13,Keith Welch
2002/03,13,Russell Howarth
2002/03,14,Richard Hinds
2002/03,15,Iain Hume
2002/03,16,Alex Hay
2002/03,17,James Olsen
2002/03,18,Danny Harrison
2002/03,19,Phillip Baker
2002/03,20,Ryan Taylor
2002/03,21,Jamie McGuire
2002/03,22,Paul Robinson
2002/03,23,Paul Linwood
2002/03,24,Karl Dunbar
2002/03,25,Shane Nicholson
2002/03,26,Sean Connelly
2002/03,27,Phil Palethorpe
2002/03,28,Tyrone Loran
2002/03,31,Pat McGibbon
2002/03,31,Phil Whitehead
2002/03,31,Andy Robinson
2002/03,32,Eric Nixon
2002/03,33,Ian Feuer
2002/03,33,Christian Edwards
2002/03,34,Gary Jones
2002/03,35,Tom Curtis
2002/03,35,Mike Jackson
2002/03,36,Adam Proudlock
2002/03,36,Iain Anderson
2002/03,37,Marvin Robinson
2003/04,1,John Achterberg
2003/04,2,Sean Connelly
2003/04,3,Gareth Roberts
2003/04,4,Graham Allen
2003/04,5,Ian Sharps
2003/04,6,Tyrone Loran
2003/04,7,Iain Hume
2003/04,8,Micky Mellon
2003/04,9,Simon Haworth
2003/04,10,Gary Jones
2003/04,11,Shane Nicholson
2003/04,12,Kevin Gray
2003/04,13,Russell Howarth
2003/04,14,Eugene Dadi
2003/04,15,Ryan Taylor
2003/04,16,Alan Navarro
2003/04,17,Alex Hay
2003/04,18,Danny Harrison
2003/04,19,James Olsen
2003/04,20,Jamie McGuire
2003/04,21,Paul Robinson
2003/04,22,Paul Linwood
2003/04,23,David Beresford
2003/04,25,Neil Ashton
2003/04,26,Steven Jennings
2003/04,27,Chris Dagnall
2003/04,28,Phil Palethorpe
2003/04,29,Carl Tremarco
2003/04,30,Ian Goodison
2003/04,31,Paul Hall
2003/04,39,Iffy Onuora
2004/05,1,John Achterberg
2004/05,2,Ryan Taylor
2004/05,3,Gareth Roberts
2004/05,4,Mike Jackson
2004/05,5,Ian Sharps
2004/05,6,Tyrone Loran
2004/05,7,Iain Hume
2004/05,8,Mark Rankine
2004/05,9,Simon Haworth
2004/05,10,Gary Jones
2004/05,11,Paul Hall
2004/05,12,Calvin Zola
2004/05,13,Russell Howarth
2004/05,14,Eugene Dadi
2004/05,15,Ian Goodison
2004/05,16,Theodore Whitmore
2004/05,17,Paul Linwood
2004/05,18,Danny Harrison
2004/05,19,Steven Jennings
2004/05,20,David Beresford
2004/05,21,Chris Dagnall
2004/05,22,Neil Ashton
2004/05,23,Carl Tremarco
2004/05,24,Alan Navarro
2004/05,25,Paul Robinson
2004/05,26,Paul Brown
2004/05,27,Oliver James
2004/05,28,Ged Scott
2004/05,29,Phil Palethorpe
2004/05,30,James Vaughan
2004/05,31,Paul Martin
2004/05,34,Jason McAteer
2005/06,1,John Achterberg
2005/06,2,Alex Bruce
2005/06,2,Simon Francis
2005/06,3,Gareth Roberts
2005/06,4,Mike Jackson
2005/06,5,Ian Sharps
2005/06,6,Jason McAteer
2005/06,7,Iain Hume
2005/06,7,Nicky Summerbee
2005/06,8,Mark Rankine
2005/06,9,Calvin Zola
2005/06,10,Chris Greenacre
2005/06,11,Sam Aiston
2005/06,12,Steven Jennings
2005/06,13,Steve Wilson
2005/06,14,Eugene Dadi
2005/06,14,Delroy Facey
2005/06,15,Ian Goodison
2005/06,16,Theodore Whitmore
2005/06,17,Paul Linwood
2005/06,18,Danny Harrison
2005/06,19,Stephen O'Leary
2005/06,20,Carl Tremarco
2005/06,21,Chris Dagnall
2005/06,22,Paul Brown
2005/06,23,Oliver James
2005/06,24,Paul Martin
2005/06,25,Joe Fowler
2005/06,26,James Vaughan
2005/06,27,Phil Palethorpe
2005/06,28,Steve Davies
2005/06,29,Paul Henry
2005/06,30,Dino Seremet
2005/06,31,David Raven
2005/06,32,Matt Murray
2005/06,33,Mike Jones
2006/07,1,Gavin Ward
2006/07,2,Robbie Stockdale
2006/07,3,Carl Tremarco
2006/07,4,Paul McLaren
2006/07,5,Shane Cansdell-Sherriff
2006/07,6,Jason McAteer
2006/07,7,John Mullin
2006/07,8,Calvin Zola
2006/07,9,Gareth Taylor
2006/07,10,Chris Greenacre
2006/07,11,Kevin Ellison
2006/07,12,Steven Jennings
2006/07,13,Ben Hinchliffe
2006/07,14,John Thompson
2006/07,15,Ian Goodison
2006/07,16,Chris McCready
2006/07,17,Oliver James
