Beswick,Bradshaw,Campbell,Cook,Crowther,Evans,Gill,Halstead,Hawarden,Hayes C,Hayes F,Hilton,Kimberley,Leary,Lomax,Moreton,Phillips,Rainford,Ratcliffe,Robinson J,Sayer,Sewell,Sharkey,Stuart,Sugden,Thompson
,1.0,4.0,,,11.0,,,10.0,,,,,,,7.0,5.0,,9.0,,,6.0,8.0,3.0,,2.0
,1.0,4.0,,,11.0,,,,,,10.0,9.0,,,7.0,5.0,,,,,6.0,8.0,3.0,,2.0
,1.0,4.0,,,11.0,,,,,,10.0,9.0,,,7.0,5.0,,,,,6.0,8.0,3.0,,2.0
,1.0,4.0,,,11.0,,,,,,10.0,,,,7.0,5.0,9.0,,,,6.0,8.0,3.0,,2.0
,1.0,4.0,,,11.0,,,,,,10.0,,,,7.0,5.0,9.0,,,,6.0,8.0,3.0,,2.0
,1.0,4.0,7.0,,11.0,,,,,,10.0,,,,,5.0,9.0,,,,6.0,8.0,3.0,,2.0
,1.0,4.0,,,11.0,,,,,,10.0,,,,7.0,5.0,9.0,,,,6.0,8.0,3.0,,2.0
,1.0,4.0,,,11.0,,,,,,10.0,,,,7.0,5.0,9.0,,,,6.0,8.0,3.0,,2.0
,1.0,4.0,,,11.0,,,,,10.0,,,,,7.0,5.0,9.0,,,,6.0,8.0,3.0,2.0,
,,4.0,,,11.0,1.0,,,,9.0,10.0,,,,7.0,5.0,,,,,6.0,8.0,3.0,,2.0
,,4.0,,,11.0,1.0,,,,10.0,8.0,,,,7.0,5.0,,,,,6.0,9.0,3.0,,2.0
,,4.0,,,11.0,1.0,,,,6.0,8.0,,,,7.0,,,,10.0,,5.0,9.0,3.0,,2.0
,,4.0,,,11.0,1.0,,,,,,,,,7.0,5.0,8.0,,10.0,,6.0,9.0,3.0,,2.0
,,4.0,,,11.0,1.0,,,,,10.0,,5.0,,7.0,,,,9.0,,6.0,8.0,3.0,,2.0
,,4.0,,,11.0,1.0,,6.0,,,10.0,,,,7.0,,,9.0,,,5.0,8.0,3.0,,2.0
9.0,,4.0,,,11.0,1.0,,6.0,,,10.0,,,,7.0,,,,,,5.0,8.0,3.0,,2.0
9.0,,4.0,,,11.0,1.0,,6.0,,,10.0,,,,7.0,,,,,,5.0,8.0,3.0,,2.0
9.0,,4.0,,,11.0,1.0,,6.0,,10.0,,,,,7.0,,,,,,5.0,8.0,3.0,,2.0
9.0,,4.0,,,11.0,1.0,,6.0,,10.0,,,,,7.0,,,,,,5.0,8.0,3.0,,2.0
9.0,,4.0,,,11.0,1.0,,6.0,,10.0,,,,,7.0,,,,,,5.0,8.0,3.0,,2.0
9.0,,4.0,,,11.0,1.0,,6.0,,,10.0,,,,7.0,,,,,,5.0,8.0,3.0,,2.0
9.0,,4.0,,,,1.0,,,,,10.0,,,,7.0,6.0,,,11.0,,5.0,8.0,3.0,,2.0
8.0,,4.0,,9.0,11.0,1.0,,,,,10.0,,,,7.0,6.0,,,,,5.0,,3.0,,2.0
8.0,,4.0,,9.0,11.0,1.0,,,,,10.0,,,,7.0,6.0,,,,,5.0,,3.0,,2.0
8.0,,4.0,,9.0,11.0,1.0,,,,,10.0,,,,7.0,6.0,,,,,5.0,,3.0,,2.0
8.0,,4.0,,9.0,11.0,1.0,,,2.0,,10.0,,,,7.0,6.0,,,,,5.0,,3.0,,
8.0,,4.0,,9.0,11.0,1.0,,,,,10.0,,,,7.0,6.0,,,,,5.0,,3.0,,2.0
8.0,1.0,4.0,,9.0,11.0,,,6.0,,,10.0,,,,7.0,5.0,,,,,,,3.0,,2.0
8.0,1.0,4.0,,9.0,11.0,,,6.0,,,10.0,,,,7.0,,,,,,5.0,,3.0,,2.0
8.0,1.0,4.0,,9.0,11.0,,5.0,10.0,,,,,,,7.0,,,,,,6.0,,3.0,,2.0
8.0,1.0,4.0,,9.0,11.0,,5.0,6.0,,,10.0,,,,7.0,,,,,,,,3.0,,2.0
,1.0,4.0,7.0,9.0,11.0,,5.0,,,,10.0,,,,,,,,,8.0,6.0,,3.0,,2.0
8.0,1.0,4.0,,,11.0,,5.0,,,,,,,10.0,7.0,,,,,9.0,6.0,,3.0,,2.0
8.0,1.0,4.0,,,11.0,,5.0,,,,,,,10.0,7.0,,,,,9.0,6.0,,3.0,,2.0
8.0,1.0,4.0,,,11.0,,5.0,,,,,,,10.0,7.0,,,,,9.0,6.0,,3.0,,2.0
8.0,1.0,4.0,,,11.0,,5.0,6.0,,,,,,10.0,7.0,,,,,9.0,,,3.0,,2.0
8.0,1.0,,,,11.0,,5.0,6.0,,,4.0,,,10.0,7.0,,,,,9.0,,,3.0,,2.0
8.0,1.0,4.0,7.0,,11.0,,,6.0,,,10.0,,,,,,,,,9.0,5.0,,3.0,,2.0
,1.0,4.0,,,,,5.0,11.0,2.0,10.0,,,,,7.0,,,,,9.0,6.0,8.0,3.0,,
