Barton,Beswick,Briggs,Campbell,Cartman,Chalmers,Charlton,Davis,Fogg,Jackson G,Johnson,Leslie,Lewis,Littlehales,Marquis,Matthews,McGrae,Moreton,Proctor,Roberts,Smith,Stuart,Thirkell,White
,,1.0,,,11.0,,2.0,,,,4.0,,,9.0,5.0,6.0,,10.0,8.0,,,3.0,7.0
,,1.0,,,11.0,,2.0,,,,4.0,,,9.0,5.0,6.0,,10.0,8.0,,,3.0,7.0
,,1.0,,,11.0,,2.0,,,,4.0,,,9.0,5.0,6.0,,10.0,8.0,,,3.0,7.0
,,1.0,,,11.0,,2.0,,,,4.0,,,9.0,5.0,6.0,,10.0,8.0,,,3.0,7.0
,,1.0,,,11.0,,,,2.0,,4.0,,8.0,9.0,5.0,6.0,,10.0,,,,3.0,7.0
,,1.0,,,11.0,,2.0,,,,4.0,,,9.0,5.0,6.0,,10.0,8.0,,,3.0,7.0
,,1.0,,,11.0,,,,2.0,,4.0,,8.0,9.0,5.0,,,10.0,,6.0,,3.0,7.0
,,1.0,,,11.0,,,,2.0,,4.0,,,9.0,5.0,6.0,,10.0,8.0,,,3.0,7.0
,,1.0,,,11.0,,,,2.0,,4.0,,8.0,9.0,5.0,6.0,,10.0,,,,3.0,7.0
,,1.0,,,11.0,,,,,9.0,4.0,,10.0,8.0,5.0,,,,,6.0,2.0,3.0,7.0
,,1.0,,,11.0,,,,,,4.0,,,8.0,5.0,,7.0,10.0,,6.0,2.0,3.0,9.0
,,1.0,,,11.0,,,,,,4.0,,,8.0,5.0,,7.0,10.0,,6.0,2.0,3.0,9.0
,,1.0,,,11.0,,,,,,4.0,,,8.0,5.0,,7.0,10.0,,6.0,2.0,3.0,9.0
,,1.0,,,11.0,,,,,,4.0,,,8.0,5.0,,7.0,10.0,,6.0,2.0,3.0,9.0
,,1.0,6.0,,11.0,,,,,,,,,8.0,5.0,,7.0,10.0,,4.0,2.0,3.0,9.0
,,1.0,6.0,7.0,11.0,,,,,,,,,8.0,5.0,,,10.0,,4.0,2.0,3.0,9.0
,,1.0,6.0,,11.0,,,,,,,,,8.0,5.0,,7.0,10.0,,4.0,2.0,3.0,9.0
,,1.0,6.0,,11.0,,,,,,,,,8.0,5.0,,7.0,10.0,,4.0,2.0,3.0,9.0
,,1.0,6.0,7.0,11.0,,,8.0,,,,,9.0,,5.0,,,10.0,,4.0,2.0,3.0,
,,1.0,6.0,,11.0,,,,,,,,9.0,8.0,5.0,,7.0,10.0,,4.0,2.0,3.0,
,,1.0,6.0,,11.0,,,8.0,,,,,,9.0,5.0,,7.0,10.0,,4.0,2.0,3.0,
,,1.0,6.0,,11.0,,,8.0,,,,,,9.0,5.0,,7.0,10.0,,4.0,2.0,3.0,
,8.0,1.0,6.0,,11.0,,,,,,,,,9.0,5.0,,7.0,10.0,,4.0,2.0,3.0,
,,1.0,,11.0,,,,8.0,,4.0,,,,9.0,5.0,,7.0,10.0,,6.0,2.0,3.0,
,,1.0,6.0,11.0,,,,8.0,,,,,10.0,9.0,5.0,,7.0,,,4.0,2.0,3.0,
,,1.0,6.0,7.0,11.0,,,,,,,,,8.0,5.0,,,10.0,,4.0,2.0,3.0,9.0
,,1.0,6.0,11.0,,,,,,,,,,8.0,5.0,,7.0,10.0,,4.0,2.0,3.0,9.0
,,1.0,6.0,11.0,,,,,,,,,,8.0,5.0,,7.0,10.0,,4.0,2.0,3.0,9.0
,,1.0,6.0,11.0,,,,,,,,,,8.0,5.0,,7.0,10.0,,4.0,2.0,3.0,9.0
4.0,9.0,1.0,,11.0,,,,,,,,,,8.0,5.0,,,10.0,,6.0,2.0,3.0,7.0
4.0,,1.0,6.0,11.0,,,,,,,,,,8.0,5.0,,7.0,10.0,,,2.0,3.0,9.0
,,1.0,6.0,11.0,,,,,,,,,,8.0,5.0,,7.0,10.0,,4.0,2.0,3.0,9.0
,,1.0,6.0,11.0,,9.0,,,,,,,,8.0,5.0,,7.0,10.0,,4.0,2.0,3.0,
,,1.0,4.0,11.0,,9.0,,,,,,6.0,,8.0,5.0,,7.0,10.0,,,2.0,3.0,
,,1.0,4.0,11.0,,9.0,,,,,,6.0,,8.0,5.0,,7.0,10.0,,,2.0,3.0,
,,1.0,4.0,11.0,,9.0,,,,,,6.0,,8.0,5.0,,7.0,10.0,,,2.0,3.0,
,,1.0,4.0,11.0,,,,,,,,6.0,9.0,8.0,5.0,,7.0,10.0,,,2.0,3.0,
,,1.0,4.0,11.0,,,,,,,,6.0,9.0,8.0,5.0,,7.0,10.0,,,2.0,3.0,
,,1.0,4.0,,11.0,,,,,,,6.0,9.0,8.0,5.0,,7.0,10.0,,,2.0,3.0,
,,1.0,4.0,11.0,,9.0,,,,,,6.0,,8.0,5.0,,7.0,10.0,,,2.0,3.0,
,,1.0,,11.0,,,,,,,,6.0,9.0,8.0,5.0,,,10.0,,4.0,2.0,3.0,7.0
,,1.0,4.0,11.0,,,,,,,,6.0,9.0,8.0,5.0,,7.0,10.0,,,2.0,3.0,
,,1.0,4.0,11.0,,,,,,,,6.0,,8.0,5.0,,7.0,10.0,,,2.0,3.0,9.0
,,1.0,4.0,11.0,,,,,,,,6.0,,8.0,5.0,,7.0,10.0,,,2.0,3.0,9.0
