Adams,Bamber,Barton,Bowen,Briggs,Burrows,Campbell,Cartman,Charlton,Cropper,Jackson A,Jackson G,Lewis,Littlehales,Meston,Naylor,Ridding,Thirkell,Urmson,Waterston,Watts
,,4.0,,1.0,,,,8.0,10.0,5.0,,6.0,,7.0,2.0,,3.0,11.0,9.0,
7.0,,4.0,,,1.0,,11.0,8.0,10.0,5.0,,6.0,,,2.0,,3.0,,9.0,
,,4.0,,,1.0,,11.0,8.0,10.0,5.0,,6.0,,7.0,2.0,,3.0,,9.0,
,,,,,1.0,4.0,11.0,8.0,10.0,5.0,,6.0,,7.0,2.0,,3.0,,9.0,
,,,,,1.0,4.0,11.0,8.0,10.0,5.0,,6.0,,7.0,2.0,,3.0,,9.0,
,5.0,,,,1.0,,11.0,8.0,10.0,,,6.0,4.0,7.0,2.0,,3.0,,9.0,
,5.0,,,,1.0,4.0,11.0,8.0,10.0,,,6.0,,7.0,2.0,,3.0,,9.0,
,5.0,,,,1.0,4.0,11.0,8.0,10.0,,,6.0,,7.0,2.0,,3.0,,9.0,
,,4.0,,,1.0,5.0,7.0,8.0,10.0,,,6.0,,,2.0,,3.0,11.0,9.0,
,5.0,4.0,,,1.0,,7.0,8.0,10.0,,,6.0,,,2.0,,3.0,11.0,9.0,
,5.0,4.0,,,1.0,,7.0,8.0,10.0,,3.0,6.0,,,2.0,,,11.0,9.0,
,5.0,4.0,,,1.0,,7.0,8.0,10.0,,3.0,6.0,,,2.0,,,11.0,9.0,
,5.0,4.0,,,1.0,,11.0,8.0,10.0,,3.0,6.0,,7.0,2.0,,,,9.0,
,5.0,4.0,,,1.0,,11.0,8.0,,,3.0,6.0,,7.0,2.0,9.0,,,10.0,
,5.0,4.0,,1.0,,,11.0,8.0,,,3.0,6.0,,7.0,2.0,9.0,,,10.0,
,,4.0,,1.0,,,11.0,8.0,,5.0,3.0,6.0,,7.0,2.0,9.0,,,10.0,
,,4.0,,1.0,,,11.0,8.0,,5.0,3.0,6.0,,7.0,2.0,9.0,,,10.0,
,,4.0,,1.0,,,11.0,8.0,,5.0,3.0,6.0,,7.0,2.0,9.0,,,10.0,
,,4.0,,1.0,,,7.0,8.0,,5.0,3.0,6.0,,,2.0,9.0,,11.0,10.0,
,5.0,4.0,,1.0,,,7.0,8.0,,,3.0,6.0,,,2.0,9.0,,11.0,10.0,
,5.0,4.0,,1.0,,,7.0,8.0,,,3.0,6.0,10.0,,2.0,9.0,,11.0,,
,5.0,4.0,,1.0,,,7.0,8.0,,,3.0,6.0,10.0,,2.0,9.0,,11.0,,
,5.0,4.0,,1.0,,,7.0,8.0,10.0,,3.0,6.0,,,2.0,,,11.0,9.0,
,5.0,4.0,,1.0,,,7.0,8.0,10.0,,3.0,6.0,,,2.0,,,11.0,9.0,
,5.0,4.0,,1.0,,,7.0,8.0,10.0,,3.0,6.0,,,2.0,,,11.0,9.0,
,5.0,4.0,,1.0,,,7.0,8.0,10.0,,3.0,6.0,,,2.0,,,11.0,9.0,
,5.0,4.0,,1.0,,,7.0,8.0,,,3.0,6.0,10.0,,2.0,,,11.0,9.0,
,5.0,4.0,,1.0,,,7.0,8.0,10.0,,3.0,6.0,,,2.0,9.0,,11.0,,
,5.0,4.0,,,1.0,,11.0,8.0,,,3.0,6.0,,7.0,2.0,9.0,,10.0,,
,5.0,4.0,,,1.0,,11.0,8.0,,,3.0,6.0,,7.0,2.0,9.0,,10.0,,
,5.0,4.0,,,1.0,,11.0,8.0,,,3.0,6.0,,7.0,2.0,9.0,,10.0,,
,5.0,4.0,,,1.0,,11.0,8.0,,,,6.0,,7.0,2.0,9.0,3.0,10.0,,
,5.0,4.0,,,1.0,,11.0,8.0,,,,,6.0,7.0,2.0,9.0,3.0,10.0,,
,5.0,4.0,,,1.0,,11.0,8.0,,,3.0,,6.0,7.0,2.0,,,10.0,9.0,
,5.0,4.0,,,1.0,,11.0,8.0,,,,,6.0,7.0,2.0,,3.0,10.0,9.0,
,5.0,4.0,,,1.0,,11.0,8.0,,,,,6.0,7.0,2.0,,3.0,10.0,9.0,
,5.0,4.0,,,1.0,,11.0,8.0,,,,,6.0,7.0,2.0,,3.0,10.0,9.0,
,5.0,4.0,,,1.0,,11.0,8.0,,,,,6.0,7.0,2.0,,3.0,10.0,9.0,
,5.0,4.0,,,1.0,,11.0,8.0,,,,,6.0,7.0,2.0,,3.0,10.0,9.0,
,5.0,4.0,9.0,,1.0,,11.0,8.0,,,,,6.0,7.0,2.0,,3.0,10.0,,
,5.0,,,,1.0,4.0,11.0,8.0,,,3.0,,6.0,7.0,2.0,,,10.0,9.0,
,5.0,,9.0,,1.0,4.0,11.0,8.0,,,3.0,,6.0,7.0,2.0,,,10.0,,
,5.0,,9.0,,1.0,,11.0,,,,3.0,6.0,4.0,7.0,2.0,,,10.0,,8.0
,5.0,,,,1.0,,11.0,9.0,,,3.0,6.0,4.0,7.0,2.0,,,10.0,,8.0
