Barton,Bell,Briggs,Burrows,Conner,Crutchley,Dixon,Fishwick,Kennedy A,Kennedy J,Lewins,Lewis,Littlehales,Livingstone,Meston,Moore,Murphy,Naylor,Sharp,Shears,Spence,Urmson,Watts
,,,1.0,,,9.0,,3.0,10.0,,,6.0,2.0,7.0,5.0,,,,4.0,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,10.0,,,6.0,2.0,7.0,5.0,,,,,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,10.0,,,6.0,2.0,7.0,5.0,,,,,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,5.0,,,,,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,8.0,,6.0,,2.0,7.0,,11.0,,,,,10.0,5.0
4.0,,,1.0,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,,1.0,,,9.0,,,10.0,,6.0,,2.0,7.0,,,3.0,,5.0,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,,1.0,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,1.0,,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,1.0,,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,9.0,1.0,,,,,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,1.0,,,,9.0,,,10.0,,6.0,,2.0,7.0,,,,5.0,3.0,,11.0,8.0
4.0,,1.0,,,,9.0,,,10.0,,6.0,,2.0,7.0,,,,5.0,3.0,,11.0,8.0
4.0,,1.0,,,,9.0,,,10.0,,6.0,,2.0,7.0,,,3.0,5.0,,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,2.0,7.0,,,3.0,,,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,2.0,7.0,,,3.0,,,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,3.0,7.0,,,,,,2.0,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,2.0,7.0,,,3.0,,,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,2.0,7.0,,,,,3.0,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,2.0,7.0,,,,,3.0,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,2.0,7.0,,,,,3.0,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,2.0,7.0,,,,,3.0,,11.0,8.0
4.0,,1.0,,,,9.0,,,10.0,,6.0,,2.0,7.0,,,,,3.0,5.0,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,2.0,7.0,,,,,3.0,,11.0,8.0
4.0,,1.0,,2.0,,9.0,,5.0,10.0,,6.0,,3.0,7.0,,,,,,,11.0,8.0
4.0,,1.0,,2.0,,9.0,,5.0,10.0,,6.0,,3.0,7.0,,,,,,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,3.0,7.0,,,,,2.0,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,3.0,7.0,,,,,2.0,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,3.0,7.0,,,,,2.0,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,,6.0,,3.0,7.0,,,,,2.0,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,2.0,6.0,,3.0,7.0,,,,,,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,2.0,6.0,,3.0,7.0,,,,,,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,2.0,6.0,,3.0,7.0,,,,,,,11.0,8.0
4.0,,1.0,,,,9.0,,5.0,10.0,2.0,6.0,,3.0,7.0,,,,,,,11.0,8.0
4.0,,1.0,,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,11.0,,,5.0,,,8.0
4.0,,1.0,,,,9.0,,3.0,10.0,,6.0,,2.0,7.0,,,,,5.0,,11.0,8.0
4.0,,,1.0,,2.0,9.0,10.0,,,,6.0,,3.0,7.0,,11.0,,,5.0,,,8.0
