Adams A,Barton,Bell,Carvell,Chiverton,Dixon,Fishwick,Forshaw,Gray,Hill,Jones,Lewis C,Lewis J,Livingstone,McMurray,Pearson,Platt,Roberts,Roper,Spencer E,Spencer R,Temple,Tong,Urmson,Watts,Whitehurst
,4.0,9.0,,,5.0,8.0,,1.0,,3.0,,,2.0,,7.0,,,,,6.0,,,11.0,,10.0
,4.0,9.0,,,,,,1.0,,3.0,,,2.0,,7.0,,,,10.0,6.0,,,11.0,8.0,5.0
,4.0,9.0,3.0,,,8.0,,1.0,,,,,2.0,,7.0,,,,10.0,6.0,,,11.0,,5.0
,4.0,9.0,3.0,,,8.0,,1.0,,,,,2.0,,7.0,,,,10.0,6.0,,,11.0,,5.0
,4.0,9.0,3.0,,,8.0,,1.0,,,,,2.0,,7.0,,,,10.0,6.0,,,11.0,,5.0
,4.0,9.0,,,,10.0,,1.0,,,,,2.0,,7.0,,3.0,,,6.0,,,11.0,8.0,5.0
7.0,4.0,9.0,,,,10.0,,1.0,,,,,2.0,,,,3.0,,,6.0,,,11.0,8.0,5.0
,4.0,9.0,3.0,,,5.0,,1.0,,,,,,7.0,,2.0,,,,6.0,,,11.0,8.0,10.0
,4.0,9.0,3.0,,,5.0,,1.0,,,,,,7.0,,2.0,,,,6.0,,,11.0,8.0,10.0
,4.0,9.0,,,,5.0,,1.0,,,,3.0,,7.0,,2.0,,,,6.0,,,11.0,8.0,10.0
,4.0,9.0,,,,5.0,,1.0,,,,3.0,,7.0,,2.0,,,,6.0,,,11.0,8.0,10.0
,4.0,9.0,,,,5.0,,1.0,,,,3.0,,7.0,,2.0,,,,6.0,,,11.0,8.0,10.0
,4.0,9.0,2.0,,,5.0,,1.0,,,,3.0,,7.0,,,,,,6.0,,,11.0,8.0,10.0
,4.0,9.0,,,,5.0,,1.0,,,,3.0,,7.0,,2.0,,,,6.0,,,11.0,8.0,10.0
,4.0,,,,9.0,5.0,,1.0,,,,3.0,,7.0,,2.0,,,,6.0,,,11.0,8.0,10.0
,4.0,,,,9.0,5.0,,1.0,,,,3.0,,7.0,,2.0,,,,6.0,,,11.0,8.0,10.0
,4.0,,,,9.0,5.0,,1.0,,,,3.0,,7.0,,2.0,,,,6.0,,,11.0,8.0,10.0
,4.0,,,,9.0,5.0,,1.0,,,,3.0,,7.0,,2.0,,,,6.0,,,11.0,8.0,10.0
,4.0,,,,9.0,5.0,,1.0,,,,3.0,2.0,7.0,,,,,,6.0,,,11.0,8.0,10.0
,,,2.0,4.0,9.0,5.0,,1.0,,,,3.0,,7.0,,,,,10.0,6.0,,,11.0,8.0,
,4.0,,,,9.0,5.0,,1.0,,,,3.0,,,,2.0,,,7.0,6.0,,,11.0,8.0,10.0
