Barton,Bell,Brown,Dawson,Dodd,Fishwick,Glasper,Gray,Hunt,Lewis,Mackay,Meacock,Pearson,Pennington,Platt,Roper,Spencer E,Spencer R,Thomas,Tong,Urmson,Warren,Watson,Watts,Whitehurst,Woodward
4.0,,,3.0,,5.0,,1.0,,,7.0,,,,2.0,,,6.0,,,11.0,,,8.0,9.0,10.0
4.0,,,3.0,,5.0,,1.0,,,7.0,,,,2.0,,,6.0,,,11.0,,,8.0,9.0,10.0
4.0,,,3.0,,5.0,,1.0,,,7.0,,,,2.0,,,6.0,,,11.0,,,8.0,9.0,10.0
4.0,,,3.0,,5.0,,1.0,,,7.0,,,,2.0,,,6.0,,,11.0,,,8.0,9.0,10.0
4.0,,,3.0,,5.0,,1.0,,,7.0,,,,2.0,,,6.0,,,11.0,,,8.0,9.0,10.0
4.0,,,3.0,,5.0,,1.0,,,7.0,,,,2.0,,,6.0,,,11.0,,,8.0,9.0,10.0
4.0,,,3.0,,5.0,,1.0,,,7.0,,,,2.0,,,6.0,,,11.0,,,8.0,9.0,10.0
4.0,9.0,,3.0,,5.0,,1.0,,,,,7.0,,2.0,,,6.0,,,11.0,,,8.0,,10.0
4.0,9.0,,3.0,,5.0,,1.0,,,,,7.0,,2.0,,,6.0,,,11.0,,,8.0,,10.0
4.0,9.0,,3.0,,5.0,,1.0,,,,8.0,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,,3.0,,5.0,,1.0,,,,8.0,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,,3.0,,5.0,,1.0,,,,8.0,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,,3.0,,5.0,10.0,1.0,,,,8.0,7.0,,2.0,,,6.0,,,11.0,,,,,
4.0,9.0,,3.0,,5.0,,1.0,,,,8.0,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,,3.0,,5.0,,1.0,,,,8.0,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,,3.0,,5.0,,1.0,,,,8.0,7.0,,2.0,,10.0,6.0,,,11.0,,,,,
4.0,9.0,,3.0,,5.0,,1.0,,,,8.0,7.0,,2.0,,10.0,6.0,,,11.0,,,,,
4.0,9.0,,3.0,,,,1.0,,,,8.0,7.0,,2.0,,,6.0,5.0,,11.0,,,,,10.0
4.0,9.0,,3.0,,,,1.0,,,,8.0,7.0,,2.0,,,6.0,5.0,,11.0,,,,,10.0
4.0,9.0,,3.0,,5.0,,1.0,,,,8.0,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,,3.0,,5.0,,1.0,,,,8.0,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,,3.0,,5.0,,1.0,,,,10.0,7.0,,2.0,,,6.0,,,11.0,,,8.0,,
4.0,9.0,,3.0,,5.0,,1.0,,,,8.0,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,,3.0,,5.0,,1.0,,,,,7.0,,2.0,,,6.0,,,11.0,,,8.0,,10.0
4.0,9.0,,3.0,,5.0,,1.0,7.0,,,,,,2.0,,,6.0,,,11.0,,,8.0,,10.0
4.0,,,2.0,,5.0,10.0,1.0,7.0,3.0,,,,,,,,6.0,,,11.0,,,8.0,,9.0
4.0,9.0,,2.0,,5.0,,1.0,7.0,3.0,,8.0,,,,,,6.0,,,11.0,,,,,10.0
,9.0,,3.0,,,4.0,1.0,7.0,,,8.0,,,2.0,,,6.0,5.0,,11.0,,,,,10.0
,9.0,,2.0,,,,1.0,7.0,3.0,,4.0,,,,,,6.0,5.0,,11.0,,,8.0,,10.0
4.0,9.0,,,2.0,,6.0,1.0,7.0,,,8.0,,,3.0,,,,5.0,,11.0,,,,,10.0
4.0,9.0,,3.0,2.0,5.0,6.0,1.0,7.0,,,,,,,,8.0,,,,11.0,,,,,10.0
4.0,9.0,,3.0,,5.0,8.0,1.0,7.0,,,,,10.0,2.0,,,6.0,,,11.0,,,,,
4.0,9.0,,3.0,,,6.0,1.0,7.0,,,,,,2.0,,,,5.0,,11.0,,,8.0,,10.0
,9.0,,3.0,,,,,,,,4.0,7.0,10.0,2.0,1.0,,6.0,,,11.0,,5.0,,,8.0
4.0,9.0,8.0,3.0,,,,1.0,,,,,7.0,,2.0,,,6.0,,,11.0,,5.0,,,10.0
4.0,9.0,8.0,3.0,,5.0,6.0,1.0,,,,,7.0,,2.0,,,,,,11.0,,,,,10.0
4.0,9.0,8.0,3.0,,5.0,,1.0,,,,,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,8.0,3.0,,5.0,,1.0,,,,,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,8.0,3.0,,5.0,,1.0,,,,,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,8.0,,,,,1.0,,,,5.0,7.0,,2.0,,,6.0,,,11.0,3.0,,,,10.0
4.0,9.0,8.0,3.0,,,,1.0,,,,5.0,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,8.0,3.0,,,,1.0,,,,5.0,7.0,,2.0,,,6.0,,,11.0,,,,,10.0
4.0,9.0,8.0,3.0,,,,1.0,,,,5.0,,,2.0,,,6.0,,7.0,11.0,,,,,10.0
4.0,9.0,8.0,3.0,,,,1.0,,,,5.0,,,2.0,,,6.0,,7.0,11.0,,10.0,,,
4.0,9.0,7.0,3.0,,,8.0,1.0,,,,5.0,,,2.0,,,6.0,,11.0,10.0,,,,,
4.0,9.0,8.0,,,,10.0,1.0,,,,5.0,7.0,,3.0,,,6.0,2.0,,11.0,,,,,
