Alcock,Amery,Baker,Bell,Bradshaw,Clark,Crompton,Curtis,Dawson,Dellow,Dodd,Eden,Fairhurst,Gray,Hopkinson,MacDonald,Major,McLaren,Miller,Newton,Owen,Platt,Poskett,Ridding,Spencer R,Urmson,Watson,Woodward
,,,,,,,,,,,7.0,3.0,1.0,6.0,8.0,,4.0,,5.0,,2.0,,9.0,,11.0,,10.0
,,,9.0,,,,,,,,7.0,3.0,1.0,6.0,8.0,,4.0,,5.0,,2.0,,,,11.0,,10.0
,,,9.0,,,,4.0,,,,7.0,3.0,1.0,6.0,8.0,,5.0,,,,2.0,,,,11.0,,10.0
,,,9.0,,,,4.0,,,,7.0,3.0,1.0,6.0,8.0,,5.0,,,,2.0,,,,11.0,,10.0
,,,9.0,,,,4.0,,,,7.0,3.0,1.0,6.0,8.0,,5.0,,,,2.0,,,,11.0,,10.0
,,,9.0,,,,4.0,,,,7.0,3.0,1.0,6.0,8.0,,5.0,,,,2.0,,,,11.0,,10.0
,,,9.0,,,,,3.0,,,7.0,,1.0,6.0,8.0,,4.0,,5.0,,2.0,,,,11.0,,10.0
,,,9.0,,,,,,,2.0,7.0,,1.0,6.0,8.0,,4.0,,5.0,,3.0,,,,11.0,,10.0
,,,9.0,,,,,,,,7.0,3.0,1.0,6.0,8.0,,4.0,,5.0,,2.0,,,,11.0,,10.0
,,,9.0,,,,4.0,,,,7.0,3.0,1.0,6.0,8.0,,,,5.0,,2.0,,,,11.0,,10.0
,,,9.0,,,11.0,,,,,7.0,3.0,1.0,,8.0,,4.0,,5.0,,2.0,,,6.0,,,10.0
,,,9.0,,,11.0,,,,,7.0,3.0,1.0,,8.0,,4.0,,5.0,,2.0,,,6.0,,,10.0
,,,9.0,,,11.0,8.0,,,,7.0,3.0,1.0,,,,4.0,,5.0,,2.0,,,6.0,,,10.0
,,,9.0,,,11.0,8.0,,,,7.0,3.0,1.0,,,,4.0,,5.0,,2.0,,,6.0,,,10.0
,,,9.0,,,11.0,,,,,7.0,3.0,1.0,,8.0,,4.0,,5.0,,2.0,,,6.0,,,10.0
,,,9.0,,,,,,,,7.0,3.0,1.0,,8.0,,4.0,,5.0,,2.0,,,6.0,11.0,,10.0
,,,9.0,,,,,,,,7.0,3.0,1.0,,8.0,,4.0,,5.0,,2.0,,,6.0,11.0,,10.0
,,,9.0,,,,,,,2.0,7.0,,1.0,,8.0,,4.0,,5.0,,3.0,,,6.0,11.0,,10.0
,,,9.0,,,,8.0,,,,7.0,3.0,1.0,,10.0,,4.0,,5.0,,2.0,,,6.0,11.0,,
