Almond,Amery,Butler,Carter,Clark,Davies,Dellow,Dodd,Eden,Edwards,Fairhurst,Foster,Frost,Griffiths,Jackson,Jones,Lewis,Maddocks,Maher,Major,McLaren,Miller,Owen,Platt,Poskett,Robertson,Sherlock,Spencer R,Temple,Tucker,Waring,Whyte,Wood
11.0,5.0,,8.0,4.0,,,,7.0,,,,,,,9.0,,,,,,3.0,,2.0,1.0,,,6.0,,,,,10.0
11.0,,,8.0,5.0,,,,7.0,,,,,,,9.0,,,,,4.0,2.0,,,1.0,,,6.0,,,,3.0,10.0
11.0,,8.0,,,,7.0,,,,,,,,,9.0,,,,5.0,4.0,2.0,,,1.0,,,6.0,,,,3.0,10.0
11.0,,,8.0,,,7.0,,,,,,,,,9.0,,,,5.0,4.0,2.0,,,1.0,,,6.0,,,,3.0,10.0
11.0,,,,,,7.0,,8.0,,,,,,,9.0,,,,5.0,4.0,2.0,,,1.0,,,6.0,,,,3.0,10.0
11.0,5.0,,,,,7.0,,8.0,,,,,,,9.0,,,,,,4.0,,2.0,,,1.0,6.0,,,,3.0,10.0
11.0,,,,5.0,,7.0,,8.0,,,,,,,9.0,,,,,,4.0,,2.0,,,,6.0,,1.0,,3.0,10.0
11.0,,,,5.0,,7.0,,8.0,,,,,,,9.0,,,,,,4.0,,2.0,,,,6.0,1.0,,,3.0,10.0
11.0,,,,5.0,,7.0,,8.0,,,,,,,,,,,,,4.0,,2.0,1.0,9.0,,6.0,,,,3.0,10.0
11.0,5.0,,,,,7.0,,8.0,,,,,,,9.0,,,,,,4.0,,2.0,1.0,,,6.0,,,,3.0,10.0
11.0,5.0,,,,,7.0,,8.0,,,,,,,,,,,,,4.0,,2.0,1.0,,,6.0,,,9.0,3.0,10.0
10.0,,,8.0,5.0,,7.0,,11.0,,,,,,2.0,,,,,,,4.0,,,1.0,,,6.0,,,9.0,3.0,
11.0,5.0,,8.0,4.0,,7.0,,10.0,,,,,,,,,,,,,3.0,,2.0,1.0,,,6.0,,,9.0,,
11.0,5.0,,8.0,4.0,,7.0,,10.0,,,,1.0,,,,,,,,,3.0,,2.0,,,,6.0,,,9.0,,
11.0,5.0,,,4.0,,,,7.0,,3.0,,,,,8.0,1.0,,,,,,,2.0,,,,6.0,,,9.0,,10.0
11.0,5.0,,,4.0,,,,,,3.0,,,,,8.0,1.0,,7.0,,,,,2.0,,,,6.0,,,9.0,,10.0
11.0,3.0,,,5.0,,7.0,,,,,,,,,8.0,1.0,,,,,4.0,,2.0,,,,6.0,,,9.0,,10.0
11.0,3.0,,,5.0,,7.0,,,,,,,,,8.0,1.0,,,,,4.0,,2.0,,,,6.0,,,9.0,,10.0
11.0,3.0,,,5.0,,7.0,,,,,,,,,8.0,1.0,,,,,4.0,,2.0,,,,6.0,,,9.0,,10.0
,3.0,,,5.0,,7.0,,,11.0,,,,,,8.0,1.0,,,,,4.0,,2.0,,,,6.0,,,9.0,,10.0
11.0,3.0,,,5.0,,7.0,,,,,,,,,8.0,1.0,,,,,4.0,,2.0,,,,6.0,,,9.0,,10.0
,,,,5.0,,7.0,,11.0,,,,,,3.0,8.0,1.0,,,,,4.0,,2.0,,,,6.0,,,9.0,,10.0
