Alexander,Alldis,Atkinson,Bainbridge,Barrie,Bavin,Bell,Carlson,Chadwick,Connor,Eastham,Gould,Harlock,Hodgson,Hornby,Jack,Kieran,Lamb,Lloyd,McBennett,McLellan,Payne A,Payne G,Pollard,Sille,Steele,Thomas SH,Thompson,Wheeler,Williamson
,,9.0,,,,5.0,,,3.0,10.0,,7.0,,,,6.0,8.0,,,,,1.0,11.0,,,,2.0,4.0,
,,9.0,,,2.0,5.0,,7.0,3.0,11.0,,,,,,6.0,8.0,,,10.0,,1.0,,,,,,4.0,
11.0,,9.0,,,2.0,5.0,,7.0,3.0,8.0,,,,,,6.0,,,,10.0,,1.0,,,,,,4.0,
11.0,,9.0,,,,5.0,,7.0,3.0,10.0,,,2.0,,,6.0,8.0,,,,,1.0,,,,,,4.0,
11.0,,9.0,,,,5.0,,7.0,3.0,10.0,,,2.0,,,6.0,8.0,,,,,1.0,,,,,,4.0,
,,,,,,5.0,8.0,7.0,3.0,10.0,,,2.0,,9.0,6.0,,,,,,1.0,,,,,,4.0,11.0
,,,,,,5.0,,7.0,3.0,10.0,,,2.0,,9.0,6.0,8.0,,,,,1.0,,,,,,4.0,11.0
,,,,,,5.0,,7.0,3.0,10.0,,,2.0,,9.0,6.0,8.0,,,,,1.0,,,,,,4.0,11.0
,,9.0,,,,5.0,,7.0,3.0,10.0,,,2.0,,,6.0,8.0,,,,,1.0,,,,,,4.0,11.0
,,9.0,,,,5.0,,,,10.0,,7.0,3.0,,,6.0,8.0,,,,,1.0,,,2.0,,,4.0,11.0
,,9.0,,,,5.0,,,,10.0,,7.0,3.0,,,6.0,8.0,,,,,1.0,,,2.0,,,4.0,11.0
,,9.0,,,,5.0,,,,10.0,,7.0,,3.0,,6.0,8.0,,,,4.0,1.0,,,2.0,,,,11.0
,,9.0,,,,5.0,,,,10.0,,7.0,,3.0,,6.0,8.0,,,,4.0,1.0,,,2.0,,,,11.0
,,9.0,,,,5.0,,,,10.0,,7.0,2.0,3.0,,,8.0,,,,4.0,1.0,,,6.0,,,,11.0
11.0,,,,,,5.0,,,,10.0,9.0,7.0,2.0,3.0,,6.0,8.0,,,,,1.0,,,,,,4.0,
,,,,9.0,,5.0,,,,10.0,,,2.0,3.0,,6.0,8.0,,7.0,,,1.0,,,,,,4.0,11.0
,,9.0,8.0,,,5.0,,,,10.0,,,2.0,3.0,,6.0,,,7.0,,,1.0,,,,,,4.0,11.0
,11.0,,8.0,,,5.0,,,,10.0,9.0,,2.0,3.0,,6.0,,,7.0,,,1.0,,,,,,4.0,
,11.0,,8.0,,,5.0,,,,10.0,9.0,,2.0,3.0,,6.0,,,7.0,,,1.0,,,,,,4.0,
,,9.0,8.0,,,5.0,,,,10.0,,,2.0,3.0,,6.0,,,7.0,,,1.0,11.0,,,,,4.0,
,,,8.0,9.0,,5.0,,,3.0,10.0,,,,,,6.0,7.0,,,,,1.0,11.0,,4.0,,,2.0,
,,,8.0,9.0,,5.0,,,3.0,10.0,,,,,,6.0,7.0,,,,,1.0,11.0,,4.0,,,2.0,
,,,8.0,9.0,,5.0,,,3.0,10.0,,,2.0,,,6.0,7.0,,,,,1.0,11.0,,4.0,,,,
,,10.0,8.0,9.0,,5.0,,,3.0,,,,2.0,,,6.0,,,7.0,,4.0,1.0,11.0,,,,,,
,,10.0,8.0,9.0,,5.0,,,3.0,,,,2.0,,,6.0,,,7.0,,4.0,1.0,11.0,,,,,,
,,10.0,8.0,9.0,,5.0,,,3.0,,,7.0,2.0,,,6.0,,,,,4.0,1.0,11.0,,,,,,
,,9.0,8.0,,,5.0,,,3.0,,,,,,,6.0,7.0,,,,,1.0,11.0,,2.0,10.0,,4.0,
,,9.0,8.0,,,5.0,,,3.0,10.0,,,,,,6.0,,,7.0,,,1.0,11.0,,2.0,,,4.0,
,11.0,7.0,8.0,9.0,,5.0,,,3.0,10.0,,,,,,6.0,,,,,,1.0,,,2.0,,,4.0,
,11.0,9.0,8.0,,,5.0,,,3.0,10.0,,,,,,6.0,,,7.0,,,1.0,,,2.0,,,4.0,
,11.0,9.0,8.0,,,5.0,,,3.0,10.0,,,,,,6.0,,1.0,7.0,,,,,,2.0,,,4.0,
