Atkinson,Bainbridge,Barrie,Bell,Dillon,Doonan,Eastham,Ellison,Harlock,Hodgson,Iceton,Kieran,Lamb,Lloyd,MacDonald,Millington,Payne,Rosenthal,Steele,Wheeler,Williamson
,8.0,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,,1.0,9.0,2.0,4.0,
,8.0,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,9.0,2.0,,
,8.0,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,,1.0,9.0,2.0,4.0,
,8.0,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,,1.0,9.0,2.0,4.0,
,8.0,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,,1.0,9.0,2.0,4.0,
,8.0,,5.0,,9.0,10.0,,7.0,,11.0,6.0,,,3.0,,1.0,,2.0,4.0,
,8.0,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,,1.0,9.0,2.0,4.0,
,8.0,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,,1.0,9.0,2.0,4.0,
,8.0,,5.0,,,10.0,7.0,,,11.0,6.0,,,3.0,,1.0,9.0,2.0,4.0,
,8.0,,5.0,,,10.0,,7.0,,,6.0,,,3.0,,1.0,9.0,2.0,4.0,11.0
,8.0,,5.0,,,10.0,,7.0,,,6.0,,,3.0,,1.0,9.0,2.0,4.0,11.0
,,,5.0,,,10.0,,7.0,,,6.0,,,3.0,4.0,1.0,9.0,2.0,8.0,11.0
,,,5.0,,,10.0,,7.0,,,6.0,,,3.0,4.0,1.0,9.0,2.0,8.0,11.0
,,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,9.0,2.0,8.0,
,,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,9.0,2.0,8.0,
,,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,9.0,2.0,8.0,
,,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,9.0,2.0,8.0,
,,,5.0,,,10.0,,7.0,3.0,11.0,6.0,,,,4.0,1.0,9.0,2.0,8.0,
,,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,,2.0,8.0,9.0
,10.0,,5.0,,,,,7.0,,11.0,6.0,,,3.0,4.0,1.0,,2.0,8.0,9.0
,8.0,,5.0,,,10.0,,7.0,,11.0,6.0,,,3.0,,1.0,9.0,2.0,4.0,
,8.0,,5.0,,,,,7.0,,11.0,6.0,,,3.0,,1.0,10.0,2.0,4.0,9.0
,8.0,,5.0,,9.0,10.0,,7.0,,11.0,6.0,,,,,1.0,,2.0,4.0,3.0
,8.0,,5.0,,9.0,10.0,,7.0,,,6.0,,,3.0,,1.0,,2.0,4.0,11.0
,8.0,,5.0,,9.0,10.0,,7.0,,,6.0,,,3.0,,1.0,,2.0,4.0,11.0
9.0,8.0,,5.0,,,10.0,,7.0,,,6.0,,,3.0,,1.0,,2.0,4.0,11.0
,8.0,,5.0,,,10.0,,7.0,,,6.0,,,3.0,,1.0,9.0,2.0,4.0,11.0
,8.0,,5.0,,,10.0,,7.0,2.0,,6.0,,,3.0,,1.0,9.0,,4.0,11.0
,8.0,,5.0,,,10.0,,7.0,,,6.0,,,3.0,,1.0,9.0,2.0,4.0,11.0
,8.0,,5.0,9.0,,10.0,,7.0,,,6.0,,,3.0,4.0,1.0,,2.0,,11.0
,8.0,,5.0,9.0,,10.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,,2.0,,
,8.0,,5.0,9.0,,10.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,,2.0,,
,8.0,,5.0,9.0,,10.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,,2.0,,
,8.0,,5.0,9.0,,10.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,,2.0,,
,,,5.0,9.0,,8.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,10.0,2.0,,
,,,5.0,9.0,,8.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,10.0,2.0,,
,,3.0,5.0,9.0,,8.0,,7.0,,11.0,6.0,,,,4.0,1.0,10.0,2.0,,
,,3.0,5.0,9.0,,8.0,,7.0,,,6.0,,,,4.0,1.0,10.0,2.0,,11.0
,,3.0,5.0,9.0,,8.0,,7.0,,11.0,6.0,,,,4.0,1.0,10.0,2.0,,
,,,5.0,9.0,,8.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,10.0,2.0,,
,,,5.0,9.0,,8.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,10.0,2.0,,
,,,5.0,9.0,,8.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,10.0,2.0,,
,,,5.0,9.0,,8.0,,7.0,,11.0,6.0,,,3.0,4.0,1.0,10.0,2.0,,
,,,5.0,9.0,,8.0,,7.0,,11.0,6.0,,,,4.0,1.0,10.0,2.0,,3.0
,,,5.0,9.0,,8.0,,7.0,,11.0,6.0,,,,4.0,1.0,10.0,2.0,,3.0
,,,5.0,9.0,,8.0,,7.0,,11.0,6.0,,1.0,,4.0,,10.0,2.0,,3.0
,,,5.0,9.0,,8.0,,7.0,,11.0,6.0,,1.0,3.0,4.0,,10.0,2.0,,
,,,5.0,,,10.0,,7.0,,11.0,6.0,8.0,1.0,3.0,4.0,,9.0,2.0,,
