Barnett,Bell,Bracewell,Charlton,Clayton,Dodd,Eglington,Evans,Farrell,Finney,Frith,Harris,Harrop,Heydon,Hood,Jones,Lancaster,McDevitt,McDonnell,Millington,Mulkerrin,Payne,Rowley,Williams K
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,9.0,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,,1.0,10.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,,,,4.0,7.0,3.0,,,,,,11.0,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,1.0,,,,,,,,5.0,10.0,,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,5.0,,,,,10.0,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,9.0,11.0,,4.0,7.0,3.0,,,,,5.0,,,8.0,,10.0,1.0,,
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,9.0,,,10.0,5.0,,1.0,,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,9.0,,,10.0,5.0,,1.0,,8.0
,2.0,,6.0,,,,,4.0,7.0,3.0,,,,,,,11.0,10.0,5.0,,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,10.0,5.0,,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,,7.0,3.0,,4.0,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,4.0,7.0,3.0,,,,,,,,,5.0,10.0,1.0,9.0,8.0
,2.0,,6.0,,,11.0,,,8.0,3.0,,4.0,,,,,7.0,10.0,5.0,,1.0,9.0,
,,2.0,10.0,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,,5.0,,1.0,9.0,8.0
,,2.0,,,,,,6.0,7.0,3.0,,4.0,,,,,11.0,10.0,5.0,,1.0,9.0,8.0
,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,10.0,5.0,,1.0,9.0,8.0
,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,10.0,5.0,,1.0,9.0,8.0
,,2.0,6.0,,,11.0,,,7.0,3.0,,4.0,,,,,,10.0,5.0,,1.0,9.0,8.0
,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,10.0,5.0,,1.0,9.0,8.0
,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,10.0,5.0,8.0,1.0,9.0,
,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,10.0,5.0,8.0,1.0,9.0,
,,2.0,,1.0,,11.0,,6.0,7.0,3.0,,4.0,,,,,,,5.0,10.0,,9.0,8.0
,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,,5.0,10.0,1.0,9.0,8.0
,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,,5.0,10.0,1.0,9.0,8.0
,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,,5.0,10.0,1.0,9.0,8.0
,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,10.0,5.0,8.0,1.0,9.0,
,,2.0,,,,11.0,3.0,6.0,7.0,,,4.0,,,,,,10.0,5.0,8.0,1.0,9.0,
8.0,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,,5.0,,1.0,10.0,9.0
10.0,,2.0,,,,11.0,,6.0,,3.0,,4.0,,,,,,7.0,5.0,,1.0,8.0,9.0
10.0,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,,,,,5.0,,1.0,8.0,9.0
10.0,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,9.0,,,,5.0,,1.0,,8.0
10.0,,2.0,,,,11.0,,6.0,7.0,3.0,,4.0,,,9.0,,,8.0,5.0,,1.0,,
10.0,,9.0,,,,,,6.0,11.0,3.0,,4.0,,,2.0,,,8.0,5.0,,1.0,,7.0
10.0,,,,,,,,6.0,11.0,3.0,,4.0,,,2.0,,,8.0,5.0,,1.0,9.0,7.0
10.0,,,,,,,,6.0,11.0,3.0,,4.0,,,2.0,,,8.0,5.0,,1.0,9.0,7.0
10.0,,,,,,,,6.0,11.0,3.0,,4.0,,9.0,2.0,,,8.0,5.0,,1.0,,7.0
10.0,,,,,,,,6.0,11.0,3.0,,,4.0,8.0,2.0,,,,5.0,,1.0,9.0,7.0
10.0,,,,,,,,6.0,11.0,3.0,,,4.0,8.0,2.0,,,7.0,5.0,,1.0,9.0,
