A'Court,Beamish,Blundell,Crawford,Dyson,Hill,King A,King J,Leyland,Lornie,Manning,Martin,Parnell,Pritchard,Robertson,Sinclair,Stanley,Stuart,Twist
11.0,,,,9,7,6.0,4.0,1.0,,,3.0,2.0,10,,8.0,,5,
11.0,,,,9,7*,6.0,4.0,1.0,12,,3.0,,10,2.0,8.0,,5,
11.0,,,,9,,6.0,4.0,1.0,,,3.0,,10,2.0,8.0,,5,7.0
11.0,,,,9,,6.0,,1.0,,8.0,3.0,,4,2.0,10.0,,5,7.0
11.0,,,10.0,9,,6.0,4.0,1.0,7,5.0,3.0,2.0,8,,,,,
11.0,,,10.0,9,,6.0,,1.0,7,5.0,3.0,2.0,4,,8.0,,,
11.0,,,10.0,9,7,6.0,,1.0,,5.0,3.0,2.0,4,,8.0,,,
11.0,,,10.0,9,7,6.0,4.0,1.0,,5.0,3.0,2.0,8,,,,,
11.0,,,10.0,8,7,6.0,4.0,1.0,,9.0,3.0,2.0,,,,,5,
,,,8.0,10,7,6.0,4.0,1.0,,9.0,3.0,2.0,,,11.0,,5,
,,,4.0,10,7,6.0,,1.0,8,9.0,3.0,2.0,,,11.0,,5,
,,,4.0,10,7,6.0,,1.0,8,9.0,3.0,2.0,,,11.0,,5,
,,,4.0,10,7,6.0,,1.0,8,9.0,3.0,2.0,,,11.0,,5,
,,,4.0,10,7,6.0,12.0,1.0,8,9.0,3.0,2.0,,,11.0,,5*,
,,,4.0,10,7,6.0,,1.0,8,9.0,3.0,2.0,,,11.0,,5,
11.0,,,4.0,10,7,6.0,,1.0,8,9.0,3.0,2.0,,,,,5,
11.0,,,4.0,10,7,6.0,,1.0,8,9.0,3.0,2.0,,,,,5,
11.0,,,10.0,,7,6.0,,1.0,8,9.0,3.0,2.0,4,,,,5,
11.0,,,4.0,,7,6.0,,1.0,8,9.0,3.0,2.0,10,,,,5,
11.0,,,4.0,,7,6.0,,1.0,8,9.0,3.0,2.0,10,,,,5,
11.0,,,4.0,10,,6.0,,1.0,7,9.0,,2.0,8,3.0,,,5,
11.0,,,4.0,10,7,6.0,,1.0,,9.0,3.0,2.0,8,,,,5,
11.0,,,4.0,10,7,6.0,,1.0,,9.0,3.0,2.0,8,,,,5,
11.0,,,,9,7,6.0,,1.0,,8.0,3.0,2.0,4,,10.0,,5,
,,,10.0,9,7,6.0,,1.0,,8.0,3.0,2.0,4,,11.0,,5,
11.0,,,,9,7,6.0,,1.0,,8.0,3.0,2.0,4,,10.0,,5,
11.0,,,10.0,9,,6.0,,1.0,7,8.0,3.0,2.0,4,,,,5,
11.0,,,10.0,9*,,6.0,,1.0,7,8.0,3.0,,4,2.0,,12.0,5,
11.0,,,10.0,9,7,6.0,,1.0,12,8.0,3.0,2.0,4*,,,,5,
11.0,,,,9,7,6.0,,1.0,,8.0,3.0,2.0,4,,10.0,,5,
11.0,,,,9,7,6.0,,1.0,,8.0,3.0,2.0,4,,10.0,,5,
11.0,,,,9,7,6.0,,1.0,,8.0,3.0,2.0,4,,10.0,,5,
11.0,,,,9,7,6.0,,1.0,,8.0,3.0,2.0,4,,10.0,,5,
11.0,,,,9,7,6.0,,1.0,,8.0,3.0,2.0,4,,10.0,,5,
,,,,10,7,6.0,,1.0,11,9.0,3.0,2.0,4,,8.0,,5,
,,,,10,7,6.0,,1.0,11,9.0,3.0,2.0,4,,8.0,,5,
,,,,9,7,6.0,,1.0,11,8.0,3.0,2.0,4,,10.0,,5,
,,,,9,7,6.0,,1.0,11,8.0,3.0,2.0,4,,10.0,,5,
11.0,,,4.0,,7,9.0,,1.0,,8.0,3.0,2.0,6,,10.0,,5,
,,,,11,7,6.0,,1.0,9,8.0,3.0,2.0,4,,10.0,,5,
,9.0,,,,7,6.0,,1.0,,8.0,,2.0,4,3.0,10.0,,5,11.0
,,,,,7,6.0,,1.0,,8.0,4.0,2.0,9,3.0,10.0,,5,11.0
,,,,9,7,6.0,,1.0,8,,4.0,2.0,10,3.0,11.0,,5,
,,,,9,7,6.0,,1.0,8*,10.0,12.0,2.0,4,3.0,11.0,,5,
,,,,9,7,6.0,,1.0,,8.0,4.0,2.0,10,3.0,,,5,11.0
,,4.0,,9,7,6.0,,1.0,,8.0,2.0,,10,3.0,,,5,11.0
,,,,9,7,6.0,,1.0,,8.0,4.0,2.0,10,3.0,,,5,11.0
,,,,9,7,6.0,,1.0,,8.0,4.0,2.0,10,3.0,,,5,11.0
