Beamish,Casey,Cumbes,Dempsey,Hill,Hudson,Kennedy,King A,King J,MacNamee,Martin,Mathias,McFarland,Parry,Pointon,Pritchard,Robertson,Sinclair,Smith,Stevens,Storton S,Storton T,Williams,Yardley
,10.0,1.0,,,,,6,2,,3,,5.0,,,9,,7.0,,4,,,11.0,8
,,1.0,,,10,,4,2,,3,,5.0,,,7,,8.0,,6,,,11.0,9
,7.0,1.0,,,,,4*,6,,3,,5.0,,,10,12,8.0,,,2,,11.0,9
,6.0,1.0,,7,9,,,2,,3,,,,,4,,10.0,,,5,,11.0,8
,4.0,1.0,,,,,6,2,,5,,,7.0,,8,3,10.0,,,,,11.0,9
,4.0,1.0,,7,,,6,2,,5,,,,,8,3,10.0,,,,,11.0,9
,4.0,1.0,,7,,,6,2,,5,,,,,10,3,8.0,,,,,11.0,9
,4.0,1.0,,7,,,6,2,,5,,,,,8,3,10.0,,12,,,11.0,9*
,4.0,1.0,,7,,,6,2,,5,,,,,8,3,10.0,,,,,11.0,9
,4.0,1.0,,7,,,6,2,,5,,,,,8,3,10.0,,,,,11.0,9
,4.0,1.0,,7,,,6,2,,5,,,,,8,3,10.0,,,,,11.0,9
,4.0,1.0,,7,,,6,2*,,5,,,,,8,3,10.0,,12,,,11.0,9
12,,1.0,,7,,,6,,,5,,,,,8,3*,10.0,,4,2,,11.0,9
,,1.0,,,12,,6,,7*,5,,,,3.0,8,,10.0,,4,2,,11.0,9
,,1.0,,7,,,6,,,5,,,,,8,3,10.0,,4,2,,11.0,9
10,,1.0,,7,,,6,,,5,,,11.0,12.0,4,3,8.0,,,2,,,9*
10,,1.0,,,,,6,,,5,,,7.0,,4,3,8.0,,,2,,11.0,9
9,10.0,1.0,,,,,6,,,5,,,,,4,3,7.0,,,2,,11.0,8
10,4.0,1.0,,7,,,6,,,5,,,,,8,3,12.0,,,2*,,11.0,9
7,10.0,1.0,,,,,6,,,3,,,,2.0,4*,,8.0,,12,,5.0,11.0,9
7*,10.0,1.0,,12,,,6,,,3,,,,2.0,4,,8.0,,,,5.0,11.0,9
,10.0,1.0,,7,8,,6,,,5,,,,,4,3,11.0,,,2,,,9
,,1.0,,7,10,,,4,,5,,,,,6,3,,,8,2,,11.0,9
,,1.0,,7,10,,6,,,5,,,,,4,3,,,8,2,,11.0,9
,,1.0,,7,10,,6,,,5,,,,,4,3,,,8,2,,11.0,9
,,1.0,,7*,10,,6,4,11,3,,,,,5,12,,,8,2,,,9
7,,1.0,,,10,,6,4,11,3,,,,,5,,,,8,2,,,9
7,,1.0,,,10,,6,4,11,3,,,,,5,,,,8,2,,,9
7,,1.0,,,10,,6,4,11,3,,,,,5,,,,8,2,,,9
7,,1.0,,,10*,,6,4,12,3,,,,,5,,,,8,2,,11.0,9
10,,1.0,,,,,6,4,7,3,,,,,5,,,,8,2,,11.0,9
10,,1.0,,,9,,6,4,7,3,,,,,5,,,,8,2,,11.0,
,,1.0,,,10,,6,4,,3,,,,,5,,7.0,,8,2,,11.0,9
,,1.0,,,10,,6,4,7,3,,,,,5,,,,8,2,,11.0,9
,12.0,1.0,,,10,,6,,7,3,,,,,5,,8.0,,4*,2,,11.0,9
12,4.0,1.0,,,10,,6,,7*,3,,,,,5,,8.0,,,2,,11.0,9
10,4.0,1.0,,,,,6,,7,3,,,,,5,,8.0,,,2,,11.0,9
10,12.0,1.0,,7,,,6,4,,3,,,,,5,,,,8,2,,11.0,9*
10,12.0,1.0,,7,9*,,6,4,,3,,,,,5,,,,8,2,,11.0,
7,8.0,1.0,,,,,6,4,12,3,,,,,9*,,10.0,5.0,,2,,11.0,
9,12.0,1.0,,7,,,6*,4,,3,,,,,8,,10.0,5.0,,2,,11.0,
9,,1.0,,,,,10,4,7,3,6.0,,,,8,2,11.0,5.0,,,,,
9,,1.0,,,,,10,4,7,3,6.0,,,,8,2,11.0,5.0,,,,,
9,,1.0,,,,,10,4,7,3,6.0,,,,8,2,11.0,5.0,,,,,
9,,1.0,,,,,10,4,7*,3,6.0,,,,8,2,11.0,5.0,,12,,,
9*,,1.0,,,,,10,4,7,3,6.0,,,,8,2,11.0,5.0,,,,12.0,
,,1.0,,,,7.0,9,4,,3*,6.0,,,,8,2,10.0,5.0,,12,,11.0,
,,1.0,,,,7.0,9,4,,,6.0,,,,8,3,10.0,5.0,,2,,11.0,
,,1.0,,,,7.0,9,4,,,6.0,,,,8,3,10.0,5.0,,2,,11.0,
,,1.0,,7,,,9,4,,,6.0,,,,8,3,10.0,5.0,,2,,11.0,
10,,1.0,,,9,,6,2,,,4.0,,,,8,3,7.0,5.0,,,,11.0,
10,,1.0,,,9,,6,2,,,4.0,,,,8,3,7.0,5.0,,,,11.0,
10,,1.0,3.0,,9,,6,2,11,,4.0,,,,8,,7.0,5.0,,,,,
10,6.0,1.0,,,9,,4,12,7*,,3.0,,,,8,,11.0,5.0,,2,,,
