Beamish,Brodie,Crossley,Dempsey,Farrimond,Gill,Glennon,Hinch,Joy,King A,Knapp,Lane,Mathias,Molyneux,Moorcroft,Moore M,Pointon,Rowe,Storton T,Thomas,Yardley
7,6,,,,11,,10,2.0,8.0,5,1.0,3.0,,4.0,,,,,,9
,6,,3,,11,,10,2.0,8.0,5,1.0,7.0,,4.0,,,,,,9
7,6,,,,11,,10,2.0,8.0,5,1.0,3.0,,4.0,,,,,,9
7,6,,,,11,,10,2.0,8.0,5,1.0,3.0,,4.0,,,,,,9
7,6,,,,11,,10,2.0,8.0,5,1.0,3.0,,4.0,,,,,,9
7*,6,,12,,11,,10,2.0,8.0,,1.0,3.0,,4.0,,5.0,,,,9
7,6,,,,11,,10,2.0,8.0,,1.0,3.0,,4.0,,5.0,,,,9
7,6,,,,11*,,10,2.0,8.0,,1.0,3.0,,4.0,12,5.0,,,,9
7*,6,,,,11,,10,2.0,8.0,,1.0,3.0,,4.0,12,5.0,,,,9
7,6,,,,11,,10*,2.0,8.0,5,1.0,3.0,,,12,4.0,,,,9
,6,,,,11,,10,2.0,8.0,5,1.0,3.0,,,7,4.0,,,,9
,6,,12,,11*,,10,2.0,8.0,5,,3.0,,,7,4.0,,,1.0,9
,6,,,,11,,10,2.0,8.0,5,,3.0,,,7,4.0,,,1.0,9
,6,,,,11,,10,2.0,8.0,5,1.0,3.0,,,7,4.0,,12,,9*
,6,,,,11,,10,2.0,8.0,5,1.0,3.0,,,7,4.0,,,,9
,6,12,,,11,,10,2.0,8.0,5*,1.0,3.0,,4.0,7,,,9,,
7,6,12,,,11,,10,2.0,8.0,,1.0,3.0,,4.0,9*,,,5,,
7,6,,,,11,,10,2.0,8.0,,1.0,3.0,,4.0,9*,12.0,,5,,
7,6,,,,11,,10,2.0,8.0,,1.0,3.0,,4.0,9,,,5,,
7,6,,,,11,,10,2.0,4.0,,1.0,3.0,,5.0,9,,8.0,,,
,6,7,,,11,,10*,2.0,4.0,,1.0,3.0,,5.0,9,,8.0,12,,
7,,12,,,11,,10*,2.0,6.0,,1.0,3.0,,4.0,9,,8.0,5,,
7,6,,,,11,,10,2.0,8.0,,1.0,3.0,,4.0,9,,,5,,
7,6,,3,,11,,10,2.0,8.0,,1.0,4.0,,5.0,9*,,,,,12
7,6,,3,,11,,10,2.0,8.0,,1.0,4.0,,5.0,9*,,12.0,,,
7,6,,3,,11,,10,2.0,8.0,,1.0,4.0,,5.0,9*,,,,,12
9,6,7,3,,,,11,2.0,8.0,,1.0,4.0,,5.0,,,10.0,,,
9,6,7,3,,,,11,2.0,8.0,,1.0,4.0,,5.0,,,10.0,,,
9,6,7,3,,12,,10*,,8.0,5,1.0,2.0,,4.0,,,11.0,,,
9,6,7,3,,11,,,,8.0,,1.0,2.0,,5.0,10,4.0,,,,
9,6,7,3,,11*,,12,,8.0,,1.0,2.0,,4.0,10,5.0,,,,
9*,6,7,3,,12,,11,,8.0,,1.0,2.0,,4.0,10,,,5,,
9,11,7,3,,,10.0,,,6.0,,1.0,2.0,,4.0,8,,,5,,
9,11,7,3,,12,10.0,,,,,1.0,6.0,,4.0,8,2.0,,5*,,
7*,6,11,,,8,,10,,4.0,,1.0,3.0,,5.0,9,2.0,,12,,
10,6,7,,3.0,11,,,,8.0,,1.0,2.0,5.0,4.0,9,,,,,
9,,7,6,3.0,11,,,,10.0,,1.0,2.0,5.0,4.0,8,,,,,
10,,7,6,3.0,11,,,,8.0,,1.0,2.0,5.0,4.0,9,,,,,
7,12,9,6*,3.0,11,,,,8.0,,1.0,2.0,5.0,4.0,10,,,,,
7,6,9,,3.0,11,,,,,,1.0,8.0,5.0,4.0,10,2.0,,,,
7,6,9,,3.0,11,,,,,,1.0,8.0,5.0,4.0,10,2.0,,,,
7,11*,9,,3.0,,,,,6.0,,1.0,8.0,5.0,4.0,10,2.0,,12,,
7,6,9,,3.0,12,,,,8.0,,1.0,2.0,5.0,4.0,11*,,,10,,
7,6,9*,,3.0,11,,,,8.0,,1.0,2.0,5.0,4.0,12,,,10,,
7,,9,,3.0,11,,,,8.0,,1.0,6.0,5.0,4.0,,2.0,,10,,
7,,9,,3.0,11,,,,6.0,,1.0,2.0,5.0,4.0,8,,,10,,
7,,9,,3.0,11,,,,6.0,,1.0,2.0,5.0,4.0,8,,,10,,
7,,9,,3.0,11,,,,4.0,,1.0,2.0,5.0,6.0,8,,,10,,
7,,9,,3.0,11,,,,6.0,,1.0,2.0,5.0,4.0,8,,,10,,
7,6,9,,3.0,11,,,,,,1.0,2.0,5.0,4.0,8,,,10,,
7,6,12,,3.0,11,,,,8.0,,1.0,2.0,5.0,4.0,9,,,10*,,
7,6,12,,3.0,11*,,,,8.0,,1.0,2.0,5.0,4.0,9,,,10,,
7,6,11,,3.0,,,,,8.0,,1.0,2.0,5.0,4.0,9,,,10,,
