Beamish,Brodie,Coyne,Crossley,Dempsey,Duffy,Fagan,Farrimond,Johnson,King A,Lane,Lawrence,Maher,Manning,Mathias,Molyneux,Moorcroft,Moore M,Moore R,Russell,Storton T,Yeats
10,6,,,,,,3.0,,8.0,1.0,,,,2.0,5.0,4,9,,7,11,
10,6,,,,,,3.0,,8.0,1.0,,,,2.0,5.0,4,9,,7,11,
10,6,,8,,,,3.0,,,1.0,,,,2.0,5.0,4,9,,7,11,
10,6,,12,,,,3.0,,8.0,1.0,,,,2.0,5.0,4,9*,,7,11,
9,10,,7,3.0,,,6.0,,,1.0,,11.0,,2.0,,4,,,8,5,
9,10,,7,3.0,,,6.0,,,1.0,,,,2.0,5.0,4,,,8,11,
10,6,,7,,,,3.0,,,1.0,,,,2.0,5.0,4,9,,8,11,
8,,,9,2.0,,,3.0,,,1.0,,11.0,,,5.0,4,6,,7,10,
8,,,9,3.0,,,6.0,,,1.0,,,,2.0,5.0,4,10,,7,11,
8,6,10,9,,,,3.0,,,1.0,,,,2.0,5.0,4,,,7,11,
8,6,9,10,,,,3.0,1.0,,,,,,2.0,5.0,4,,,7,11,
8,6,9,10,3.0,,,,,,1.0,,,,2.0,5.0,4,,,7,11,
10,6,8,9,3.0,,,,,,,1.0,,,2.0,5.0,4,12,,7,11*,
8,6,9,11,,,,3.0,,10.0,,1.0,,,2.0,5.0,4,,,7,,
7,6,9,11,,,,3.0,,10.0,,1.0,,,2.0,5.0,4*,,,8,12,
8,12,9*,11,,,,3.0,1.0,6.0,,,,,2.0,5.0,4,,,7,10,
8,,9,11,,,6,3.0,,10.0,,1.0,,,2.0,5.0,4,,,7,,
9*,,10,11,,,6,3.0,,8.0,,1.0,,,2.0,5.0,4,12,,7,,
8,,9,11,,,6,3.0,,10.0,,1.0,,,2.0,5.0,4,,,7,,
7,,,11,,,6,3.0,,10.0,,1.0,,,2.0,5.0,4,12,8*,9,,
9,,,11,,,6,3.0,,8.0,,1.0,,,2.0,5.0,4,10,,7,,
10*,,,11,,,6,3.0,,8.0,,1.0,12.0,,2.0,5.0,4,9,,7,,
10,6,,11,,,12,3.0,,8.0,,1.0,,,2.0,5.0,4,,,7*,9,
10,,,11,,,12,3.0,,6.0,,1.0,,,2.0,5.0,4*,8,,7,9,
8,6,,11,,,,3.0,,4.0,,1.0,,,2.0,5.0,,9,,7,10,
8,6,,11,,,,3.0,,4.0,,1.0,,,2.0,5.0,,9,,7,10,
8,6*,10,11,,,12,3.0,,,,1.0,,,2.0,5.0,,9,,7,4,
8,,,11,,,6,3.0,,,,1.0,,,2.0,4.0,,9,,7,10,5.0
8,,12,9,,,6,3.0,,,,1.0,,,2.0,4.0,,10*,,7,11,5.0
8,,,11,,,6,3.0,,,,1.0,,,2.0,4.0,,9,,7,10,5.0
8,,,11,,,6,3.0,,,,1.0,,,2.0,4.0,,9,,7,10,5.0
8,,,11,,,6,3.0,,,,1.0,,,2.0,4.0,,9,,7,10,5.0
8,,10,11,,,6,3.0,,,,1.0,,,2.0,5.0,,9,,7,4,
8,,,9,,,6,3.0,,,,1.0,,,2.0,4.0,,10,,7,11,5.0
8,,,11,,,6,3.0,,,,1.0,,,2.0,4.0,,9,,7,10,5.0
8,,,11,,,6,3.0,,,,1.0,,,2.0,4.0,,9,,7,10,5.0
8,,,11,,,6,3.0,,,,1.0,,,2.0,4.0,,9,,7,10,5.0
8,12,,11,,,6,3.0,,,,1.0,,,2.0,4.0,,9,,7*,10,5.0
8,,,11,,,6,3.0,,,,1.0,,,2.0,4.0,,9,,7,10,5.0
,,,11,,,6,3.0,,4.0,,1.0,12.0,9,2.0,,,8,,7,10*,5.0
,,,11,,8,6,3.0,,4.0,,1.0,,10,2.0,,,9,,7,5,
,,12,11,,8,6,3.0,,4.0,,1.0,,10,2.0,,,9*,,7,5,
,,,8,,,,3.0,,6.0,,1.0,,10,2.0,4.0,,9,,7,11,5.0
,6,,8,,,,3.0,,4.0,,1.0,12.0,10*,2.0,5.0,,9,,7,11,
,,,8,,,,3.0,,6.0,,1.0,11.0,,2.0,4.0,,9,,7,10,5.0
,,,11,,8*,12,3.0,1.0,6.0,,,,,2.0,4.0,,9,,7,10,5.0
,6,,11*,,,8,3.0,,,,1.0,12.0,,2.0,4.0,,9,,7,10,5.0
,,,11,,7,8*,3.0,,6.0,,1.0,,,2.0,4.0,,9,,12,10,5.0
,6,,11,,8*,,3.0,,4.0,,1.0,12.0,,2.0,5.0,,9,,7,10,
,,,11,,,8,3.0,,6.0,,1.0,,,2.0,,4,9,,7,10,5.0
,,,11,,,8,3.0,,6.0,,1.0,,,2.0,,4,9,,7,10,5.0
,,,11,,,2,3.0,,8.0,,1.0,,,4.0,,5,9,,7,10,6.0
,,,11,,,8,3.0,,6.0,,1.0,,,2.0,,4,9,,7,10,5.0
,,,11,,,8,3.0,,6.0,,1.0,,,2.0,12.0,4*,9,,7,10,5.0
,,12,11,,,8,3.0,,6.0,,1.0,,,2.0,4.0,,9,10*,7,5,
,,,11,,,8,3.0,,6.0,,1.0,,,2.0,4.0,,9,,7,10,5.0
