Allen,Coppell,Crossley,Fagan,Flood,Johnson D,Johnson R,Kenny,Mathias,McBurney,Mitchell,Moore,Palios,Parry,Peplow,Philpotts,Seasman,Tynan,Veitch,Webb,Wooddin,Young
,,10,,3.0,,1.0,,2.0,,9,5,6,,7,,,8,4,,,11
8,7.0,10,,3.0,,1.0,,2.0,,,5,6,,,,,9,4,,,11
8,7.0,10,,3.0,,1.0,,2.0,,,5,6,,,,,9,4,12,,11*
8,7.0,10,,3.0,,1.0,,2.0,,12,5,6,,,,,9*,4,,,11
8,7.0,10,,3.0,,1.0,,2.0,,9,5,6,,,,,,4,,,11
8,7.0,10,,3.0,,1.0,,2.0,,9,5,6,,,,,,4,12,,11*
,7.0,11,,3.0,,1.0,,2.0,,,4,8,,,5,,10,6,,,9
,7.0,11,,3.0,,1.0,,2.0,,,4,8,,12,5,,10,6,,,9*
,7.0,11,,3.0,,1.0,,2.0,,9,4,8*,,,5,,10,6,12,,
12,7.0,,,,,1.0,,3.0,,9,4,8,,,5,10,,6*,2,,11
12,7.0,,,,,1.0,,3.0,,9*,4,6,,,5,10,8,,2,,11
,7.0,11,,,,1.0,,3.0,,12,4,6,,,5,10*,8,,2,,9
,7.0,,,,,1.0,,3.0,,12,4,10*,,11,5,,8,6,2,,9
,7.0,12,,,,1.0,,3.0,,,4,,,11,5*,10,8,6,2,,9
,7.0,,,,,1.0,,3.0,,,4,,,11,5,10,8,6,2,,9
,7.0,11,,,,1.0,,3.0,,12,4,,,,5,10,8*,6,2,,9
10,7.0,12,,3.0,,1.0,,,,8,4,6,,,5,11,,,2*,,9
9,7.0,,,3.0,,1.0,,2.0,,8*,4,6,12,,5,10,,,,,11
12,7.0,11,,3.0,1.0,,,2.0,,,4,6,,8,5,10*,,,,,9
,7.0,12,,3.0,,1.0,,,,,4,6,2,11*,5,,8,10,,,9
12,7.0,11,,3.0,,1.0,,,,,4,6,2,,5,,8*,10,,,9
,7.0,11,,3.0,,1.0,,,,,4,6,2,,5,,8,10,,,9
12,7.0,11*,,3.0,,1.0,,,,,4,6,2,,5,,8,10,,,9
12,7.0,11*,,3.0,,1.0,,,,,4,6,2,,5,,8,10,,,9
12,7.0,11,,3.0,,1.0,,,,,4,6,2,,5,,8*,10,,,9
,7.0,11,,3.0,,1.0,,,,,4,6,2,,5,,8,10,,,9
12,7.0,11,,3.0,,1.0,,,,,4,6,2*,,5,,8,10,,,9
11,7.0,,,3.0,,1.0,,2.0,,,4,6,,,5,,8*,10,12,,9
9,7.0,11,,3.0,,1.0,,2.0,,,4*,6,,12,5,,8,10,,,
9,7.0,10,,3.0,,1.0,,2.0,,,4,6,,11,5,,8*,12,,,
9,7.0,11,,3.0,,1.0,,4.0,,,5,6,,8,,,,,2,,10
9,7.0,11,12.0,3.0,,1.0,,4.0,,,5,6,,8*,,,,,2,,10
9,7.0,11,,3.0,,1.0,,8.0,,,4,6,,,5,,,,2,,10
9,7.0,11,12.0,3.0,,1.0,,8.0,,10*,4,6,,,5,,,,2,,
9,7.0,11,,3.0,,1.0,,8.0,,,4,6,10,,5,,,,2,,
9,7.0,10,,3.0,,1.0,,8.0,,12,4,6,,,5,,,,2,11*,
9*,7.0,,,3.0,,1.0,,8.0,,11,4,6,,,5,,,12,2,,10
,,7,,3.0,,1.0,,2.0,,11,9,6,4*,,5,,,8,,12,10
9,,7,,3.0,,1.0,,2.0,10.0,,4,6,,,5,,,8,,,11
9,,11,,3.0,,1.0,7.0,2.0,10.0,,4,6,,,5,,,,,,8
9,,7,,,,1.0,8.0,3.0,10.0,,4,6,,,5,,,,2,,11
9,,7,,,,1.0,8.0,3.0,10.0,,4,6*,,,5,,,,2,12,11
9,,7,,3.0,,1.0,8.0,2.0,,11,4,,,,5,,,10,,,6
9,,7,,3.0,,1.0,8.0,2.0,,11,4,,,,5,,,6,,,10
9,,7,,3.0,,1.0,8.0,2.0,12.0,10*,4,6,,,5,,,,,,11
12,,11,,3.0,,1.0,7.0,2.0,,8,4,6,,10*,5,,,,,,9
,,11,,3.0,,1.0,7.0,2.0,,8,4,6,,10,5,,,,,,9
9,,11*,12.0,3.0,,1.0,7.0,2.0,,8,4,6,,10,5,,,,,,
9,,,,3.0,1.0,,7.0,2.0,,,4,6,11,10,5,,,,,,8
10*,,9,,3.0,1.0,,7.0,2.0,,8,4,6,12,,5,,,,,,11
9,,11,,3.0,,1.0,7.0,2.0,,8,,6*,4,12,5,,,,,,10
9,,,,3.0,,1.0,,2.0,,8,,6,4,7,5,,10,,,,11
11,,,,3.0,,1.0,12.0,2.0,,,9,6,4,7,5,,10*,,,,8
