Allen,Crossley,Flood,Griffiths,James,Johnson,Kenny,Mathias,Mitchell,Moore,Palios,Parry,Peplow,Philpotts,Postlewhite,Tynan,Young
,,3.0,,,1.0,10.0,2.0,,9,6,4.0,11,5,,8,7
,,3.0,,,1.0,11.0,2.0,,9,6,4.0,7,5,,10,8
,12.0,3.0,,,1.0,,2.0,8,9,6,4.0,7*,5,,10,11
,12.0,3.0,,,1.0,,2.0,8,9,6*,4.0,7,,5.0,10,11
12.0,,3.0,,,1.0,,2.0,8,9,6,4.0,7,5,,10,11*
7.0,,3.0,,,1.0,,2.0,8,9,6*,4.0,12,5,,10,11
11.0,,3.0,,,1.0,,2.0,8,9,,4.0,7,5,,10,6
11.0,,3.0,,,1.0,,2.0,8,9,,4.0,7,5,,10,6
,,3.0,,11,1.0,,2.0,8,9,,4.0,7,5,,10,6
12.0,,3.0,,11,1.0,,2.0,8,9,,4.0,7,5,,10*,6
12.0,,3.0,,11*,1.0,6.0,2.0,8,9,,4.0,7,5,,,10
,,3.0,,11,1.0,10.0,2.0,8,9,12,4.0,7*,5,,,6
,,3.0,,11,1.0,,2.0,8,9,,4.0,7,5,,10,6
,,3.0,,11,1.0,12.0,2.0,8,9,,4.0,7,5,,10*,6
,,3.0,,11,1.0,,2.0,8,9,,4.0,7,5,,10,6
,,3.0,,11,1.0,,2.0,8,9,,4.0,7,5,,10,6
,,3.0,,11,1.0,12.0,2.0,8,10,,4.0,7*,5,,9,6
,,3.0,,11,1.0,,2.0,8,9,,4.0,7,5,,10,6
,,3.0,,11,1.0,,2.0,8,9,,4.0,7,5,,10,6
,,3.0,,10,1.0,12.0,2.0,8,11,,4.0,7*,5,,9,6
,,,3.0,11,1.0,12.0,2.0,8*,9,,4.0,7,5,,10,6
,,3.0,,11,1.0,8.0,2.0,12,9*,,4.0,7,5,,10,6
,,,4.0,11,1.0,10.0,3.0,8,9,6,2.0,7,5,,,
,,,4.0,11*,1.0,10.0,3.0,8,9,6,2.0,7,5,,12,
,,,4.0,11,1.0,,3.0,8,9,,2.0,7,5,,10,6
,,3.0,4.0,11,1.0,,2.0,8,9,6,,7,5,,10,
,,3.0,4.0,11,1.0,12.0,2.0,8,9,6,,7,5,,10*,
,,3.0,4.0,11,1.0,,2.0,8,9,6,,7,5,,10,
,,3.0,4.0,11,1.0,12.0,2.0,8,9,6,,7,5,,10*,
,,3.0,4.0,11,1.0,12.0,2.0,8,9,6*,,7,5,,10,
,,3.0,4.0,11,1.0,,2.0,8,9,6,,7*,5,,10,12
,,3.0,4.0,11,1.0,,2.0,8,9,,,7,5,,10,6
,,3.0,4.0,11,1.0,,2.0,8,9,,,7,5,,10,6
,,3.0,4.0,11,1.0,,2.0,8,9,,,7,5,,10,6
,,3.0,4.0,11*,1.0,12.0,2.0,8,9,6,,7,5,,10,
,,3.0,4.0,11,1.0,,2.0,8,9,6,,7,5,,10,
,,3.0,4.0,11,1.0,12.0,2.0,8,9,6*,,7,5,,10,
,,3.0,4.0,11,1.0,,2.0,8,9,6,,7,5,,10,
,,3.0,4.0,11,1.0,12.0,2.0,8,9,,,7,5,,10,6*
,,3.0,4.0,11,1.0,,2.0,8,9,,,7,5,,10,6
,,3.0,4.0,11,1.0,8.0,2.0,,9,12,,7,5*,,10,6
11.0,,3.0,4.0,,1.0,8.0,2.0,,9,6,,7,5,,10,
11.0,,3.0,4.0,,1.0,,2.0,8,9,6,,7,5,,10,
11.0,,3.0,4.0,,1.0,12.0,2.0,8,9,6,,7*,5,,10,
12.0,,3.0,4.0,11,1.0,,2.0,8,9*,6,,7,5,,10,
12.0,,3.0,4.0,11,1.0,,2.0,8,9,6,,7*,5,,10,
11.0,,3.0,4.0,10,1.0,,2.0,8,9,,,7,5,,6,
11.0,,3.0,4.0,10,1.0,,2.0,8,9,,,7,5,,6,
11.0,,3.0,4.0,10,1.0,,2.0,8,9,,,7,5,,6,
11.0,,3.0,4.0,10*,1.0,,2.0,8,9,,,7,5,,6,12
