Allen,Bramhall,Cliff,Evans,Flood,Griffiths,James,Johnson,Kenny,Mathias,Moore,Palios,Parry,Peplow,Philpotts,Postlewhite,Tynan,West,Williams G,Young
7,,,,3,,11,1,8,2.0,9,,4,,5.0,,10.0,,,6
7,,,,3,,11,1,8,2.0,9,,4,,5.0,,10.0,,,6
7,,,,3,,11,1,8,2.0,9,,4,,5.0,,10.0,,,6
7,,,,3,,11*,1,8,2.0,9,12,4,,5.0,,10.0,,,6
11,,,,3,,,1,7,2.0,9,8,4,,5.0,,10.0,,,6
11,,,,3,,,1,8,2.0,9,,4,7,5.0,,10.0,,,6
11*,,,,3,,,1,8,2.0,9,12,4,7,5.0,,10.0,,,6
11,,,,3,,,1,8,2.0,9,,4,7,5.0,,10.0,,,6
11,,,,3,,,1,8*,2.0,9,12,4,7,5.0,,10.0,,,6
11,5.0,,,3,,,1,8,2.0,9,,4,7,,,10.0,,,6
11,,,,3,,,1,8,2.0,9,12,4*,7,5.0,,10.0,,,6
11,,,,3,4.0,,1,8,2.0,9,,,7,5.0,,10.0,,,6
11,,6,,3,4.0,,1,,2.0,9,,,7,5.0,,8.0,,,10
11,,8,,3,4.0,,1,7,2.0,9,,,,5.0,,6.0,,,10
11,,8,,3,4.0,,1,7*,2.0,9,,,12,5.0,,6.0,,,10
11,,8,,3,4.0,,1,,2.0,9,,,7,5.0,,10.0,,,6
11,,8,,3,4.0,,1,,2.0,9,,,7,5.0,,6.0,,,10
11,,8,,3,4.0,,1,,2.0,9,,,7,5.0,,6.0,,,10
11,,8,,3,4.0,,1,,2.0,9,,,7,5.0,,6.0,,,10
6,,8,,3,4.0,,1,12,2.0,9*,,,7,5.0,,10.0,,,11
11*,,8,,3,4.0,,1,12,2.0,9,,,7,5.0,,6.0,,,10
11,,6,,3,4.0,,1,8,2.0,,,,7,5.0,,9.0,,,10
11,,8,,3,4.0,,1,,2.0,,6,,7,5.0,,10.0,,,9
11,,8,,3,4.0,,1,,2.0,,6,,7,5.0,,10.0,,,9
11,,8,,3,4.0,,1,,2.0,12,6,,7,5.0,,10.0,,,9*
11,,8,,3,4.0,,1,12,2.0,9,6,,7*,5.0,,10.0,,,
11,,8,,3,4.0,,1*,12,2.0,9,6,,7,5.0,,10.0,,,
11,,8,,3,4.0,,,,2.0,9,6,,7,5.0,,10.0,1.0,,
11,,8,,3,4.0,,,12,2.0,9,6*,,7,5.0,,10.0,1.0,,
11,,10,,3,4.0,,,,2.0,9,6,,7,5.0,,8.0,1.0,,
11,,,,3,4.0,,,8,2.0,9,6,,7,5.0,,10.0,1.0,,
11,,,,3,4.0,,,8,2.0,9,6,,7,5.0,,10.0,1.0,,
,,8,,3,4.0,,,11,2.0,9,6,,7,5.0,,10.0,1.0,,
,,8,,3,4.0,11*,,12,2.0,9,6,,7,5.0,,10.0,1.0,,
,,8,,3,4.0,11,,,2.0,9,6,,7,5.0,,10.0,1.0,,
11,,8,,,4.0,10*,,,3.0,9,12,2,7,5.0,,6.0,1.0,,
11*,,7,,,4.0,10,,,3.0,9,6,2,12,5.0,,8.0,1.0,,
11,,7*,,,4.0,10,,12,3.0,9,6,2,,5.0,,8.0,1.0,,
11,,7*,,,4.0,10,1,12,3.0,9,6,2,,5.0,,8.0,,,
11,,12,,3,4.0,10*,1,7,6.0,9,,2,,5.0,,8.0,,,
11,,7,,3,4.0,10,1,,8.0,9,6,2,,5.0,,,,,
11,,7,,3,4.0,10,1,,8.0,9,6,2,,5.0,,,,,
11,,12,,3,4.0,10*,1,,7.0,9,6,2,,5.0,,8.0,,,
11,12.0,2,,3,,10*,1,,7.0,9,6,4,,5.0,,8.0,,,
11,4.0,8,,3,,,1,,7.0,9,6,2,,5.0,,10.0,,,
11,2.0,8*,,3,,,1,,7.0,10,6,4,12,5.0,,9.0,,,
11,6.0,4,,3,,,1,,8.0,9,7,2,,5.0,,10.0,,,
11,4.0,,6.0,3,,10,1,,7.0,9,,2,,5.0,,8.0,,,
11,4.0,,6.0,3,,10,1,,7.0,9,,2,,5.0,,8.0,,,
9,4.0,,6.0,3*,,10,1,,8.0,,,2,7,5.0,12.0,,,11.0,
