Allen,Bramhall,Cliff,Craven,Evans,Flood,James,Johnson,Mathias,Moore,Palios,Parry,Peplow,Philpotts,Tynan,West
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11*,,,,6.0,3,12.0,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,12.0,1.0,2,9,8,4,7*,5,10,
11*,,,,6.0,3,12.0,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11*,,,,6.0,3,12.0,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11*,,,,6.0,3,12.0,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,12.0,1.0,2,9*,8,4,7,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,12.0,1.0,2,9,8,4,7*,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11*,,,,6.0,3,12.0,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3*,12.0,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,12.0,1.0,2,9*,8,4,7,5,10,
11,,,,6.0,3,12.0,1.0,2,9,8,4*,7,5,10,
11*,,,,6.0,3,12.0,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,12.0,1.0,2*,9,8,4,7,5,10,
,12.0,,,6.0,3,11.0,1.0,2,9,8*,4,7,5,10,
11*,,,,6.0,3,12.0,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,12.0,1.0,2,9,8,4,7*,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11,,12,,6.0,3,,1.0,2,9,8,4,7*,5,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11,,12,,6.0,3,,1.0,2,9,8,4,7,5,10*,
11,,,,6.0,3,10.0,1.0,2,9,8,4,7,5,,
11,8.0,7,,6.0,3,,1.0,2,9,,4,,5,10,
11,12.0,,,6.0,3,9.0,1.0,2,,8,4,7,5*,10,
11,,,,6.0,3,10.0,1.0,2,,8,4,7,5,9,
11,12.0,2,,6.0,,10.0,1.0,3,,8,4*,7,5,9,
11,,,,6.0,3,,,2,9,8,4,7,5,10,1.0
11,5.0,3,,6.0,,12.0,1.0,2,9,8,4,7*,,10,
11,5.0,3,,6.0,,,1.0,2,9,8,4*,7,12,10,
11,,,,6.0,3,,1.0,2,9,8,4,7,5,10,
11,4.0,,,6.0,3,,1.0,2,9,8,,7,5,10,
11,12.0,7*,,6.0,3,,1.0,2,9,8,4,,5,10,
,8.0,,,11.0,3,10.0,1.0,2,9,6,4,,5,7,
,8.0,,,6.0,3,,1.0,2,9,7,4,11,5,10,
,8.0,12,,6.0,3,,1.0,2,9,7*,4,11,5,10,
11,,8,,6.0,3,,1.0,2,9,,4,7,5,10,
11,,7,4*,10.0,3,,1.0,2,9,,6,12,5,8,
11,,8,7,6.0,3,,1.0,2,9,,4,,5,10,
11,,,7,6.0,3,,1.0,2,9,,4,8,5,10,
