Beamish,Bramhall,Craven,Edwards,Evans,Flood,Griffiths,Johnson,Kelly,Kerr,Lumby,Mathias,Mungall,O'Neil,Palios,Parry,Peplow,Postlewhite,Williams J
,5.0,8.0,3.0,6.0,4,,1.0,,9,10,2.0,,11.0,,,7,,
,4.0,8.0,5.0,6.0,3,,1.0,,9*,10,2.0,,7.0,,,11,12.0,
,4.0,8.0,5.0,10.0,3,,1.0,,9,11,2.0,,6.0,,,7,,
,4.0,8.0,5.0,6.0,3,,1.0,,9,10,2.0,,7.0,,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,,9,10,2.0,,7.0,,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,,9*,10,2.0,,7.0,,,11,12.0,
,4.0,8.0,5.0,6.0,3,,1.0,,9,10,2.0,,7.0,,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,,9*,10,2.0,,7.0,12,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,,9,10,2.0,,7.0,,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,,9,10,2.0,,7.0,,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,12,9,10,2.0,,7.0,,,11*,,
,4.0,8.0,5.0,6.0,3,,1.0,12,9,10*,2.0,,7.0,,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,11,9,,2.0,,7.0,10*,,,,12.0
,4.0,8.0,5.0,6.0,3,,1.0,11,9,,2.0,,7.0,,,10,,
,4.0,8.0,5.0,6.0,3,,1.0,,9,10,2.0,,7.0,,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,12,9*,10,2.0,,7.0,,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,12,9*,10,2.0,,7.0,,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,12,9,10*,2.0,,,7,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,,9,10,2.0,,7.0,,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,12,9,10*,2.0,,7.0,,,11,,
,4.0,8.0,5.0,6.0,3,,1.0,10,9,,2.0,,7.0,,,11,,
10,4.0,8.0,5.0,6.0,3,,1.0,,9*,12,2.0,,7.0,,,11,,
10,4.0,,5.0,6.0,3,,1.0,,,9,2.0,12.0,7.0,,8,11*,,
10,4.0,,5.0,6.0,3*,,1.0,,,9,2.0,12.0,7.0,,8,11,,
10,4.0,,5.0,6.0,3,,1.0,,,9,2.0,12.0,7.0,,8*,11,,
10,4.0,,5.0,6.0,3,,1.0,,,9,2.0,8.0,7.0,,,11,,
10,4.0,12.0,5.0,6.0,3*,,1.0,,,9,2.0,8.0,7.0,,,11,,
10,4.0,8.0,5.0,6.0,3,,1.0,11*,12,9,2.0,,7.0,,,,,
10*,4.0,8.0,5.0,6.0,3,,1.0,,11,9,2.0,12.0,7.0,,,,,
10,4.0,8.0,5.0,6.0,3,,1.0,11,,9*,2.0,12.0,7.0,,,,,
10,4.0,8.0,5.0,6.0,3,,1.0,9,,,2.0,,7.0,,,11,,
10*,4.0,8.0,5.0,6.0,3,,1.0,9,,,2.0,12.0,7.0,,,11,,
10,4.0,8.0,5.0,6.0,3,,1.0,9*,12,,,7.0,,,2,11,,
10,4.0,8.0,5.0,6.0,3,,1.0,9,,,12.0,7.0,,,2,11*,,
10,4.0,8.0,5.0,6.0,,,1.0,9,,,,3.0,7.0,,2,11,,
10,4.0,8.0,5.0,6.0,,,1.0,9,,,12.0,3.0,7.0,,2,11*,,
10*,4.0,8.0,5.0,6.0,,,1.0,9,,,12.0,3.0,7.0,,2,11,,
10,4.0,8.0,5.0,6.0,,,1.0,9,,,12.0,3.0,7.0,,2,11*,,
10,4.0,,5.0,6.0,3,,1.0,9,,,,8.0,7.0,,2,11,,
10,4.0,,5.0,6.0,3,,1.0,9*,,12,,8.0,7.0,,2,11,,
10,4.0,,5.0,6.0,3,,1.0,9,,,8.0,,7.0,,2,11,,
10,4.0,,5.0,6.0,3,,1.0,9,12,,8.0,,7.0,,2,11*,,
,4.0,,5.0,6.0,3,,1.0,9,10,,8.0,,7.0,,2,11,,
10,4.0,,5.0,,3,,1.0,,9,,2.0,8.0,7.0,,6,11,,
10,,,5.0,,3,,1.0,,9*,12,8.0,6.0,7.0,,2,11,,4.0
10,4.0,,5.0,,3,,1.0,,9,,8.0,6.0,7.0,,2,11,,
10,4.0,,5.0,,3,,1.0,12,9*,,8.0,6.0,7.0,,2,11,,
10*,4.0,,5.0,,3,,1.0,9,12,,8.0,6.0,7.0,,2,11,,
10,4.0,12.0,5.0,,3,,1.0,,9*,,8.0,6.0,7.0,,2,11,,
10,4.0,8.0,5.0,6.0,,,1.0,,9,,2.0,3.0,7.0,,,11,,
,4.0,8.0,5.0,6.0,,11,1.0,10,9,,2.0,3.0,,,,7,,
10,4.0,,,6.0,,11*,1.0,7,,,3.0,2.0,8.0,,5,12,,9.0
10,4.0,,5.0,6.0,,,1.0,9,,,2.0,3.0,7.0,,8,11,,
