Adkins,Allen,Aspinall,Brown O,Burgess,Davies,Ferguson,Goodlass,Greenwood,Hamilton,Higgins,Hilditch,Hutchinson,Mathias,McMahon,Mungall,Palios,Parry,Philpotts,Powell,Wellings,Williams G,Williams J,Woods
,10*,8,12,3.0,1.0,,,,5,,9,,,2,,,4,,7,,11,6,
,10,8,,3.0,1.0,,,,5,,9,,,2,,12,4*,,7,,11,6,
,,8,10,3.0,1.0,,,,5,,9,,,2,,4,,,7,,11,6,
,,8,10,3.0,1.0,,,,5,,9,,,2,,4,,,7,,11,6,
,12,8,10*,3.0,1.0,7,,,5,,9,,,2,,4,,,,,11,6,
,,8,10,3.0,1.0,7,,,5,,9,,,2,,4,,,,,11,6,
,12,8,10,3.0,1.0,7,,,,5,9*,,,2,,4,,,,,11,6,
,12,8,10*,3.0,1.0,7,,,5,,9,,,2,,4,,,,,11,6,
,10,8,,3.0,1.0,7,,,5*,,9,,,2,12.0,,4,,,,11,6,
,10,8,,3.0,1.0,7,,,,,9,,,2,5.0,,4,,,,11,6,
,,8,10,3.0,1.0,7,,,12,,9,,,2,5.0,,4*,,,,11,6,
,,8,10,3.0,1.0,7,,,12,,9,,,2,5.0,,4,,,,11,6*,
,,8,10,3.0,1.0,7,,,,,9,,,2,5.0,,4,6,,,11,,
,,8*,10,3.0,1.0,7,,,12,,9,,,2,,5,4,6,,,11,,
,,8,10,3.0,1.0,7,,,,,9,,,2,,6,4,5,,,11,,
,,8,10,3.0,1.0,7,,,12,,9*,,,2,,6,4,5,,,11,,
,9,8,10,3.0,1.0,7,,,,4*,,,12.0,2,,5,,6,,,11,,
,,8,10,3.0,1.0,7,,9.0,,5,,,,2,,4,,6,,,11,,
,9,8,10,3.0,1.0,7,,,2,4,,,,,,6,,5,11,,,,
,9,8,10,3.0,1.0,,,,2,4,,,12.0,,,5*,,6,7,,11,,
,12,8,10*,3.0,1.0,7,,9.0,,4,,,5.0,2,,,,6,,,11,,
1.0,,8,,3.0,,7,11,10.0,,,9,,,2,,5*,,4,12,,,6,
,10,8,,3.0,1.0,7,,,,,9,,,2,,5,,4,11,,,6*,12.0
,10,8,,3.0,1.0,7*,11,,,,9,,5.0,2,6.0,,,4,12,,,,
,,8,,3.0,1.0,12,11,,,,9,,5.0,2,6.0,,,4,7,10*,,,
,,8,12,3.0,1.0,,11,,,,9,,5.0,2,6.0,,,4,7,10*,,,
,,8,12,3.0,1.0,,11,,,,9*,,5.0,2,6.0,,,4,7,10,,,
,,8,,3.0,1.0,,11,,,,9,,5.0,2,6.0,,,4,7,10,,,
,,,,3.0,1.0,,11,,,5,9,8.0,,2,6.0,,,4,7,10,,,
,,,,3.0,1.0,,11,,,5,9,8.0,,2,6.0,,,4,7,10*,,12,
,,7,,3.0,1.0,,12,,,5,9,8.0,,2,,,,4,,10,11*,6,
,,7,,3.0,1.0,,12,,,5,9,8.0,,2,,,,4,,10,11,6*,
,,7,,3.0,1.0,,,,,5,9,8.0,,2,,12,,4,,10*,11,6,
,,8,,3.0,1.0,,11,,,,9,10.0,,2,,6,,4,7,,5,,
,,8,,3.0,1.0,,11,,,,9,10.0,,2,,6,,4,7,,5,,
,,8,12,3.0,1.0,,11,,,4,9*,10.0,,2,,5,,,7,,6,,
,,8,10,3.0,1.0,7,11,,,,,,,2*,9.0,6,,4,,,5,,12.0
,,8,12,3.0,1.0,7*,11,,,2,,10.0,,,9.0,6,,4,,,5,,
,,8,,3.0,1.0,12,11,,,,9*,10.0,,,2.0,6,,4,7,,5,,
,,8,,3.0,1.0,,11,,,6,9,10.0,,,2.0,,,4,7,,5,,
,,8*,,3.0,1.0,12,11,,,6,9,10.0,,,2.0,,,4,7,,5,,
,,8,,3.0,1.0,,11,,,6*,9,10.0,,,2.0,12,,4,7,,5,,
,,8,,3.0,1.0,7,11,,,2,9,10.0,,,,6,,4,,,5,,
,,8,,3.0,1.0,,11,,,,9*,10.0,,,2.0,6,,4,7,,5,12,
,,8,,3.0,1.0,,11,,,,,10.0,,12,2.0,6,,4*,7,,5,9,
,,8,,3.0,1.0,12,11,,,,,10.0,,9*,2.0,6,,4,7,,5,,
,,,,3.0,1.0,,,,,8,9,10.0,,11,2.0,6,,4,7,,5,,
,,,,3.0,1.0,,,,,8,9,10.0,,11,2.0,6,,4,7,,5,,
,,,,3.0,1.0,12,,,,8,9,10.0,,11,2.0,6,,,7,,5,4*,
,,8,,3.0,1.0,12,,,,11*,9,10.0,,,2.0,6,,4,7,,5,,
1.0,,8,,3.0,,,,,,6,9,10.0,,11,2.0,,,4,7,,5*,,12.0
1.0,,8,,,,,,,12,6,9,10.0,,3*,2.0,,,4,7,,5,,11.0
,,,12,,1.0,8*,,,,3,9,10.0,,11,2.0,6,,4,,,5,,7.0
,,,,3.0,1.0,14,11+,,,6,9,10.0,,8,2.0,,,4,7*,,5,,12.0
1.0,,,,3.0,,,,,,2,9,10.0,,11,8.0,,,4,12,,5,6*,7.0
