Adkins,Anderson,Aspinall,Burgess,Burke,Clarke,Clayton,Edwards,Ferguson,Goodlass,Hamilton,Heap,Heath,Higgins,Hilditch,Imlach,Kelly,Lee,Mathias,McMullen,Mungall,Palios,Philpotts,Platt,Powell,Rodaway,Sinclair,Williams G,Williams J,Woods
1.0,,8,3.0,,9.0,10,,,11.0,,,12,,,,,5*,4,,,,,,7.0,2,,,6,
1.0,12.0,8,3.0,,9.0,10,,7*,,,,11,,,,,2,,,,,4.0,,,5,,,6,
1.0,11.0,8,3.0,,9.0,10,,7*,,,,12,,,2.0,,,,,,,4.0,,,6,,,5,
1.0,11.0,8*,3.0,,9.0,10,,,,,,12,,,2.0,,,,,,,4.0,,,5,,,6,7
1.0,11.0,8,,,9.0,10,,,,,,12,3.0,,2.0,,,,,,,4.0,,,5,,,6,7*
1.0,11.0,8,,,9.0,10,,,,,,12,3.0,,2.0,,,4*,,,,,,,5,,,6,7
1.0,11.0,8*,3.0,,9.0,10,,,,,,12,4.0,,2.0,,,,,,,,,,5,,,6,7
1.0,11.0,8*,3.0,5.0,9.0,10,,,,,,12,4.0,,,,,,,,,,,,,,2.0,6,7
1.0,11.0,8*,3.0,5.0,9.0,10,,,,,,12,4.0,,,,,,,,,,,,,,2.0,6,7
1.0,11.0,,3.0,7.0,9.0,10,,,,,,8,4.0,,,,,,,,,,,,5,,2.0,6,
1.0,11.0,12,3.0,,9.0,10,,,,,,8,4.0,,,,,,,,,,,,5,,2.0,6,7*
1.0,11.0,,3.0,,9.0,10,4,,,,,8,,7*,,,12,,,,,,,,5,,2.0,6,
1.0,11.0,8,3.0,,9.0,10,2*,,,,,12,,,,,7,,,,,,,,5,,4.0,6,
1.0,11.0,8,3.0,,9.0,10,2,,,,,,,,,,7,,,,,,,,5*,,4.0,6,12
1.0,11.0,8,3.0,,9.0,10,4,,,,,,,,,,7,,,,,,,,,5,2.0,6,
1.0,11.0,8,3.0,,9.0,10,2,,,,,,,,,,7,,,,,,,,,5,4.0,6,
1.0,11.0,,,,9.0,10,2,8,,,,3,,,,,7,,,,,,,,,5,4.0,6,
1.0,11.0,,,,9.0,10,2,8,,,,3,12.0,,,,7*,,,,,,,,,5,4.0,6,
1.0,11.0,,3.0,,,10,2,,,,,12,,,,,7*,,9,,,,,,8,5,4.0,6,
1.0,11.0,,3.0,,9.0,10,2,,,,,,,,,,7,,12,,,,,,8*,5,4.0,6,
1.0,11.0,,3.0,,9.0,10,2,,,,,12,,,,,7,,8*,,,,,,,5,4.0,6,
