Aldridge,Branch,Brannan,Collings,Cooper,Garnett,Harvey,Higgins,Hughes,Irons,Malkin,Martindale,McGreal,McNab,Morrissey,Muir,Mungall,Nevin,Nixon,Nolan,Steel,Thomas,Vickers
8.0,,3+,,,6,,2.0,5,4,12,10,,14.0,7*,,,,1.0,,9,11.0,
8.0,,3,,,6,,2.0,5,4,12,10,,,7,,,,1.0,,9*,11.0,
8.0,,3,,,6,,2.0,5,4,,10,,,7,,,,1.0,,9,11.0,
8.0,,3,,,6+,,2.0,5,4,,10,,14.0,7,,,,1.0,,9,11.0,
8.0,,3,,,6,,2.0,5,4+,9,10,,14.0,7,,,,1.0,,,11.0,
8.0,,3,,14,,12,2.0,5,4,9,10*,,,7+,,,,1.0,,,11.0,6
8.0,,3,,12,,,2.0,5,4+,9,10,,14.0,7*,,,,1.0,,,11.0,6
8.0,,3,,12+,,,2.0,,4,9,10,,14.0,7*,,5,,1.0,,,11.0,6
8.0,14.0,3,,,,,2.0,5+,4*,9,10,,12.0,7,,,,1.0,,,11.0,6
8.0,,3,,,,,2.0,5,4,9*,10,,,7,,,,1.0,,12,11.0,6
8.0,,3,,,,,2.0,5,4,,10,,,7,,,,1.0,,9,11.0,6
8.0,,3,,,,,2.0,5,4+,12,10,,14.0,7*,,,,1.0,,9,11.0,6
8.0,14.0,3*,,,,,2.0,5,4,7,10,,11.0,,,12,,1.0,,9,,6+
8.0,,3+,,,,,2.0,5,4,7,10,,14.0,,,11,,1.0,,9,,6
8.0,,3,,,,,2.0,5,4*,12,10+,,14.0,7,,11,,1.0,,9,,6
8.0,,3,,,,,2.0,5,4+,12,10,,14.0,7*,,11,,1.0,,9,,6
8.0,,3,,,2,,,5,4,12,,,10.0,7,,11,,1.0,,9,,6*
8.0,,3,,,,14,2.0,5,4,,10,,,7,,11+,,1.0,,9,,6
8.0,,3,,,,,,5,4,12,10,,,7,,11*,,1.0,2,9,,6
8.0,,3,,12,,14,,5,4*,9,10,,,7,,11,,1.0,,2+,,6
8.0,,3,,,,,,5,4,9,10,,,7,,11,,1.0,2,,,6
8.0,,3*,,12,,,2.0,5,4,9,10,,,7,,,,1.0,11,,,6
8.0,,3,,12,,,2.0,5,4,9*,10,,,7,,,,1.0,11,,,6
8.0,,3,,12,,14,2.0,5+,4,9*,10,,,7,,,,1.0,11,,,6
8.0,,,,,,14,2.0,5,4,9*,10,,,7,,3+,,1.0,11,12,,6
8.0,,3,,,,14,2.0,5,4,,10,,,7,,,,1.0,11+,9,,6
8.0,,3,,,,14,2.0,5*,4,12,10+,,,7,,,,1.0,11,9,,6
8.0,,3,,10,,,2.0,5,4,,,,9.0,7,,,,1.0,11,,,6
8.0,,3,,10,,14,2.0,5+,4,,,,9.0,7,,,,1.0,11,,,6
8.0,,3+,,10,,14,2.0,5,4,,,,9.0,7,,,,1.0,11,,,6
8.0,,,1.0,10*,,9,2.0,5+,4,,14,,,7,,3,,,11,12,,6
8.0,,,,10,,9,2.0,5,4,,,,,7,,3,,1.0,11,,,6
8.0,,,,10,,9,2.0,5*,4,12,,,,7,,3,,1.0,11,,,6
8.0,,,,10*,,9,2.0,5,4,12,,,,7,,3,,1.0,11,,,6
8.0,,,,10+,,9,2.0,5,4,12,,,14.0,7,,3*,,1.0,11,,,6
,,,,,,8,2.0,5*,4,10,,,3.0,7,12,,,1.0,11,9,,6
,,,,,,8,2.0,5*,4+,10,,,14.0,7,12,3,,1.0,11,9,,6
,,,,,2,,,5,4,,8,,,7,10,,,1.0,3,9,11.0,6
8.0,,,,,2,,,5,4,9,10,,,7,,,,1.0,3,,11.0,6
8.0,,,,,2*,4,,5,,9,10,,,7,12,,,1.0,3,,11.0,6
8.0,,,,,,,2.0,5,,9,10,,,7*,12,3,,1.0,4,,11.0,6
8.0,,,,,,14,2.0,5*,4,12,9+,,,7,10,,,1.0,3,,11.0,6
8.0,14.0,,,,,10,2.0,5+,4,9*,,,,,12,7,,1.0,3,,11.0,6
8.0,,,,,,5,2.0,,4,,,,,7,12,,10*,1.0,3,9,11.0,6
8.0,,,,,,5,2.0,,4,,,,,7,10,,9,1.0,3,,11.0,6
8.0,,,,,,5,2.0,,4,,,,,7,10,,9,1.0,3,,11.0,6
8.0,,,,,,5,2.0,,,,4+,,,7,10*,14,9,1.0,3,12,11.0,6
8.0,,,,,,5,2.0,,4,,,,,7,10,,9,1.0,3,,11.0,6
8.0,,,,,,5,2.0,,4,,,,,7,10*,,9,1.0,3,12,11.0,6
8.0,,,,,,5,2.0,,4,14,,,,7+,,,10,1.0,3,9,11.0,6
8.0,,,,,,5,2.0,,4*,,12,,,7,,,10,1.0,3,9,11.0,6
8.0,,,,,,5,2.0,,4,10,,,,7,,,,1.0,3,9,11.0,6
8.0,,,,,,5+,,2,4,10,14,,,7,12,,,1.0,3,9*,11.0,6
8.0,,,,,2*,,,5,4,9,7,,,,10,,,1.0,3,12,11.0,6
8.0,14.0,,,,,11,,5,4,9,7+,,,,10,2,,1.0,3,,,6
8.0,,,,,,9,,5,4*,12,2,,,7,10,,,1.0,3,,11.0,6
8.0,,,,,,,,,4,12,9,5.0,,7*,10,2,,1.0,3,,11.0,6
8.0,,,,,,,,,4,7,9,5.0,,,10,2,,1.0,3,,11.0,6
8.0,14.0,,,,,,,,4,7+,9,5.0,,,10,2,,1.0,3,,11.0,6
