Achterberg,Allen,Challinor,Coyne,Frail,Gibson,Hill,Hinds,Irons,Jones G,Jones L,Kelly,Koumas,Mahon,McGreal,Mellon,Morgan,Morrissey,O'Brien,Parkinson,Russell,Santos,Sharps,Shepherd,Simonsen,Taylor,Thompson,Williams
,,,,2,,5,,6,14,,9,,,4,11,,7+,,12,10*,8,,,1.0,,3,
,,,,2,,5,,6,14,12,9,,,4,11,,7*,,10,,8+,,,1.0,,3,
,,,,2,,5,,6,14,12,,,,4,11,,7,,10,9*,8+,,,1.0,,3,
,,,,,,5,,6,9,11,,15,7#,4,8,2,12,,10*,,,,,1.0,,3,
,,,,2,,,,6,8,11,,14,,4#,10,5,12,,7,9*,,13+,,1.0,,3,
,4.0,,1.0,,,5,,6,9,11+,,13,,,12,2*,7#,8,10,14,,,,,,3,
,2.0,,1.0,,,5,,6,9,11*,,,,,7,,12,4,10,,8,,,,,3,
,2.0,,,,,5,,6,,11,,12,14,,10+,13,7*,4,9,,8#,,,1.0,,3,
,,,,,,5,,6,9*,12,,7+,15,2,11#,,14,4,10,,8,,,1.0,,3,
,2.0,5.0,,,,3,,6,13,12,,7+,11*,4,,,14,10,9,,8#,,,1.0,,,
,2.0,5.0,,,,3,,6,15,12,,7,11*,4,,,,10,9,,8#,,,1.0,,,
1.0,2.0,5.0,,,,3,,6,13,11*,,7,12,4,,,14,10#,9+,,8,,,,,,
1.0,2.0,5.0,,,,7*,,6,13,11,,9+,14,4,10,,12,,,,8#,,,,,3,
1.0,2.0,5.0,,,,8,,6,9,14,,7+,11,4,10,,12,,,,,,,,,3*,
1.0,3.0,4.0,,2,,5,,6,9,12,,7,,,10,,,,,,8,,,,11*,,
1.0,3.0,5.0,,2+,,,,6,9,12,,7#,13,4,10,,14,,,,8,,,,11*,,
1.0,2.0,,,,,5,,6,9#,12,13,,7+,4,10,,14,,,,8,,,,11*,3,
1.0,2.0,,,,,5,,6,9+,,12,,7*,4,10,,14,,,,8,,,,11,3,
1.0,2.0,15.0,,,,5,,6,9,,11,7+,,4,10*,,,12,16,,8,,,,,3#,
1.0,2.0,13.0,,,,5#,,6,9,,12,,7,4,10*,,14,,,,8,,,,11,3+,
1.0,2.0,13.0,,,,5#,,6,9,,12,,7*,4,10,,14,,,,8+,,,,11,3,
1.0,2.0,4.0,,,,5,,6,9,,12,,7*,,10,,14,,,,8,,,,11,3+,
1.0,2.0,4.0,,,,5,,6,9*,,12,,7+,,10,,14,,,,8,,,,11,3,
1.0,2.0,5.0,,,13.0,,,6,,,9,,4,,10+,,7#,,14,,8,,,,11,3,
1.0,2.0,4.0,,,,5,,6,,,9,13,7#,,10,8*,12,,14,,,,,,11+,3,
1.0,2.0,5.0,,,,4,,6,,,9,7,13,,10#,,,,11,,8+,,,,14,3,
,2.0,5.0,1.0,,,,,6,,,9,7#,10*,4,13,,12,,11+,,8,,,,14,3,
,,5.0,1.0,,,2#,,6,,,9+,7*,10,4,13,,12,,14,,8,,,,11,3,
,2.0,5.0,1.0,,,,,6,14,,9+,,10,4,7,,,,,,8,,,,11,3,
,2.0,,1.0,,,5,,6,9#,,,,7,4,10,,,,13,,8,,,,11,3,
,2.0,,1.0,,,5,,6+,9,,,,7#,4,10,14,12,,13,,8,,,,11*,3,
,2.0,5.0,1.0,,,,,6,9,16,,,7,4,10#,,12,,14,,8,,,,11+,3*,
,2.0,5.0,1.0,,,,,6,,14,,13,7,4,,,12,11#,9+,,8,,,,10*,3,
,2.0,5.0,1.0,,,11,,6,14,13,,,7,4,,,,8+,9#,,,,,,10,3,
,2.0,5.0,1.0,,,,,6,12,11,,14,7,4,,,,9+,3*,,8,,,,10,,
,2.0,5.0,1.0,,,9,,6*,14,11#,,,7+,4,,,,12,13,,8,,,,10,3,
,2.0,5.0,1.0,,,6*,,,,11,,13,7,4,,,,12,9#,,8,,,,10,3,
,2.0,5.0,1.0,,,,,6,,11,,13,7#,4,,,,9,,,8,,,,10,3,
,2.0,,1.0,,,5,,6,14,11#,12,13,7,4,,,,9+,8,,,,,,10*,3,
,2.0,14.0,1.0,,,5+,,6,,11*,12,13,7,4,,,,9#,8,,,,,,10,3,
,2.0,14.0,1.0,,,5+,,6,,11*,12,13,7,4,,,,9#,8,,,,,,10,3,
,2.0,14.0,1.0,,,5*,,6,,11#,12,13,7,4,,,,9+,8,,,,,,10,3,
1.0,2.0,,,,,5,,6,,14,12,11+,7,4,,,,,9,,8,,,,10*,3,
1.0,,5.0,,,,,,,,11#,9,,7,4,,,,6,2*,,8,,12.0,,10,3,13
1.0,2.0,5.0,,,,,,6,,13,9,,7,4,,,,11,,,8#,,,,10,3,
1.0,2.0,5.0,,,,11,,6,,,9,,7,4,,,,,,,8,,,,10#,3,13
1.0,2.0,5.0,,,,,,6,14,12,9,,7,4,,,,11+,,,8,,,,10*,3,
1.0,2.0,5.0,,,,11,,6,,,9+,,7,4,,,,13,,,8,,,,14,3,10#
1.0,2.0,5.0,,,,3,,6,,12,9,11#,7,4,,,,13,,,8,,,,10*,,
1.0,2.0,5.0,,,,,,,3#,11,9,,7,4,,,,6,13,,8,,,,10*,,12
1.0,2.0,5.0,,,,,3.0,6,,11+,9,,7*,4,,,,12,13,,8,,,,14,,10#
1.0,2.0,5.0,,,,4,13.0,6*,,11+,9,,,,,3#,12,7,10,,8,,,,14,,
